Reward Loss,Running Env Steps,Running Update Time,Real Sto Return,Running Forward KL,Itration,Running Reverse KL,Real Det Return
-1275.930908203125,0,0,10.71,36.6011,0,71.1806,6.74
-348.4125061035156,5000,1,263.55,30.6047,1,13.9877,340.07
-103.95221710205078,10000,2,406.06,30.2051,2,18.2531,620.51
-612.4962768554688,15000,3,416.92,31.8456,3,17.5494,602.6
-494.072509765625,20000,4,540.54,31.0644,4,16.3735,1283.04
-407.8536376953125,25000,5,502.69,32.1102,5,17.3181,478.26
-478.0452880859375,30000,6,455.24,32.0891,6,15.844,988.19
-533.0317993164062,35000,7,438.25,31.8832,7,15.2311,1041.9
-459.42578125,40000,8,681.3,31.4471,8,14.8252,1376.14
-404.9308776855469,45000,9,869.59,30.8501,9,13.9573,1410.47
-602.287353515625,50000,10,1157.34,30.4968,10,13.7082,1433.64
-597.8843383789062,55000,11,1265.72,30.5672,11,13.615,1314.82
-666.38134765625,60000,12,1237.91,31.448,12,14.4675,1327.1
-655.658447265625,65000,13,1138.19,30.4898,13,13.7338,1303.18
-748.450439453125,70000,14,1385.58,31.1964,14,14.7805,1337.67
-704.85302734375,75000,15,1494.76,30.9947,15,15.0517,1445.0
-556.0880126953125,80000,16,1467.43,30.4706,16,15.108,1484.51
-801.7357177734375,85000,17,1331.63,31.2069,17,14.8751,1463.74
-735.343017578125,90000,18,1500.18,30.9418,18,15.1871,1478.83
-609.6678466796875,95000,19,1673.21,30.4837,19,15.5379,1596.06
-659.9951171875,100000,20,1645.67,30.2027,20,14.802,1538.92
-644.3334350585938,105000,21,1584.08,29.6804,21,14.9648,1607.88
-656.4555053710938,110000,22,1455.06,30.304,22,15.4439,1638.25
-660.5185546875,115000,23,1555.56,29.803,23,14.4561,1616.06
-671.85107421875,120000,24,1449.4,30.0772,24,15.3903,1680.66
-626.7782592773438,125000,25,1786.45,29.5758,25,14.9883,1673.62
-707.4384155273438,130000,26,1634.0,29.9622,26,15.2017,1508.08
-757.7969360351562,135000,27,1472.37,30.2674,27,15.1172,1484.0
-766.0432739257812,140000,28,1754.39,29.6208,28,14.8494,1581.21
-813.1336059570312,145000,29,1552.47,29.8037,29,14.9517,1562.07
-649.2350463867188,150000,30,1937.94,28.7278,30,14.0478,1837.95
-618.2326049804688,155000,31,1766.57,28.481,31,13.9373,1864.41
-680.2308959960938,160000,32,1879.87,29.2461,32,14.9898,1763.43
-667.9571533203125,165000,33,1940.33,28.8021,33,14.606,1928.94
-647.6589965820312,170000,34,1947.88,29.1045,34,15.0168,1839.58
-711.7396850585938,175000,35,1990.8,28.5599,35,13.7195,1841.66
-706.9442138671875,180000,36,1901.5,29.0317,36,14.7974,1934.44
-598.20849609375,185000,37,1433.52,28.4018,37,14.8724,2059.46
-638.7327270507812,190000,38,1976.22,28.209,38,14.2969,2109.55
-623.9521484375,195000,39,1954.13,27.1874,39,14.0946,2257.08
-547.9734497070312,200000,40,2163.62,27.2727,40,14.0831,2229.14
