Running Env Steps,Itration,Running Forward KL,Real Det Return,Running Reverse KL,Running Update Time,Reward Loss,Real Sto Return
0,0,28.8516,177.0,14.6276,0,139.74777221679688,234.58
5000,1,29.0884,317.42,13.977,1,171.57765197753906,312.29
10000,2,28.2897,324.51,14.7405,2,-41.179107666015625,318.88
15000,3,29.0772,363.95,14.677,3,37.40582275390625,333.79
20000,4,27.114,376.81,12.9118,4,105.35778045654297,359.77
25000,5,24.5939,749.71,11.8735,5,-26.58832359313965,720.25
30000,6,31.6027,76.91,21.3138,6,22.316835403442383,76.42
35000,7,39.1541,1014.28,61.896,7,150.2952880859375,1014.45
40000,8,31.8764,116.43,21.1618,8,180.59861755371094,141.84
45000,9,26.941,1110.76,16.8156,9,-115.48863983154297,756.29
50000,10,33.128,254.89,32.4922,10,-28.754133224487305,215.34
55000,11,28.0238,441.36,47.1737,11,-135.16152954101562,437.57
60000,12,32.5581,539.74,18.1055,12,-94.20310974121094,484.89
65000,13,28.8723,363.66,24.8621,13,103.25794219970703,423.36
70000,14,29.6254,398.51,20.469,14,-145.48585510253906,660.26
75000,15,26.7941,655.93,24.5939,15,63.63290023803711,571.9
80000,16,36.3997,67.46,200.5048,16,-411.2238464355469,65.36
85000,17,38.278,980.81,53.5147,17,-312.5168151855469,980.98
90000,18,35.0606,47.45,211.5117,18,-711.5325927734375,47.21
95000,19,36.4625,1040.15,43.6259,19,-397.1841735839844,1040.13
100000,20,35.8516,1043.94,37.0104,20,-439.07147216796875,1043.41
105000,21,33.4448,172.44,26.8269,21,-464.7271423339844,191.9
110000,22,32.968,1281.4,32.6612,22,-434.35302734375,1283.09
115000,23,37.1189,1022.26,37.8772,23,-595.8931274414062,1021.99
120000,24,32.61,1220.7,34.0633,24,-486.88995361328125,1213.86
125000,25,33.9456,1018.55,57.4229,25,-745.4612426757812,1018.49
130000,26,34.7486,1051.19,31.952,26,-737.1276245117188,1051.4
135000,27,34.0457,1217.78,27.3106,27,-598.9494018554688,1217.35
140000,28,33.7986,1378.81,30.688,28,-712.1727294921875,1378.21
145000,29,32.5061,383.8,46.5052,29,-847.5206909179688,658.87
150000,30,33.6474,1037.43,55.3877,30,-945.5796508789062,1037.52
155000,31,32.1072,352.15,65.3977,31,-760.8292846679688,513.5
160000,32,32.7037,1010.22,34.0742,32,-1014.3507080078125,1009.01
165000,33,36.4027,1032.71,25.9623,33,-1088.481201171875,1032.37
170000,34,36.7569,1018.1,26.0503,34,-1013.5161743164062,1017.72
175000,35,35.2231,1023.68,22.2374,35,-1104.8912353515625,1023.66
180000,36,32.014,1073.85,26.4146,36,-1142.402587890625,1056.36
185000,37,28.2345,715.26,24.1935,37,-667.9412231445312,670.94
190000,38,28.1921,749.52,14.8998,38,-486.0039367675781,777.91
195000,39,30.743,721.5,60.7847,39,-1117.1578369140625,709.93
200000,40,34.2515,1030.32,21.1988,40,-1400.4783935546875,1029.12
205000,41,32.2031,1022.64,45.0264,41,-1135.935791015625,992.96
210000,42,30.9968,374.25,27.9135,42,-870.6685180664062,282.86
215000,43,32.9684,1062.86,22.0011,43,-1485.502685546875,1060.75
220000,44,30.2743,939.21,18.4183,44,-916.7896728515625,1046.78
225000,45,39.5005,1005.81,58.55,45,-1704.5804443359375,1005.71
230000,46,31.6406,1230.43,21.6031,46,-1166.2384033203125,1254.38
235000,47,29.8035,1142.91,22.7764,47,-913.8953857421875,1152.78
240000,48,32.5048,294.27,25.9328,48,-1005.9155883789062,295.31
245000,49,33.4224,1266.84,23.3558,49,-1214.4410400390625,1269.39
250000,50,29.6181,1195.23,30.5033,50,-1366.573974609375,1186.03
255000,51,28.3795,1046.15,19.6514,51,-1311.9698486328125,959.28
260000,52,32.4576,1213.89,19.9244,52,-1107.4473876953125,1213.33
265000,53,30.7741,740.0,18.2827,53,-1584.9619140625,684.76
270000,54,27.9763,403.09,22.6923,54,-1438.003662109375,403.71
275000,55,32.9356,1163.74,21.476,55,-1188.5526123046875,1159.05
280000,56,33.5422,1048.49,22.5744,56,-1810.9697265625,1048.58
285000,57,33.4522,1185.83,26.9083,57,-1543.879638671875,1209.5
290000,58,32.2394,1343.0,21.2906,58,-1325.8497314453125,1341.33
295000,59,31.0696,1297.8,27.1999,59,-1249.5565185546875,1247.54
300000,60,33.6999,1069.94,38.121,60,-1987.697509765625,1054.33
305000,61,31.8921,1585.25,24.472,61,-1380.3040771484375,1585.97
310000,62,32.3359,1139.85,25.769,62,-2063.65673828125,1086.03
315000,63,31.649,1655.12,22.3912,63,-1327.695556640625,1656.03
320000,64,29.5523,1267.52,24.8495,64,-1555.5838623046875,1289.83
325000,65,31.1438,1445.65,30.652,65,-1763.6343994140625,1452.82
330000,66,31.6675,1424.44,23.1727,66,-1698.879150390625,1440.37
335000,67,32.804,1262.69,34.0379,67,-2056.546630859375,1253.93
340000,68,32.1448,1494.7,24.213,68,-1470.409912109375,1498.96
345000,69,31.9743,1428.93,20.763,69,-1513.878662109375,1423.82
350000,70,31.996,1248.09,18.0192,70,-1614.2567138671875,1254.89
355000,71,33.2944,1015.54,70.0761,71,-2638.284423828125,1031.65
360000,72,33.3204,1115.44,35.5281,72,-2277.461669921875,1137.4
365000,73,33.1102,1075.05,34.8996,73,-2317.568603515625,1079.23
370000,74,32.4267,1311.08,19.7429,74,-1670.92529296875,1225.06
375000,75,33.7228,1229.83,26.7324,75,-2255.23095703125,1217.52
380000,76,29.6027,841.07,18.6798,76,-1388.32568359375,894.58
385000,77,33.8554,1230.68,27.7307,77,-1886.6082763671875,1230.59
390000,78,33.2137,1254.29,29.3599,78,-2027.688232421875,1240.95
395000,79,32.7935,980.24,22.6771,79,-1655.81005859375,913.58
400000,80,32.6167,1435.17,27.7634,80,-1974.2574462890625,1439.24
405000,81,32.623,1267.43,19.7542,81,-1783.739990234375,1273.36
410000,82,32.312,1337.28,21.1883,82,-2005.5758056640625,1333.06
415000,83,31.6707,1061.09,20.3,83,-2126.90625,1280.14
420000,84,32.4268,1076.96,23.4652,84,-2722.697021484375,1076.33
425000,85,33.3013,1278.99,27.9087,85,-2210.790283203125,1281.1
430000,86,32.3126,1150.9,39.8801,86,-2213.53466796875,1194.3
435000,87,38.7985,93.24,113.3634,87,-3292.59716796875,90.98
440000,88,31.4977,1040.2,41.3281,88,-2123.535888671875,1130.76
445000,89,30.2841,1053.53,45.7362,89,-2274.676513671875,1014.21
450000,90,31.6669,819.98,23.9725,90,-2221.126708984375,1001.54
455000,91,33.2933,1228.74,25.7702,91,-2313.986083984375,1235.3
460000,92,33.2953,1046.88,22.0736,92,-3070.54443359375,1048.82
465000,93,33.1619,1276.64,23.5461,93,-2322.8193359375,1274.79
470000,94,33.3738,1288.79,24.8698,94,-2324.50537109375,1290.86
475000,95,33.719,1310.88,25.7721,95,-2378.358642578125,1316.89
480000,96,34.201,1106.44,26.089,96,-2663.487548828125,1102.22
485000,97,32.3462,1357.13,21.1761,97,-2413.839111328125,1363.66
490000,98,33.2267,1272.18,21.9313,98,-2260.90625,1205.01
495000,99,32.8886,1302.61,21.6509,99,-2664.867431640625,1300.69
500000,100,33.0488,1337.14,21.5581,100,-2303.561279296875,1333.91
505000,101,33.4916,1264.16,24.76,101,-2751.95654296875,1262.33
510000,102,30.715,360.91,77.2068,102,-3139.10546875,367.08
515000,103,33.6147,1034.5,65.6266,103,-3898.74755859375,1033.96
520000,104,32.9362,1057.93,59.8939,104,-3817.514404296875,1058.04
525000,105,32.9364,1302.08,24.922,105,-2537.3857421875,1296.17
530000,106,32.4952,1157.0,22.5336,106,-3240.462646484375,1172.34
535000,107,33.685,1053.82,52.9266,107,-4016.489013671875,1036.44
540000,108,33.0627,1045.32,40.9722,108,-4023.614501953125,1045.52
545000,109,32.9271,1210.66,21.5645,109,-3404.332763671875,1165.81
550000,110,33.2949,1133.98,42.3693,110,-3707.89990234375,1071.51
555000,111,32.9348,1209.31,22.7611,111,-2738.574462890625,1218.2
560000,112,33.1167,1068.46,24.1772,112,-3861.064697265625,1067.23
565000,113,32.6405,1186.54,22.6669,113,-3234.4267578125,1156.76
570000,114,33.213,1249.42,23.8121,114,-3062.640869140625,1244.72
575000,115,33.0841,1324.85,28.3534,115,-2927.19287109375,1327.82
580000,116,32.217,1193.21,18.976,116,-3256.67578125,1206.1
585000,117,32.9603,1063.02,32.6396,117,-4347.7177734375,1095.43
590000,118,32.399,1305.53,21.1588,118,-2752.693359375,1306.94
595000,119,32.2512,1160.37,20.4723,119,-3373.982666015625,1204.89
600000,120,33.1858,1100.39,20.7178,120,-3523.89794921875,1111.97
605000,121,32.3659,1373.6,21.6405,121,-2986.30712890625,1375.16
610000,122,33.2678,836.62,46.4849,122,-4578.6435546875,850.16
615000,123,32.8082,1081.66,30.2862,123,-4369.92822265625,1091.21
620000,124,31.4028,1089.42,83.3983,124,-3841.705078125,1201.16
625000,125,33.9389,1057.62,33.9905,125,-4842.72607421875,1056.6
630000,126,32.2901,1192.45,21.0292,126,-3460.43212890625,1192.1
635000,127,31.7779,1349.07,23.5907,127,-3394.27490234375,1356.2
640000,128,32.5429,1164.17,22.5524,128,-3770.0361328125,1177.41
645000,129,31.7793,1307.8,23.3036,129,-3827.675048828125,1317.92
650000,130,32.6852,796.98,20.7913,130,-3756.760498046875,594.48
655000,131,31.8373,1339.5,21.4259,131,-3425.756103515625,1335.59
660000,132,33.4167,1054.31,38.4625,132,-5208.3662109375,1054.46
665000,133,33.6125,1044.01,53.7734,133,-5377.3515625,1043.77
670000,134,33.278,1044.03,63.5462,134,-5353.25390625,1043.0
675000,135,32.4203,1348.0,22.6883,135,-3441.056884765625,1347.16
680000,136,32.7567,1228.59,26.0553,136,-3425.2373046875,1232.59
685000,137,32.2554,1121.5,38.3878,137,-3614.02099609375,1078.58
690000,138,33.3766,1047.53,28.9121,138,-5500.21142578125,1059.49
695000,139,32.5328,1321.06,22.2078,139,-3706.085693359375,1320.21
700000,140,32.3027,1286.12,19.5835,140,-3828.150146484375,1289.48
705000,141,32.8103,1083.4,23.1465,141,-3539.580810546875,959.11
710000,142,33.2298,1038.65,24.7657,142,-5226.53662109375,1077.71
715000,143,33.0541,1050.23,28.39,143,-5200.03564453125,1050.41
720000,144,30.1926,1198.27,21.6329,144,-3721.423828125,1319.68
725000,145,33.1713,1114.8,22.3702,145,-4140.54443359375,1108.36
730000,146,32.4849,1308.87,19.5233,146,-4300.869140625,1262.08
735000,147,32.3702,1337.31,20.116,147,-3696.119140625,1338.6
740000,148,30.6145,363.75,33.9844,148,-5542.2646484375,422.7
745000,149,32.2067,1322.56,21.5757,149,-4023.39990234375,1288.85
750000,150,33.4251,1079.48,21.0465,150,-5657.95361328125,1076.82
755000,151,31.847,119.77,85.5966,151,-5534.611328125,191.19
760000,152,29.8094,255.51,50.6079,152,-5176.2890625,277.24
765000,153,33.6085,1021.71,31.6261,153,-5935.41552734375,1021.7
770000,154,32.2773,1171.97,23.9559,154,-4393.91650390625,1220.86
