Real Det Return,Itration,Running Update Time,Running Forward KL,Reward Loss,Running Reverse KL,Real Sto Return,Running Env Steps
274.91,0,0,459.9747,-233.5152587890625,298.5822,299.65,0
433.83,1,1,427.0595,88.32884216308594,288.6824,389.35,5000
365.87,2,2,432.9133,-722.8460083007812,275.9199,369.34,10000
542.25,3,3,430.867,-605.846435546875,254.9746,388.98,15000
469.94,4,4,438.6754,-873.952392578125,257.4128,440.72,20000
536.65,5,5,411.8529,-736.1688842773438,286.646,454.07,25000
412.34,6,6,401.7843,-1244.28466796875,298.0201,478.32,30000
434.25,7,7,438.0191,-1124.24462890625,298.1353,426.85,35000
504.17,8,8,399.694,-1218.4290771484375,267.8001,511.98,40000
400.29,9,9,408.5311,-195.0612030029297,395.5695,456.61,45000
419.9,10,10,406.9198,-256.1082763671875,389.9875,481.88,50000
422.51,11,11,391.1113,-1374.61083984375,300.5865,564.42,55000
628.0,12,12,400.7628,-1521.718505859375,303.3462,562.63,60000
652.16,13,13,400.8489,-1553.230224609375,288.4039,508.24,65000
605.84,14,14,402.8691,-2276.987060546875,249.995,572.21,70000
591.62,15,15,414.1203,-2098.712890625,292.1166,599.15,75000
586.92,16,16,395.8471,-2273.0322265625,296.4406,594.36,80000
525.49,17,17,383.0159,-2595.412841796875,249.7761,557.08,85000
511.52,18,18,384.8893,-2366.63623046875,273.5452,570.73,90000
497.55,19,19,384.2642,-2313.205810546875,317.4773,588.51,95000
505.43,20,20,389.7312,-2397.76953125,333.2319,564.92,100000
590.07,21,21,380.6317,-2333.45556640625,319.2805,624.58,105000
601.44,22,22,365.1527,-2592.3662109375,292.5286,654.12,110000
600.47,23,23,388.2454,-2660.76953125,296.9502,657.28,115000
611.42,24,24,384.7116,-2833.45849609375,315.0669,691.4,120000
612.34,25,25,385.9262,-3122.52099609375,290.5641,698.34,125000
601.67,26,26,370.9654,-3120.1953125,229.3159,767.35,130000
561.97,27,27,365.3984,-3083.19140625,352.1999,595.01,135000
533.6,28,28,356.0941,-3570.319580078125,305.7469,686.63,140000
527.61,29,29,367.1091,-3583.343505859375,300.5151,861.04,145000
561.75,30,30,359.5992,-3714.710205078125,305.3477,754.13,150000
691.04,31,31,347.6631,-3476.86474609375,312.8778,922.87,155000
711.18,32,32,355.0666,-4260.798828125,267.9562,961.52,160000
532.86,33,33,367.6306,-4009.4228515625,302.89,723.63,165000
760.23,34,34,329.4378,-3822.837890625,253.9745,1111.04,170000
850.32,35,35,323.3561,-3554.0517578125,265.4999,1309.64,175000
494.69,36,36,342.4032,-4200.14404296875,306.375,873.59,180000
596.82,37,37,340.2785,-4186.720703125,266.8081,1053.36,185000
575.44,38,38,333.8639,-3980.99853515625,242.4843,1049.05,190000
500.1,39,39,334.0135,-4300.84716796875,232.0058,1005.16,195000
1006.39,40,40,326.0069,-4417.67724609375,222.0597,1206.83,200000
599.44,41,41,347.0997,-4992.75830078125,258.9873,1018.13,205000
664.19,42,42,322.1568,-3648.6982421875,198.8225,2036.62,210000
712.3,43,43,344.1512,-4540.83642578125,242.0829,1647.55,215000
511.93,44,44,335.31,-4081.21630859375,210.8538,2328.36,220000
586.82,45,45,334.2887,-3911.508544921875,184.0528,1897.4,225000
928.97,46,46,329.3828,-3749.03857421875,197.7797,1630.98,230000
1312.02,47,47,314.2427,-3659.760986328125,193.4582,1836.03,235000
