Running Update Time,Running Reverse KL,Running Env Steps,Reward Loss,Itration,Real Det Return,Running Forward KL,Real Sto Return
0,254.0781,0,-5637.91162109375,0,345.49,459.3999,279.41
1,295.8417,5000,-6080.81103515625,1,358.42,440.4388,342.8
2,281.5561,10000,-6013.8095703125,2,356.14,446.0127,337.24
3,262.545,15000,-5979.59130859375,3,382.21,434.7567,401.96
4,245.5932,20000,-5683.9365234375,4,402.28,420.4719,417.68
5,251.8789,25000,-6143.43505859375,5,429.54,422.3276,408.34
6,267.2409,30000,-6347.5302734375,6,517.7,427.3546,440.86
7,292.94,35000,-6492.1748046875,7,466.71,436.0857,434.1
8,292.5992,40000,-6477.1259765625,8,485.43,433.2737,498.84
9,277.9347,45000,-6884.7880859375,9,487.19,438.9183,463.24
10,279.6873,50000,-6868.80419921875,10,518.23,404.5181,467.68
11,280.5382,55000,-6706.1640625,11,546.14,408.2804,526.65
12,275.8994,60000,-6918.55810546875,12,398.94,410.4587,484.01
13,288.2712,65000,-7068.935546875,13,389.71,421.1881,616.03
14,264.3333,70000,-6939.490234375,14,400.6,409.9218,638.51
15,260.3609,75000,-7014.84326171875,15,582.31,392.0248,648.77
16,268.7985,80000,-7644.64453125,16,588.07,400.5119,563.51
17,266.5787,85000,-7980.25,17,591.45,419.84,538.07
18,277.3241,90000,-8054.00830078125,18,635.63,415.1265,506.3
19,270.6291,95000,-8089.65869140625,19,522.57,423.3394,521.43
20,289.72,100000,-8695.54296875,20,654.69,409.4156,553.31
21,252.8924,105000,-8872.04296875,21,573.97,410.7961,568.39
22,245.1025,110000,-8647.2373046875,22,827.15,402.9684,607.1
23,266.1384,115000,-8796.50390625,23,659.31,406.4972,587.33
24,260.2046,120000,-9235.544921875,24,664.78,396.497,688.29
25,253.1384,125000,-9122.2470703125,25,624.85,404.0965,618.75
26,252.4439,130000,-9442.62890625,26,489.45,403.2814,620.8
27,270.2879,135000,-9793.12109375,27,760.29,427.4538,536.8
28,317.2142,140000,-9822.6943359375,28,577.11,439.435,548.48
29,245.2614,145000,-10059.4169921875,29,818.7,418.6685,676.94
30,271.9512,150000,-10336.2529296875,30,586.61,420.9485,523.17
31,274.9847,155000,-10475.6025390625,31,784.14,407.334,624.15
32,247.0166,160000,-10495.4521484375,32,672.49,410.8726,571.08
33,253.2952,165000,-10100.4833984375,33,751.36,408.022,765.27
34,264.1686,170000,-10766.908203125,34,729.58,404.9086,774.99
35,221.8888,175000,-9963.0439453125,35,813.47,393.1677,834.74
36,240.2882,180000,-10205.537109375,36,588.41,401.02,862.07
37,221.0357,185000,-9902.658203125,37,493.6,402.84,790.41
38,264.9879,190000,-11043.3115234375,38,391.64,431.6904,662.92
39,212.9378,195000,-10114.8916015625,39,438.4,398.191,1010.59
40,217.8231,200000,-9923.318359375,40,500.58,393.5449,945.83
41,206.6269,205000,-10437.9501953125,41,700.06,402.7244,855.47
42,208.4648,210000,-9481.5615234375,42,568.71,389.507,1344.68
43,216.5651,215000,-10406.0224609375,43,724.78,385.577,1005.49
44,226.0336,220000,-10189.8857421875,44,755.09,378.644,1391.32
45,256.0929,225000,-10877.759765625,45,862.67,372.4382,1251.0
46,240.4821,230000,-10456.4833984375,46,976.91,370.0925,1118.59
47,243.4793,235000,-10433.8701171875,47,1286.52,372.6561,1056.61
48,240.4794,240000,-10408.2626953125,48,1491.81,365.144,1427.44
49,275.764,245000,-11057.84375,49,1527.87,373.3215,1355.98
50,273.6106,250000,-10881.0830078125,50,1447.35,361.8858,1342.83
51,235.4283,255000,-9342.482421875,51,1368.18,361.6653,1662.34
52,276.1045,260000,-10949.3212890625,52,1081.57,370.4352,1240.14
53,206.4171,265000,-8719.6728515625,53,1472.53,350.5478,2088.76
54,230.8336,270000,-9550.2744140625,54,1107.34,359.9943,1855.04
55,246.8687,275000,-10586.453125,55,795.42,371.5157,1553.1
56,187.5414,280000,-7283.400390625,56,1984.77,353.2641,3094.85
57,209.7032,285000,-8703.0673828125,57,1221.02,372.8847,2340.0
