Running Env Steps,Itration,Reward Loss,Running Reverse KL,Running Update Time,Running Forward KL,Real Sto Return,Real Det Return
0,0,360.3907775878906,31.1537,0,34.5465,205.14,217.77
5000,1,388.8825988769531,44.3779,1,33.2532,243.89,252.29
10000,2,317.0399475097656,30.6226,2,31.5585,256.89,239.06
15000,3,212.7149200439453,29.1728,3,31.2136,275.34,290.83
20000,4,133.22592163085938,22.1561,4,29.9983,304.6,336.44
25000,5,-338.1527099609375,189.7368,5,38.5365,-1.76,-1.98
30000,6,318.2359313964844,46.5949,6,27.1857,474.79,464.77
35000,7,273.3778991699219,46.3222,7,25.2649,574.75,490.53
40000,8,95.48406219482422,19.8129,8,25.9272,211.85,172.19
45000,9,22.13681983947754,44.9182,9,27.1815,422.51,504.06
50000,10,64.28588104248047,69.9201,10,27.8677,536.05,553.34
55000,11,28.142518997192383,69.444,11,26.7927,552.87,564.08
60000,12,38.56007385253906,73.0661,12,25.0765,743.07,798.52
65000,13,-31.782318115234375,67.0588,13,23.9209,844.19,880.31
70000,14,-211.0313262939453,29.4492,14,24.4861,318.39,312.0
75000,15,-215.488037109375,29.9306,15,24.9674,1041.95,570.16
80000,16,-92.88339233398438,29.9339,16,24.862,1283.89,1408.09
85000,17,-240.6931610107422,14.7802,17,24.3271,2163.2,2400.9
90000,18,-265.7089538574219,55.7689,18,23.8736,1057.15,870.09
95000,19,-266.45037841796875,31.7592,19,25.96,930.52,993.72
100000,20,-281.9468078613281,36.0101,20,23.759,1326.81,1172.35
105000,21,-270.163330078125,15.0112,21,23.4505,2062.7,1118.37
110000,22,-311.6326599121094,76.192,22,22.9743,1359.71,1606.84
115000,23,-313.6728515625,40.0958,23,23.3773,1645.47,3199.81
120000,24,-305.2232666015625,34.8893,24,23.3027,1242.56,3127.19
125000,25,-353.00848388671875,45.1778,25,21.8974,1474.0,2318.46
130000,26,-365.31787109375,18.8724,26,22.7714,2522.73,3065.7
135000,27,-316.42401123046875,13.059,27,22.9928,3003.37,3006.12
140000,28,-477.4192810058594,51.2287,28,23.5367,1699.46,1585.06
145000,29,-398.40069580078125,23.9015,29,22.1122,2170.1,2998.72
150000,30,-428.87274169921875,29.9806,30,21.87,2509.66,3170.55
155000,31,-211.68287658691406,12.9201,31,21.8775,2532.24,1537.29
160000,32,-320.98419189453125,13.9318,32,23.5026,3185.25,3115.75
165000,33,-360.5968322753906,18.5845,33,22.303,2371.74,3058.87
170000,34,-807.5858154296875,56.0571,34,24.2673,1450.64,1954.09
175000,35,-330.7171936035156,22.3363,35,22.144,2762.65,3257.32
180000,36,-594.236328125,52.6434,36,22.8972,1938.65,2750.99
185000,37,-362.7724609375,17.2205,37,22.1265,2831.66,3195.34
190000,38,-330.6664733886719,19.7043,38,21.034,2952.99,3280.27
195000,39,-436.8675231933594,16.6811,39,21.2771,3022.68,3320.49
200000,40,-445.6393737792969,24.4263,40,21.5902,3058.76,3267.18
205000,41,-495.3810119628906,15.2094,41,21.2686,3089.15,3240.87
210000,42,-1045.8507080078125,37.2864,42,24.8835,1549.33,1844.27
215000,43,-670.6423950195312,29.4449,43,22.2636,2506.3,3048.63
220000,44,-442.36297607421875,17.4842,44,20.8573,2334.82,3306.04
225000,45,-561.8662109375,17.4463,45,22.2485,2750.75,3221.62
230000,46,-647.9031982421875,24.4457,46,22.8557,2580.29,3207.94
235000,47,-953.459716796875,29.9022,47,23.3325,1842.71,2234.96
240000,48,-572.7734375,24.0563,48,21.4842,2556.23,3265.2
245000,49,-591.5974731445312,20.4317,49,21.3097,2657.01,3296.38
250000,50,-1012.6448364257812,32.4123,50,22.3728,2066.11,2295.68
255000,51,-816.957275390625,31.2368,51,21.8768,2429.41,3315.84
260000,52,-594.4990234375,17.4417,52,22.3816,3024.88,3293.76
265000,53,-388.9258117675781,10.8557,53,19.02,2918.27,3304.32
270000,54,-629.5969848632812,20.7652,54,20.4787,2237.66,3210.36
275000,55,-721.6503295898438,16.5944,55,20.9584,3131.0,3272.14
280000,56,-489.59442138671875,11.9806,56,20.7782,3270.85,3139.39
285000,57,-744.6285400390625,24.8662,57,21.9694,3148.96,3220.93
290000,58,-493.6849365234375,12.2695,58,20.9373,3168.08,3247.04
295000,59,-984.2735595703125,19.2952,59,21.8255,2402.33,2147.58
300000,60,-928.5003662109375,23.1459,60,21.5885,2869.53,3250.5
305000,61,-573.1814575195312,12.6901,61,21.4295,3283.62,3281.04
310000,62,-580.8785400390625,12.1557,62,21.2696,3277.32,3277.05
315000,63,-574.7412109375,13.2079,63,20.2018,3246.48,3274.67
320000,64,-541.0324096679688,11.8262,64,20.6627,3226.72,3295.91
325000,65,-967.8023681640625,18.5071,65,21.9844,2111.28,3299.36
330000,66,-1341.3521728515625,31.5659,66,22.5399,1645.7,3201.98
335000,67,-561.247802734375,11.633,67,19.9515,3210.2,3280.87
340000,68,-743.8904418945312,13.6443,68,20.7436,2940.77,3343.06
345000,69,-983.1031494140625,18.4626,69,21.5542,2975.84,3320.69
350000,70,-723.404052734375,12.8293,70,21.9606,3209.49,3246.9
355000,71,-595.748779296875,11.4076,71,19.5437,3377.45,3358.85
360000,72,-731.2612915039062,12.1531,72,20.7125,3168.43,3276.25
365000,73,-565.433837890625,12.1495,73,18.8519,3072.18,3348.63
370000,74,-654.0177001953125,11.7331,74,20.1635,3311.05,3332.95
375000,75,-633.5587768554688,12.0633,75,20.5919,3370.94,3355.31
380000,76,-633.9028930664062,11.807,76,20.0521,3177.11,3351.59
385000,77,-768.1695556640625,13.6036,77,18.7271,2619.35,2938.03
