Itration,Running Forward KL,Real Sto Return,Real Det Return,Running Reverse KL
0,48.9718,322.85,387.33,13.7729
1,49.8979,348.37,339.0,17.3077
2,49.9948,315.33,329.22,25.1542
3,49.4527,440.1,512.01,15.4436
4,48.9564,414.57,516.18,14.2861
5,48.8764,421.73,480.37,15.402
6,48.818,387.67,459.19,18.4504
7,48.4516,444.12,473.86,28.0964
8,48.6039,522.42,540.64,32.8363
9,48.6427,487.76,500.64,14.9058
10,48.1174,526.39,532.48,19.5246
11,48.4651,477.61,490.68,17.9707
12,48.6522,452.97,461.8,18.3767
13,48.8614,487.64,525.66,15.7707
14,48.3717,518.97,507.33,25.962
15,48.017,485.33,549.19,25.1621
16,47.3608,606.62,657.29,35.2441
17,47.4889,681.35,658.41,29.8102
18,47.7034,589.09,596.47,27.3092
19,46.9219,606.52,623.85,23.513
20,46.9499,677.51,740.56,19.097
21,47.4047,745.59,837.38,22.6976
22,46.9133,696.76,853.54,28.8406
23,46.9904,806.81,824.7,31.7327
24,47.2771,859.65,689.94,30.1859
25,46.6528,758.08,647.9,26.8052
26,46.6237,1043.58,1068.72,28.2626
27,46.7109,792.68,759.23,17.2678
28,45.5006,971.66,953.47,12.9924
29,45.9438,977.01,964.21,20.4959
30,45.9502,1214.82,1146.31,17.8044
31,46.1591,1113.72,1029.6,17.6307
32,45.315,1172.68,1178.23,16.8532
33,45.1501,1401.36,1822.61,13.7614
34,44.7183,1186.6,879.36,12.8656
35,44.6134,1252.16,1050.72,12.9539
36,44.3544,1490.9,777.66,12.761
37,44.8384,1712.34,946.19,18.1876
38,44.2078,2242.38,3095.85,14.1897
39,43.6062,2659.41,3343.09,15.7659
40,43.6381,2972.14,3331.31,15.4065
41,43.6175,3140.76,3465.94,15.8832
42,43.9471,3234.02,3484.38,18.0108
43,43.2456,3465.31,3407.96,15.8856
44,43.5797,3420.55,3666.1,18.8148
45,43.4852,2871.69,3524.41,15.2568
46,43.9832,3431.67,3300.09,17.4536
47,43.3621,3483.75,3578.73,17.4562
48,42.6974,3677.87,3714.12,17.6165
49,42.8691,3632.31,3650.47,17.256
50,42.7898,3709.06,3744.34,17.8323
51,43.0331,3664.07,3656.35,18.9568
52,42.7694,3691.58,3739.64,18.2461
53,42.7696,3681.93,3792.91,17.3553
54,42.4892,3702.76,3690.04,17.882
55,42.3038,3661.75,3720.63,17.2726
56,42.1027,3767.76,3759.37,17.846
57,42.005,3682.28,3761.73,16.0534
58,41.7656,3798.32,3847.32,17.0173
59,41.7784,3824.19,3827.31,16.7488
60,41.2151,3629.7,3771.77,16.0727
61,41.5795,3809.51,3787.31,16.4353
62,41.5149,3871.77,3856.8,18.0945
