Real Sto Return,Running Reverse KL,Real Det Return,Itration,Running Forward KL
305.85,13.2009,304.05,0,49.2623
293.94,15.1187,382.87,1,49.4821
284.64,20.4503,284.41,2,48.6052
432.07,29.4006,387.82,3,49.2866
418.15,32.4161,414.45,4,49.4395
544.6,22.8638,630.36,5,48.9833
655.7,42.0688,657.53,6,48.3864
743.84,21.4702,731.11,7,46.9985
927.13,13.3616,1667.82,8,47.7945
925.87,21.7174,766.8,9,46.4735
115.5,13.7588,191.35,10,48.9205
904.07,13.7999,936.62,11,46.3613
783.31,18.4986,765.0,12,46.8105
1085.23,13.3757,1258.63,13,46.2989
937.81,14.6438,1270.62,14,45.9583
1203.15,21.1155,1238.47,15,46.6362
1040.79,16.1982,1587.95,16,46.1864
1222.94,15.4584,1891.12,17,46.0567
1400.56,22.2629,1449.34,18,46.9668
1114.03,16.9608,1110.69,19,47.0498
963.59,15.1671,1000.46,20,47.2887
987.41,16.0776,959.8,21,46.3371
1034.97,17.4957,1258.39,22,46.9761
1033.02,27.4331,1340.41,23,46.5401
983.28,22.34,1043.75,24,46.8146
1021.42,21.4475,1053.6,25,46.6127
1198.94,28.0903,1437.58,26,46.4913
1111.72,20.4402,1266.28,27,46.6305
1257.08,28.9565,1354.93,28,46.1092
988.17,28.2545,977.94,29,47.6143
1192.63,23.4231,1151.17,30,46.1609
925.74,33.3963,749.29,31,47.5072
1643.23,26.1207,3151.45,32,46.2198
1348.98,32.0037,1290.36,33,45.6267
1192.14,30.333,1131.13,34,46.0487
1120.23,34.3368,1075.66,35,47.0184
1340.36,30.0705,1466.32,36,46.3832
1679.47,19.9273,2697.12,37,45.8791
1261.27,32.0018,1415.75,38,46.8821
1232.06,38.5506,1075.51,39,45.6051
1177.9,32.8749,1108.84,40,45.9538
1535.16,25.5434,1284.48,41,46.0099
1820.4,22.518,3136.89,42,45.3055
1593.04,22.0675,2748.17,43,45.6715
1326.26,20.9224,1448.26,44,45.8271
1493.51,15.9865,1637.75,45,45.2021
2528.0,16.9758,241.19,46,45.026
2745.13,17.1046,3249.56,47,44.8702
3126.77,18.7653,2942.21,48,45.4369
2438.16,19.0882,2577.34,49,44.4627
3499.08,19.8355,3535.62,50,45.2065
3408.36,18.7287,3489.77,51,44.7846
3543.87,19.9562,3609.89,52,44.8508
3591.65,19.3102,3441.8,53,43.6422
3622.99,17.789,3609.31,54,44.5934
2727.83,21.1315,3284.54,55,44.3102
3660.86,22.981,3644.5,56,44.6882
3820.47,22.3567,3850.61,57,45.4517
3438.63,21.7343,3592.82,58,45.2405
3712.64,20.0365,3639.4,59,45.2416
3676.11,22.7979,3701.75,60,45.3654
3680.01,20.0765,3716.65,61,44.2922
3651.42,19.0313,3642.73,62,43.9818
3683.92,21.5774,3800.38,63,44.7023
3823.66,19.8371,3877.01,64,43.9266
3752.47,20.46,3699.19,65,43.8862
3802.38,20.9255,3919.26,66,43.4032
3834.33,20.3557,3841.58,67,43.2644
3752.41,18.8754,3914.55,68,43.0159
3892.03,19.9877,3910.81,69,44.1983
3780.54,19.1557,3805.36,70,43.2351
3791.52,17.6322,3825.84,71,43.7549
3039.04,17.7113,3314.31,72,45.1161
3732.77,17.501,3731.05,73,43.9012
773.08,57.5454,14.26,74,46.797
3733.77,23.2682,3733.99,75,44.9294
3666.6,19.2242,3632.48,76,43.9661
3547.46,17.8003,3363.38,77,43.4491
3828.01,19.4037,3778.21,78,43.9966
2616.98,18.6977,1003.04,79,43.9427
3183.75,20.3813,2241.69,80,43.4492
3867.49,21.4453,3896.69,81,44.3318
3839.64,23.8152,3474.65,82,44.3894
3799.63,19.5198,3794.55,83,43.8631
3730.24,19.8778,3749.81,84,44.0137
3614.68,18.6761,3613.79,85,43.5388
3766.31,21.1045,3828.69,86,43.9134
3928.27,18.268,3881.13,87,43.1032
3897.21,18.628,3913.16,88,43.4021
4061.85,19.466,4075.03,89,42.947
3931.23,20.4656,4018.67,90,43.409
3911.31,18.4082,3929.63,91,42.8725
4032.64,18.5891,4071.46,92,43.6785
3881.28,19.3669,3971.25,93,43.454
3933.64,17.7338,3977.31,94,43.0065
3888.83,17.9204,3917.51,95,43.2315
4065.63,18.6389,4101.72,96,43.267
3967.16,17.5544,4010.85,97,43.227
4045.46,19.3737,4111.83,98,42.3515
1277.67,20.3076,118.1,99,51.4454
4121.49,18.2268,4190.05,100,42.0924
3755.22,18.2882,3907.68,101,43.8533
4004.02,16.7412,4066.9,102,43.1935
3728.04,17.2484,2945.97,103,42.7519
3968.95,17.4526,3880.45,104,41.7561
