Running Update Time,Running Forward KL,Real Det Return,Running Env Steps,Real Sto Return,Running Reverse KL,Itration,Reward Loss
0,31.2152,191.27,0,187.38,15.1882,0,463.7821350097656
1,30.8199,302.12,5000,312.08,57.2499,1,526.3617553710938
2,30.5979,308.54,10000,313.67,41.4224,2,474.1603088378906
3,30.5093,330.92,15000,332.24,46.1524,3,365.9768981933594
4,28.5388,346.97,20000,336.99,115.6646,4,532.158203125
5,26.4882,432.23,25000,407.86,135.667,5,478.7071533203125
6,28.7456,437.31,30000,455.8,55.2192,6,292.5613708496094
7,26.6824,528.32,35000,540.02,62.8719,7,228.55349731445312
8,25.9291,631.51,40000,742.51,69.9591,8,126.25226593017578
9,24.9917,645.22,45000,732.0,42.5024,9,50.22023391723633
10,24.7195,1019.3,50000,800.43,53.15,10,-28.812084197998047
11,22.5279,1322.86,55000,831.13,38.8182,11,-61.346988677978516
12,25.0557,658.7,60000,688.53,36.6519,12,-143.08033752441406
13,22.0856,1331.39,65000,1055.19,96.5365,13,-93.24282836914062
14,21.1472,2739.41,70000,2478.61,10.8213,14,-43.83707046508789
15,19.8473,1090.33,75000,1432.13,20.2342,15,-106.62955474853516
16,20.2556,2102.4,80000,1927.43,40.5973,16,-163.43014526367188
17,21.8033,1257.69,85000,1435.04,82.4583,17,-284.1716613769531
18,19.0944,2536.93,90000,2212.57,42.6955,18,-205.1822052001953
19,19.0951,2469.43,95000,1784.66,73.6789,19,-295.9316711425781
20,20.9725,1268.39,100000,1327.59,104.2568,20,-429.862548828125
21,19.1215,2945.62,105000,1909.59,38.2363,21,-324.536865234375
22,19.0111,2137.1,110000,1742.97,65.5935,22,-380.5321044921875
23,18.9347,2984.0,115000,2324.96,19.8986,23,-261.1681823730469
24,20.6699,1545.37,120000,1386.38,69.5543,24,-616.7943725585938
25,18.146,2965.93,125000,2053.04,32.6293,25,-290.06591796875
26,18.9655,1375.26,130000,1959.03,38.2388,26,-512.7103271484375
27,21.0681,1120.51,135000,1145.68,56.1176,27,-781.0974731445312
28,18.9835,1556.43,140000,2692.8,32.5491,28,-404.73486328125
29,18.0152,2771.96,145000,2536.79,32.8613,29,-357.9866943359375
30,17.542,2149.55,150000,2679.77,21.3655,30,-313.6631164550781
31,16.9982,1528.08,155000,2391.45,26.0225,31,-411.4938049316406
32,15.7008,3435.89,160000,3082.45,15.8552,32,-106.13473510742188
33,16.4745,3481.17,165000,3340.47,9.5613,33,-55.5829963684082
34,16.437,3495.79,170000,2674.39,11.5924,34,-149.70458984375
35,16.5328,1653.96,175000,2442.8,19.7727,35,-322.2011413574219
36,17.3883,3519.18,180000,2915.28,30.3793,36,-508.6983337402344
37,17.5029,3294.57,185000,2853.78,30.6065,37,-581.5088500976562
38,15.8069,3507.77,190000,3323.09,8.6166,38,-134.45697021484375
39,16.878,2878.12,195000,3181.68,12.0236,39,-186.73043823242188
40,18.0322,2689.02,200000,2343.08,32.0709,40,-702.567138671875
41,17.0759,3514.32,205000,3328.56,9.9927,41,-63.05785369873047
42,18.2976,3562.91,210000,3512.57,11.6736,42,-88.41969299316406
43,16.6875,1648.11,215000,2462.45,14.5907,43,-461.801513671875
44,17.2915,3438.21,220000,2846.37,16.7045,44,-500.2309265136719
45,16.5584,3487.3,225000,3474.32,9.6896,45,-57.33717346191406
46,16.6248,3495.31,230000,3434.06,9.9395,46,-30.21771812438965
47,16.0978,3509.01,235000,3468.51,9.0871,47,-75.84688568115234
48,16.9905,3485.07,240000,3413.37,10.0203,48,-59.166473388671875
49,16.6097,3528.65,245000,3471.52,15.0868,49,-180.18324279785156
50,17.0511,3516.76,250000,3417.91,10.1371,50,-74.28118896484375
51,17.018,3548.85,255000,3396.44,10.2078,51,-31.904701232910156
52,16.3002,3563.88,260000,3486.22,9.7774,52,-82.19515991210938
53,16.6939,3513.49,265000,3493.97,9.9986,53,-57.45904541015625
54,15.7584,3511.35,270000,3466.02,9.3865,54,-58.343788146972656
55,15.7187,3493.06,275000,3460.09,10.1568,55,-81.24162292480469
56,15.7608,3519.05,280000,3472.9,10.2983,56,-57.56718826293945
57,16.1863,3534.15,285000,3312.88,9.924,57,-123.48004913330078
58,16.3478,3525.46,290000,3472.97,10.2737,58,-131.67999267578125
59,16.4482,3508.71,295000,3469.24,9.6641,59,-108.02114868164062
60,17.0507,3528.97,300000,3499.98,12.594,60,-158.6390838623047
61,16.4654,3522.76,305000,3486.49,10.4458,61,-133.27085876464844
62,16.424,3502.77,310000,3487.81,9.4819,62,-95.76238250732422
63,16.484,3513.19,315000,3457.68,10.397,63,-172.73822021484375
64,16.2581,3520.69,320000,3490.48,9.9344,64,-108.54857635498047
65,17.4051,3538.81,325000,3503.07,11.8317,65,-101.34549713134766
66,16.6192,3495.61,330000,3473.76,10.6328,66,-111.42665100097656
67,15.9611,3515.2,335000,3484.06,11.0268,67,-111.25834655761719
68,16.9309,3487.5,340000,3439.46,10.9945,68,-135.76353454589844
69,15.7974,3491.81,345000,3461.45,9.9174,69,-118.66826629638672
70,15.8813,3510.44,350000,3471.45,10.1485,70,-138.22381591796875
71,16.3454,3476.89,355000,3449.11,11.1766,71,-152.07330322265625
72,15.7029,3492.84,360000,3456.48,9.7326,72,-140.3567657470703
73,16.1263,3528.58,365000,3376.94,9.8547,73,-116.69525146484375
74,16.7234,3507.0,370000,3468.04,11.2673,74,-139.51608276367188
75,16.5316,3529.59,375000,3247.01,10.3463,75,-306.7388916015625
76,16.5136,3521.87,380000,3181.17,13.0691,76,-357.17608642578125
77,16.5718,3467.37,385000,3400.22,10.4733,77,-180.36712646484375
78,15.982,3484.66,390000,3460.4,10.2886,78,-146.48130798339844
79,15.6666,3492.7,395000,3468.61,10.1006,79,-163.6568145751953
80,15.5215,3507.14,400000,3483.31,9.6313,80,-150.56004333496094
81,17.1381,3510.99,405000,2588.41,15.0258,81,-496.7491455078125
82,16.3639,3511.55,410000,3479.12,10.6728,82,-154.94178771972656
83,15.9453,3504.14,415000,3461.91,9.9143,83,-164.76974487304688
84,15.8927,3474.43,420000,3454.13,9.9498,84,-130.90383911132812
85,16.6884,3203.16,425000,2650.95,15.7511,85,-731.42919921875
86,15.5154,3474.7,430000,3226.61,9.6462,86,-169.3797149658203
87,15.4485,3511.75,435000,3511.43,9.7905,87,-151.85855102539062
88,16.106,3524.89,440000,3352.33,10.0757,88,-253.63343811035156
89,15.3831,3506.33,445000,3486.13,10.1094,89,-147.79705810546875
90,15.8287,3520.52,450000,2968.4,10.9862,90,-368.5794372558594
91,14.9965,3519.31,455000,3482.27,9.128,91,-192.43115234375
92,15.2618,3515.53,460000,3491.24,9.6823,92,-213.97079467773438
93,15.2928,3528.13,465000,3486.96,9.5197,93,-198.14871215820312
94,15.4118,3495.51,470000,3471.59,9.9915,94,-180.15052795410156
95,15.3483,3513.1,475000,3237.13,9.749,95,-181.71368408203125
96,15.6052,3502.85,480000,3470.53,10.3167,96,-198.74281311035156
97,15.7221,3513.88,485000,3315.05,10.2311,97,-176.1798858642578
98,15.9941,3513.88,490000,3233.39,9.8339,98,-169.0095672607422
