Real Det Return,Running Forward KL,Running Env Steps,Itration,Running Update Time,Reward Loss,Real Sto Return,Running Reverse KL
398.29,49.2912,0,0,0,1328.91455078125,444.66,12.9778
411.49,49.0817,5000,1,1,366.88531494140625,361.32,25.4011
478.55,48.5113,10000,2,2,1016.17041015625,376.68,13.7671
436.84,49.1908,15000,3,3,1153.105224609375,378.75,13.5932
430.52,48.9782,20000,4,4,1273.9749755859375,422.84,13.3819
441.84,49.2839,25000,5,5,2073.487548828125,373.98,13.9495
513.05,48.457,30000,6,6,2158.681884765625,459.87,14.6275
455.56,48.4526,35000,7,7,1467.52001953125,547.71,17.0959
430.94,48.7784,40000,8,8,1482.7703857421875,519.79,15.5476
453.14,48.58,45000,9,9,398.7504577636719,490.04,29.1711
774.93,47.6803,50000,10,10,1693.27197265625,666.12,13.2913
738.16,48.4735,55000,11,11,1316.3990478515625,671.32,18.6196
871.4,48.2729,60000,12,12,-110.3698959350586,732.95,52.8087
863.13,47.3939,65000,13,13,960.2684936523438,742.32,20.4361
683.12,47.6559,70000,14,14,1469.3924560546875,776.42,18.3237
854.38,47.724,75000,15,15,335.1628723144531,815.59,20.2183
886.94,47.2527,80000,16,16,610.1696166992188,1014.63,19.7727
1146.53,46.9248,85000,17,17,1521.2843017578125,885.39,18.1225
1208.84,46.5565,90000,18,18,-142.71630859375,988.11,32.136
1068.5,48.191,95000,19,19,-221.21600341796875,865.39,38.6319
967.22,46.8809,100000,20,20,101.86929321289062,839.0,25.9629
1480.03,47.1095,105000,21,21,480.222900390625,1260.45,14.7353
1376.41,46.2459,110000,22,22,586.5677490234375,1132.0,15.7224
1243.42,47.4209,115000,23,23,509.9782409667969,1049.62,17.016
1342.5,46.7341,120000,24,24,971.1748657226562,1177.41,15.1156
1118.77,47.1526,125000,25,25,513.4451904296875,1099.11,15.2156
1054.54,47.4542,130000,26,26,890.3726806640625,1022.5,21.1527
948.59,46.9688,135000,27,27,758.9241333007812,979.59,14.6974
1224.55,46.1606,140000,28,28,614.1544799804688,1139.81,17.1577
1331.23,46.1456,145000,29,29,647.030517578125,1112.83,14.2144
1453.96,45.9907,150000,30,30,397.06488037109375,1211.66,15.3866
1414.64,46.8198,155000,31,31,2.0760254859924316,1223.31,14.7169
1452.75,45.4748,160000,32,32,-65.08565521240234,1440.36,14.4554
1289.11,46.2979,165000,33,33,-457.1874694824219,1276.58,22.5507
1784.57,45.6621,170000,34,34,-470.2629699707031,1424.83,25.6639
1844.44,45.67,175000,35,35,-281.8050842285156,1537.07,16.3877
1784.12,45.247,180000,36,36,-352.8579406738281,1409.87,17.3295
1793.98,45.5386,185000,37,37,-421.78472900390625,1673.93,14.292
2722.65,44.66,190000,38,38,-228.21437072753906,2603.31,15.4437
3043.7,45.3541,195000,39,39,-211.23060607910156,2537.12,14.8878
3134.0,45.7574,200000,40,40,-335.4398498535156,2945.92,16.6165
3027.4,45.0585,205000,41,41,-342.7020568847656,2752.43,15.4552
2993.72,45.4963,210000,42,42,-348.8840637207031,2971.99,16.3216
3063.95,46.6515,215000,43,43,-389.3599548339844,3044.01,18.481
3239.16,46.0001,220000,44,44,-491.0828857421875,3162.92,17.6305
3096.17,45.9574,225000,45,45,-393.24420166015625,2832.8,17.4571
3210.12,45.9599,230000,46,46,-464.2963562011719,2858.97,17.4507
3417.93,45.4702,235000,47,47,-482.2119445800781,3236.24,19.7388
