Running Reverse KL,Itration,Real Det Return,Real Sto Return,Running Forward KL
18.2635,0,235.84,228.75,39.0551
21.8543,1,281.85,281.11,38.1511
30.5837,2,146.64,178.56,39.0493
41.956,3,288.12,288.75,36.9436
17.7777,4,252.46,305.69,34.9719
29.2141,5,948.83,770.24,42.696
21.3037,6,324.75,326.94,38.6858
25.0269,7,301.78,299.49,36.5984
24.9016,8,303.67,305.04,38.7661
36.6157,9,336.86,337.03,39.4106
30.3058,10,346.13,302.13,36.9135
22.4104,11,302.37,298.51,37.7436
22.1264,12,328.88,306.42,38.1103
29.9819,13,361.96,344.33,38.3268
28.052,14,418.87,554.53,43.0972
23.7457,15,794.95,749.09,37.853
26.215,16,1025.84,1027.7,42.0205
20.1896,17,676.91,512.32,33.6986
29.481,18,582.53,572.19,34.1732
37.7062,19,629.44,609.66,33.8582
27.9058,20,522.66,557.42,33.1845
42.8366,21,686.07,648.96,34.3133
22.11,22,629.5,638.98,32.805
17.584,23,669.57,645.23,33.1224
15.9761,24,761.4,778.41,33.4339
23.982,25,661.43,638.87,33.9
