Running Update Time,Real Sto Return,Reward Loss,Real Det Return,Running Forward KL,Running Env Steps,Itration,Running Reverse KL
0,289.48,247.95648193359375,301.81,49.2174,0,0,13.3924
1,339.49,270.1822509765625,346.18,50.1124,5000,1,16.418
2,341.95,229.24981689453125,304.72,50.3715,10000,2,28.8398
3,389.27,265.40325927734375,372.91,49.0206,15000,3,12.7083
4,582.12,234.32603454589844,475.87,48.3771,20000,4,13.4892
5,374.87,195.31524658203125,445.41,49.0459,25000,5,19.0891
6,357.33,224.49481201171875,540.11,48.6911,30000,6,17.1302
7,581.13,193.57997131347656,629.66,48.0648,35000,7,21.0002
8,682.6,200.0011749267578,847.52,48.3757,40000,8,13.0942
9,565.36,227.00851440429688,549.71,48.1835,45000,9,14.7467
10,573.64,226.2296905517578,702.62,48.6421,50000,10,17.2014
11,587.9,245.5040283203125,611.32,47.7007,55000,11,17.5686
12,598.13,147.5833282470703,779.05,48.3489,60000,12,19.9007
13,702.9,164.42820739746094,719.57,47.3197,65000,13,16.6718
14,716.28,152.30760192871094,773.72,46.7084,70000,14,15.3483
15,2016.79,-6.619244575500488,2460.88,45.5867,75000,15,15.3976
16,1629.08,80.14094543457031,2220.15,45.2174,80000,16,12.888
17,1170.97,125.08809661865234,2193.56,45.7639,85000,17,12.5266
18,2439.32,-8.832603454589844,2549.74,45.5036,90000,18,14.077
19,2444.44,-13.901472091674805,2579.02,45.2836,95000,19,13.651
20,2349.32,-36.67887878417969,2395.08,44.9423,100000,20,13.4043
21,2693.73,-66.8827896118164,2715.87,45.8602,105000,21,17.5359
22,2815.02,-21.469682693481445,3031.8,44.3504,110000,22,14.5316
23,1818.59,-12.246757507324219,2696.15,44.2118,115000,23,16.1803
24,1649.28,-20.936458587646484,2072.8,44.4472,120000,24,16.8999
25,1616.15,0.8994042873382568,1090.85,44.5441,125000,25,18.617
26,3086.86,-43.198646545410156,3288.93,43.9669,130000,26,16.4746
27,3013.15,-65.94824981689453,3100.79,43.6929,135000,27,15.378
28,3193.67,-81.33122253417969,3355.46,43.3556,140000,28,14.2491
29,3116.29,-84.86616516113281,3404.57,42.8012,145000,29,13.2351
30,3536.49,-86.5775375366211,3507.68,42.7067,150000,30,13.5786
31,3369.62,-69.4692153930664,3516.92,44.2545,155000,31,23.7295
32,3135.89,-75.85906982421875,3698.89,42.8201,160000,32,21.7726
33,3319.69,-117.47860717773438,3390.06,43.4598,165000,33,17.0974
34,3502.1,-120.11575317382812,3441.68,42.722,170000,34,15.1545
35,3194.17,-108.7504653930664,3619.34,42.1306,175000,35,15.1299
36,3367.87,-125.16060638427734,3682.9,43.7022,180000,36,16.8248
37,3518.13,-100.0748291015625,3582.61,43.221,185000,37,15.4072
38,3221.97,-114.40277099609375,3811.63,41.6734,190000,38,19.126
39,3123.79,-115.8493423461914,3942.97,41.2381,195000,39,14.8598
40,3685.63,-105.39209747314453,3769.69,42.4592,200000,40,15.3899
41,3202.66,-124.8370132446289,3503.67,42.5077,205000,41,13.872
42,3734.38,-112.71539306640625,3817.32,41.5213,210000,42,15.0896
43,3180.01,-137.4885711669922,3650.67,42.0422,215000,43,16.6374
44,3563.19,-119.15829467773438,3625.72,41.7951,220000,44,14.4762
45,3783.58,-150.2500457763672,3949.73,41.5904,225000,45,16.4922
46,3464.51,-122.87226104736328,3543.62,40.1018,230000,46,13.6898
47,3797.15,-130.91928100585938,3854.54,41.1465,235000,47,13.5947
48,3573.8,-158.275634765625,3674.89,42.3315,240000,48,15.0898
49,3615.95,-154.66574096679688,3633.68,40.7372,245000,49,15.4127
50,3696.1,-162.69627380371094,3848.3,41.6109,250000,50,15.4971
51,3532.42,-149.3521270751953,3691.62,40.736,255000,51,15.3305
52,3757.87,-169.2539825439453,3901.18,41.5548,260000,52,14.1838
53,3871.99,-161.5884246826172,4046.76,41.3796,265000,53,15.4145
54,3791.4,-173.52122497558594,3897.43,40.7776,270000,54,15.9392
55,3726.96,-166.76080322265625,3583.25,41.1202,275000,55,12.6742
