Itration,Running Update Time,Running Reverse KL,Running Forward KL,Real Sto Return,Real Det Return,Running Env Steps,Reward Loss
0,0,16.0826,32.2015,200.07,203.24,0,388.5535888671875
1,1,87.9379,29.8719,328.54,317.05,5000,507.843505859375
2,2,43.5678,29.6234,301.0,305.8,10000,452.7535095214844
3,3,31.5449,28.2587,365.13,398.23,15000,408.2123718261719
4,4,35.1983,28.4215,396.52,413.26,20000,285.51983642578125
5,5,43.6568,29.066,435.64,440.12,25000,247.0272216796875
6,6,53.1693,27.6426,517.93,617.78,30000,368.03033447265625
7,7,66.0607,29.7191,466.41,490.01,35000,145.7659912109375
8,8,78.6371,27.1842,563.96,564.79,40000,63.989681243896484
9,9,81.2635,28.107,537.44,542.21,45000,-45.131404876708984
10,10,83.6151,26.5102,633.5,530.35,50000,-113.52883911132812
11,11,94.7368,27.5795,559.6,570.41,55000,-181.8821563720703
12,12,82.6834,26.9874,606.3,637.31,60000,-129.96934509277344
13,13,74.1789,25.5108,973.87,789.73,65000,-189.41146850585938
14,14,39.5279,25.7338,875.11,796.11,70000,-225.85250854492188
15,15,41.4295,24.3672,858.76,1070.72,75000,-306.9999084472656
16,16,36.1005,24.6684,950.11,1098.11,80000,-352.2568359375
17,17,38.2217,25.2455,1050.88,1063.31,85000,-481.2782287597656
18,18,51.1443,24.8384,776.41,866.71,90000,-495.72625732421875
19,19,26.1298,24.1952,1342.59,957.2,95000,-410.09344482421875
20,20,25.0697,24.2765,1392.78,1922.46,100000,-442.072021484375
21,21,14.1357,23.3302,1627.46,1584.07,105000,-288.7398681640625
22,22,13.6396,24.0514,2085.63,2546.14,110000,-393.7242126464844
23,23,16.0559,23.6193,2143.67,1794.25,115000,-451.0137939453125
24,24,23.2508,23.362,1322.0,1658.09,120000,-688.10986328125
25,25,18.2868,24.0789,1556.54,1717.53,125000,-467.0347595214844
26,26,28.3466,23.809,1396.17,1341.66,130000,-759.0150756835938
27,27,24.0797,23.6826,1211.88,2022.3,135000,-705.8522338867188
28,28,14.8179,23.55,2442.84,2567.47,140000,-429.4617614746094
29,29,15.5581,23.4768,2858.41,3052.73,145000,-479.084716796875
30,30,14.6558,24.0977,3043.78,3178.83,150000,-460.9581604003906
31,31,14.4301,23.8779,2916.61,3067.04,155000,-456.8484802246094
32,32,13.4903,22.674,2828.21,3193.59,160000,-370.830322265625
33,33,20.1239,21.5786,2744.45,3308.5,165000,-503.3503112792969
34,34,16.6606,21.2716,2188.58,2219.6,170000,-492.67169189453125
35,35,26.1485,22.8565,1912.65,2981.03,175000,-806.5305786132812
36,36,41.5176,22.3252,1398.3,1100.87,180000,-775.3960571289062
37,37,18.7874,21.806,2795.21,3295.28,185000,-609.6694946289062
38,38,28.3286,22.5737,1955.5,3105.19,190000,-948.6690063476562
39,39,32.8571,24.5701,1160.49,1177.62,195000,-1246.1856689453125
40,40,22.8162,22.8434,2862.15,3313.07,200000,-800.9965209960938
41,41,26.9523,22.1187,1886.51,1560.75,205000,-884.8997802734375
42,42,17.8179,21.7123,3142.03,3283.11,210000,-643.0613403320312
43,43,26.9682,21.4858,2083.04,3304.08,215000,-907.2179565429688
44,44,40.5931,22.1403,1584.42,1512.97,220000,-1023.2683715820312
45,45,33.1309,22.6042,2299.66,1477.73,225000,-1056.30322265625
46,46,50.0586,23.0462,1240.45,1276.81,230000,-1303.472412109375
47,47,38.5135,22.7437,1476.08,1419.72,235000,-1190.3013916015625
48,48,18.2892,21.5778,1647.39,1863.93,240000,-910.2737426757812
49,49,15.6018,21.8511,2044.84,1782.84,245000,-992.3461303710938
50,50,18.6291,22.7848,1943.62,1850.39,250000,-1008.2570190429688
51,51,14.2153,21.7229,3110.29,3331.08,255000,-390.72357177734375
52,52,14.1327,22.2178,3180.26,3371.32,260000,-514.7259521484375
53,53,22.6474,22.164,1819.5,1901.62,265000,-1175.2769775390625
54,54,13.6892,22.5264,1710.72,3264.05,270000,-826.7236328125
55,55,15.4008,21.5738,2654.73,3392.91,275000,-702.8858642578125
56,56,13.6767,21.8754,3034.93,3330.72,280000,-574.320068359375
57,57,14.465,22.0764,2832.9,3353.43,285000,-395.69586181640625
58,58,15.0824,21.9017,3240.11,3360.54,290000,-596.3986206054688
59,59,14.3758,22.0892,3240.65,3312.67,295000,-387.2013244628906
60,60,27.0842,22.2413,2342.2,3374.85,300000,-1081.1185302734375
61,61,14.2105,22.0471,3119.49,3315.15,305000,-489.4286193847656
62,62,13.7483,21.3166,3207.33,3311.46,310000,-468.9620056152344
63,63,14.9352,22.7911,3276.28,3292.39,315000,-490.2763366699219
64,64,14.0025,21.4014,2808.38,3319.69,320000,-716.4030151367188
65,65,13.5486,21.316,2983.44,3384.25,325000,-541.2481079101562
66,66,13.6682,21.2583,3325.02,3376.35,330000,-492.87115478515625
67,67,14.7238,21.7878,2834.11,3344.17,335000,-717.065673828125
68,68,18.956,21.9398,2127.9,3382.52,340000,-887.72900390625
69,69,15.1377,20.9985,2378.88,3348.98,345000,-691.7271118164062
70,70,13.5377,21.3925,3146.65,3303.3,350000,-513.7243041992188
71,71,14.0009,21.5824,3220.2,3322.4,355000,-566.8897705078125
72,72,12.5253,21.154,3059.01,3388.28,360000,-635.61083984375
73,73,13.068,21.2675,3183.52,3280.64,365000,-585.9154052734375
74,74,13.0988,20.6935,3206.02,3323.46,370000,-556.5862426757812
75,75,14.2382,21.0678,3100.6,3369.23,375000,-741.5823974609375
76,76,14.5299,21.1796,2779.87,3312.83,380000,-846.2589721679688
77,77,13.7864,21.4705,3299.59,3292.09,385000,-629.5206909179688
78,78,14.6082,20.023,2902.74,3399.77,390000,-930.895751953125
79,79,13.7096,20.7527,3244.1,3357.67,395000,-673.3809814453125
80,80,13.4568,20.9977,3234.05,3338.06,400000,-719.573974609375
81,81,12.1907,19.9921,3038.04,3340.24,405000,-781.1697387695312
82,82,13.2569,20.4988,3257.39,3357.84,410000,-701.5275268554688
83,83,12.9639,20.094,2903.81,3424.29,415000,-907.3257446289062
84,84,12.4511,20.5833,2954.18,3408.25,420000,-705.82568359375
85,85,13.1905,20.5792,2791.88,3403.31,425000,-711.029052734375
86,86,13.6275,19.9038,3406.62,3462.05,430000,-766.52099609375
