Running Forward KL,Running Env Steps,Itration,Reward Loss,Real Det Return,Running Update Time,Real Sto Return,Running Reverse KL
49.7343,0,0,165.46119689941406,314.86,0,297.13,14.0392
49.4534,5000,1,183.73068237304688,336.57,1,353.29,29.9095
48.89,10000,2,142.58705139160156,395.19,2,363.65,13.5203
49.9602,15000,3,122.90055847167969,399.35,3,254.62,18.2727
49.203,20000,4,128.7387237548828,397.1,4,384.9,15.7054
49.2941,25000,5,39.97111511230469,388.16,5,275.16,12.84
48.1274,30000,6,45.44544219970703,1060.38,6,476.89,12.6508
48.5839,35000,7,5.705356597900391,668.96,7,638.88,13.3512
48.9743,40000,8,78.74897003173828,1606.75,8,1501.67,13.7479
47.8778,45000,9,74.70919036865234,767.27,9,1145.4,16.4811
48.3269,50000,10,52.01591491699219,736.54,10,642.27,17.7065
47.851,55000,11,50.89235305786133,751.71,11,883.53,16.0642
48.8532,60000,12,55.05491638183594,634.5,12,740.04,20.2005
47.6923,65000,13,84.59947967529297,1046.02,13,827.65,17.2222
47.1729,70000,14,24.985090255737305,1374.63,14,1075.93,22.8591
48.1237,75000,15,15.024527549743652,760.47,15,732.65,39.2584
47.8711,80000,16,-40.99641799926758,997.69,16,917.77,22.9215
47.9696,85000,17,-52.51838302612305,1291.29,17,1076.71,14.9362
47.3971,90000,18,-43.67753982543945,595.76,18,986.74,27.9404
47.5158,95000,19,-7.913634300231934,781.32,19,917.96,31.4019
46.7805,100000,20,-64.43938446044922,1141.8,20,1024.92,29.5257
46.8399,105000,21,-72.39163970947266,879.6,21,1062.01,23.8085
47.3862,110000,22,-65.60615539550781,937.23,22,833.35,17.347
46.9636,115000,23,-83.50232696533203,785.47,23,948.42,17.6933
47.0734,120000,24,-70.46810913085938,773.43,24,785.66,20.3878
47.795,125000,25,-86.39845275878906,1014.28,25,843.46,19.4697
47.555,130000,26,-86.24713134765625,875.39,26,984.29,34.7543
46.7092,135000,27,-120.06144714355469,1454.67,27,1222.62,15.6527
47.9268,140000,28,-120.09593963623047,1012.98,28,1053.5,25.2984
48.1523,145000,29,-144.2401580810547,692.69,29,840.26,27.8339
47.152,150000,30,-125.22172546386719,877.09,30,953.02,53.6551
47.493,155000,31,-160.8593292236328,1031.56,31,1044.84,34.0153
46.9396,160000,32,-186.7644500732422,903.55,32,968.67,17.5121
47.2516,165000,33,-191.14306640625,1037.34,33,1099.29,38.3649
46.2071,170000,34,-197.28807067871094,1394.07,34,1063.93,38.3485
46.4692,175000,35,-184.3895721435547,1818.08,35,1613.52,36.4179
46.7514,180000,36,-230.0421600341797,977.08,36,999.4,38.3324
45.7039,185000,37,-228.3430938720703,834.25,37,1130.32,45.7692
