Running Reverse KL,Running Forward KL,Real Det Return,Real Sto Return,Itration
17.2694,44.5079,3577.67,3622.79,146
19.2382,45.0291,3630.14,3566.19,147
17.1259,44.1228,3725.43,3437.61,148
18.5913,44.3025,3655.2,3629.17,149
17.7855,44.82,3625.67,3542.43,150
17.4317,44.165,3651.6,3620.61,151
18.2127,44.1171,3696.09,3617.69,152
17.9635,44.4714,3563.62,3593.6,153
17.2268,44.404,3667.66,3673.71,154
16.4859,44.6476,3646.99,3518.07,155
18.6381,44.0563,3678.65,3669.6,156
18.3162,44.5147,3654.98,3643.99,157
17.3465,44.1973,3670.31,3613.82,158
17.0381,44.0788,3575.53,3659.51,159
17.2495,44.1838,3620.77,3634.63,160
16.4847,44.1906,3647.93,3710.78,161
17.8565,44.4149,3650.05,3678.92,162
17.7756,44.4332,3657.51,3527.98,163
17.9966,44.3651,3636.1,3672.25,164
18.2342,44.3472,3667.36,3660.0,165
18.1087,44.0699,3663.97,3719.95,166
17.0865,44.051,3576.67,3675.33,167
17.8521,44.1705,3674.24,3681.74,168
16.6136,44.7539,3761.02,3639.58,169
17.2929,44.3002,3758.16,3717.31,170
16.8707,44.1175,3646.14,3676.29,171
17.2516,44.0267,3625.15,3660.11,172
17.3983,43.8337,3589.81,3692.29,173
17.0838,44.5413,3673.44,3683.42,174
16.3599,44.2694,3598.24,3622.83,175
16.7072,44.6115,3655.34,3624.74,176
17.4856,44.3902,3635.3,3624.11,177
17.2376,44.4111,3574.03,3666.48,178
17.343,44.2661,3561.75,3668.02,179
16.954,44.3439,3644.45,3673.77,180
16.4759,44.0781,3610.89,3712.61,181
17.4379,44.404,3703.3,3747.34,182
17.4806,44.9767,3593.58,3688.97,183
16.3025,44.0415,3661.96,3645.43,184
16.4153,44.3555,3650.08,3602.83,185
17.1194,44.7043,3673.44,3672.7,186
16.4955,44.4044,3657.9,3670.2,187
17.7838,44.2056,3608.78,3634.94,188
17.2854,43.8848,3659.59,3732.97,189
16.485,44.1654,3593.65,3688.72,190
17.4994,44.2691,3662.84,3708.58,191
17.9034,44.6903,3580.13,3721.5,192
17.001,43.9377,3591.83,3705.79,193
17.2191,44.1156,3679.66,3726.97,194
16.752,44.2465,3687.85,3747.16,195
17.7063,44.498,3655.51,3697.03,196
18.5936,44.407,3804.07,3813.43,197
17.5884,44.225,3675.65,3716.27,198
16.1717,44.1965,3680.59,3646.75,199
17.1478,44.1353,3707.27,3759.02,200
16.9167,44.1274,3642.1,3724.0,201
16.9834,44.0705,3636.47,3737.3,202
17.7211,44.161,3666.62,3737.6,203
17.1567,43.9146,3683.95,3687.79,204
17.1536,44.19,3680.34,3717.51,205
16.9259,44.3028,3704.1,3726.28,206
17.6619,43.9728,3681.53,3723.61,207
17.5134,44.0129,3592.5,3689.57,208
18.0085,44.3791,3667.6,3693.23,209
18.1862,44.7144,3662.29,3678.76,210
17.8284,44.3342,3680.48,3715.66,211
17.9395,44.7367,3625.94,3670.29,212
18.0679,44.0839,3676.08,3704.67,213
18.0118,44.0835,3663.12,3717.59,214
18.5976,44.4778,3678.21,3735.2,215
18.2852,44.9082,3662.02,3663.05,216
18.5234,44.2469,3686.82,3705.08,217
18.3695,44.4911,3699.22,3710.34,218
18.4071,44.8394,3678.63,3712.54,219
18.6205,44.9681,3708.32,3722.7,220
18.4601,44.6716,3714.99,3721.84,221
19.1172,44.6649,3709.72,3727.67,222
18.5311,44.5842,3735.36,3765.44,223
18.3365,44.4946,3701.87,3736.47,224
18.0038,44.1131,3728.52,3727.88,225
18.0492,44.3052,3685.78,3700.88,226
18.6588,44.6909,3680.47,3704.17,227
17.7365,44.3001,3698.5,3736.87,228
18.8296,44.8775,3711.78,3716.96,229
18.0603,44.3629,3751.54,3756.53,230
18.7143,44.6026,3702.07,3756.99,231
18.6226,44.4297,3683.96,3730.84,232
18.5889,44.6474,3682.21,3745.42,233
18.2398,44.365,3701.86,3753.28,234
17.8627,44.604,3710.78,3760.78,235
18.2166,44.262,3712.04,3739.77,236
18.0831,44.7396,3709.83,3765.62,237
18.0201,44.0587,3712.42,3741.3,238
17.7329,44.09,3725.98,3761.63,239
17.7504,44.3418,3740.27,3767.29,240
17.9814,44.2887,3746.01,3765.88,241
17.7238,44.2997,3734.25,3764.64,242
17.6515,44.2729,3739.41,3752.03,243
17.6428,44.5564,3753.27,3759.79,244
17.7296,44.4732,3746.32,3788.25,245
17.8586,44.3626,3752.22,3768.85,246
17.9072,44.3296,3743.99,3793.0,247
18.0062,44.3969,3707.14,3826.12,248
18.6224,44.5755,3767.06,3782.22,249
17.5357,44.0444,3781.57,3799.2,250
18.4397,43.9494,3775.21,3796.31,251
18.6956,44.4348,3793.77,3807.15,252
18.6968,44.4511,3717.85,3789.89,253
18.1779,44.2913,3788.88,3803.13,254
18.3025,44.4039,3767.36,3698.53,255
17.7226,44.2146,3791.58,3825.39,256
18.4453,44.1514,3809.05,3806.61,257
18.7239,44.2949,3815.58,3849.01,258
18.3908,44.305,3810.01,3799.55,259
17.9468,44.0678,3800.02,3837.86,260
18.515,44.2052,3819.54,3843.69,261
18.4301,44.1608,3786.23,3667.77,262
18.7753,44.4298,3797.02,3841.26,263
17.9784,44.0923,3811.36,3773.53,264
19.0263,44.212,3802.93,3843.35,265
18.7526,44.23,3787.97,3796.68,266
18.5229,44.1198,3824.43,3855.25,267
19.582,44.2373,3826.0,3845.84,268
18.2361,44.2027,3820.42,3826.58,269
18.9562,44.4286,3821.5,3832.44,270
17.8459,44.1855,3795.11,3844.53,271
19.2655,44.1124,3811.71,3753.89,272
18.5564,43.924,3840.44,3834.33,273
18.6062,43.9448,3833.58,3892.19,274
18.3568,44.1138,3828.7,3798.38,275
18.5638,44.181,3827.9,3858.89,276
18.0604,43.8612,3782.67,3762.13,277
18.2471,44.096,3849.45,3702.27,278
18.6878,44.1067,3832.42,3871.97,279
18.5837,44.1439,3838.9,3692.1,280
18.8228,44.0309,3841.51,3761.84,281
18.3136,44.2691,3849.29,3621.0,282
18.2513,43.9135,3857.37,3855.99,283
17.764,44.1259,3764.48,3811.07,284
18.5525,43.8766,3842.12,3875.34,285
18.1944,43.9703,3793.69,3772.68,286
18.1245,43.8602,3846.89,3851.09,287
17.9962,43.9837,3833.33,3842.05,288
18.1075,43.9058,3810.1,3801.95,289
18.4137,43.9866,3793.47,3835.83,290
18.4921,44.0631,3773.26,3808.52,291
17.8082,43.8876,3817.11,3849.68,292
17.9922,44.1011,3786.1,3845.85,293
17.8662,44.2471,3793.2,3814.13,294
17.9388,44.1656,3804.51,3843.96,295
18.2276,43.9679,3810.07,3864.21,296
17.7204,43.852,3825.55,3867.95,297
17.5122,44.0142,3829.66,3860.98,298
17.5728,44.0228,3733.23,3815.3,299
17.9255,44.1752,3799.62,3746.8,300
17.8879,44.0824,3859.63,3840.41,301
17.947,44.0934,3806.03,3646.75,302
18.1823,43.9988,3799.55,3858.52,303
18.1978,43.8865,3855.61,3877.94,304
18.4208,43.7756,3831.96,3779.15,305
19.204,44.0809,3833.16,3876.63,306
17.6877,43.8548,3882.69,3879.29,307
19.0936,44.0307,3871.57,3924.64,308
17.8267,43.8387,3847.88,3893.44,309
17.0817,43.9524,3839.43,3815.88,310
18.6706,43.8431,3826.23,3860.11,311
17.5856,43.6128,3844.49,3800.26,312
17.6509,43.6764,3854.81,3909.78,313
18.1468,43.6154,3868.57,3889.24,314
18.023,43.7809,3877.49,3913.53,315
17.7543,43.9171,3856.94,3833.15,316
18.1417,43.3786,3942.96,3943.09,317
17.8604,43.527,3884.18,3897.93,318
17.7388,43.6923,3911.52,3937.52,319
18.0628,43.708,3879.47,3887.77,320
17.8925,43.7212,3801.64,3683.87,321
17.4727,43.5083,3864.32,3875.91,322
18.1981,43.7241,3884.58,3919.29,323
18.2768,43.432,3931.0,3723.34,324
18.4633,43.6766,3865.04,3808.12,325
17.6465,43.627,3879.18,3935.41,326
17.6512,43.8629,3836.01,3703.04,327
17.6672,43.7581,3833.32,3896.25,328
18.0563,43.6835,3857.66,3903.04,329
17.9067,43.8745,3868.0,3785.62,330
17.7785,43.637,3868.73,3894.76,331
17.6768,43.6697,3859.69,3831.99,332
18.1028,43.8021,3864.06,3871.07,333
17.4609,43.9256,3867.24,3898.17,334
17.596,43.5741,3797.26,3889.07,335
17.1358,43.9757,3811.32,3855.7,336
17.3585,43.7523,3864.11,3879.98,337
17.5118,43.9422,3848.05,3900.81,338
17.3381,43.8894,3878.11,3899.46,339
17.1748,43.6774,3925.05,3923.68,340
17.6237,43.8363,3897.51,3920.88,341
17.7783,43.771,3887.04,3920.87,342
17.002,43.5299,3915.43,3800.93,343
18.2422,43.7382,3925.03,3870.02,344
17.3161,43.5623,3894.27,3928.11,345
18.2298,43.6601,3914.54,3928.25,346
18.0112,43.759,3881.25,3908.54,347
17.8556,43.5623,3883.08,3929.44,348
17.8979,43.7107,3891.63,3937.92,349
18.0879,43.9327,3856.3,3900.06,350
17.9041,44.0121,3844.98,3818.31,351
18.0201,43.6755,3926.58,3915.28,352
17.2347,44.0391,3860.36,3910.13,353
17.9512,43.7003,3859.07,3987.63,354
18.1179,43.704,3866.8,3852.0,355
17.969,43.5817,3920.8,3886.91,356
18.3833,43.5833,3962.15,4016.37,357
18.3257,43.7119,3945.55,3976.09,358
21.0657,43.8311,3904.8,3953.7,359
18.0118,43.6689,3843.66,3964.43,360
18.0519,43.447,3986.8,3976.88,361
17.8592,43.5816,3963.81,3970.96,362
17.9325,43.5214,3935.41,3972.88,363
17.6604,43.6229,3940.53,3998.25,364
22.1369,43.6689,3945.35,3971.52,365
18.0823,43.5163,3948.02,3980.64,366
17.8449,43.4228,3936.39,3972.67,367
17.6037,43.2823,3940.12,3974.08,368
17.6837,43.6635,3895.2,3968.79,369
18.1954,43.6917,3936.77,3819.17,370
17.4177,43.5341,3931.26,3886.54,371
17.2901,43.53,3892.53,3866.39,372
17.5934,43.3364,3940.38,3973.17,373
17.6596,43.74,3877.49,3749.55,374
18.0009,43.4662,3930.73,4022.39,375
17.2806,43.4419,3981.64,4043.28,376
17.5072,43.3976,3978.98,3959.89,377
17.7955,43.7342,3915.99,3897.36,378
17.5849,43.6551,3807.24,3960.61,379
17.8684,43.6802,3923.26,3797.98,380
18.153,43.657,3850.52,3986.34,381
17.9823,43.461,3870.01,3805.7,382
18.6147,43.5855,3711.09,3989.5,383
18.1633,43.564,3952.0,3898.35,384
17.5242,43.5997,3888.15,4016.78,385
17.8271,43.991,3937.42,3854.86,386
18.0404,43.8926,3881.59,4044.33,387
17.9735,43.5301,3793.61,3987.7,388
17.8774,43.4666,3755.19,3884.69,389
21.0461,43.8163,3880.29,4023.05,390
18.295,43.9133,3948.06,3985.72,391
17.8297,43.7988,3932.78,4016.62,392
18.8136,43.6967,3807.61,3912.16,393
17.6084,43.7457,3904.05,4030.95,394
18.4555,43.7686,3885.66,3978.02,395
17.8429,43.6534,3920.09,3995.22,396
17.0993,43.3685,3899.16,3998.37,397
17.6619,43.9111,3902.26,3935.5,398
