Running Forward KL,Real Det Return,Running Reverse KL,Itration,Real Sto Return
74.748,700.0,25.4626,0,-51.3
73.4643,557.73,25.0659,1,-78.41
72.9288,585.8,26.4404,2,-40.96
70.6674,647.25,28.0807,3,42.76
71.7766,407.0,27.6644,4,23.56
72.0219,727.27,29.0455,5,39.14
72.2578,762.73,28.604,6,56.7
70.717,761.0,30.1908,7,80.68
71.1313,885.27,29.8475,8,116.32
70.4689,648.28,31.3587,9,138.17
69.2314,802.67,31.1791,10,147.69
69.1683,828.03,29.1796,11,119.89
68.2431,826.34,29.1966,12,258.95
68.5878,915.26,29.963,13,199.58
