Running Env Steps,Running Forward KL,Reward Loss,Running Reverse KL,Itration,Real Det Return,Running Update Time,Real Sto Return
0,33.28,-90.41613006591797,22.6185,0,179.31,0,176.66
5000,31.9229,-157.58241271972656,19.6777,1,254.63,1,255.85
10000,31.6607,-149.67364501953125,18.2959,2,265.68,2,247.84
15000,30.174,-155.99143981933594,17.62,3,324.55,3,316.56
20000,31.0374,-263.4012756347656,21.0905,4,319.87,4,247.87
25000,27.7342,-294.11663818359375,18.7513,5,376.18,5,367.61
30000,26.9312,-256.687744140625,22.0554,6,763.24,6,662.35
35000,26.6418,-394.94189453125,18.4733,7,378.6,7,423.75
40000,25.5765,-383.3182678222656,16.4648,8,895.7,8,857.89
45000,25.3071,-463.530517578125,16.1898,9,754.66,9,683.17
50000,25.5884,-410.8522644042969,17.0179,10,1039.38,10,933.44
55000,39.2949,-305.3429260253906,232.3796,11,6.22,11,6.22
60000,38.3701,-920.9459228515625,34.823,12,1004.54,12,1003.75
65000,37.5216,-899.1822509765625,35.125,13,987.6,13,982.62
70000,31.8625,-938.5125732421875,27.6665,14,559.45,14,285.89
75000,32.1888,-51.92299270629883,19.9712,15,248.2,15,249.16
80000,28.9508,-700.5211791992188,29.183,16,843.22,16,784.95
85000,32.968,-955.9547119140625,18.7466,17,1026.49,17,971.93
90000,29.4891,-848.987548828125,19.4044,18,516.84,18,412.46
95000,29.1912,-492.8953552246094,17.1975,19,1629.5,19,1696.1
100000,31.4338,-929.8677978515625,32.4135,20,584.92,20,574.23
105000,29.5551,-1005.5105590820312,44.7326,21,650.7,21,747.43
110000,30.6455,-1095.888427734375,52.3788,22,313.94,22,328.49
115000,32.3849,-1141.0146484375,19.8886,23,1044.78,23,1241.24
120000,39.084,-1357.9967041015625,49.4077,24,978.79,24,977.44
125000,32.6962,-1377.3974609375,46.1515,25,829.79,25,931.73
130000,31.4587,-1345.9107666015625,28.3372,26,62.07,26,50.51
135000,30.2177,-1151.1671142578125,26.0463,27,316.19,27,323.82
140000,30.6891,-1224.9747314453125,34.3495,28,148.47,28,148.53
145000,29.8819,-859.8746948242188,89.6698,29,159.26,29,160.06
150000,36.3312,-1622.3857421875,47.1777,30,1000.23,30,999.57
155000,37.9913,-1672.093017578125,52.3723,31,978.01,31,977.9
160000,32.527,-1780.800048828125,56.7209,32,276.19,32,271.08
165000,37.3709,-1227.239013671875,127.5404,33,7.32,33,7.22
170000,33.524,-1624.497314453125,45.5162,34,266.08,34,266.41
175000,36.1195,-1871.164306640625,55.5927,35,996.95,35,996.89
180000,31.5467,-1724.064208984375,29.0095,36,331.32,36,330.5
185000,30.927,-1867.8553466796875,34.8242,37,228.62,37,236.84
190000,24.8942,-1313.863525390625,19.3431,38,832.55,38,832.46
195000,27.0942,-1211.8670654296875,17.4438,39,825.81,39,849.65
200000,28.3572,-1541.2061767578125,16.9574,40,491.46,40,522.21
205000,26.4879,-985.6251220703125,15.7714,41,1843.24,41,1764.6
210000,39.2782,-2229.10546875,50.6165,42,982.05,42,981.58
215000,35.1565,-2056.3193359375,31.488,43,920.52,43,920.23
220000,33.7019,-2170.9814453125,21.5475,44,961.94,44,965.23
225000,27.7741,-1668.9522705078125,17.2852,45,1552.41,45,1483.19
230000,28.7686,-1780.791748046875,24.8941,46,1189.76,46,1294.97
235000,30.3461,-1835.255615234375,27.4701,47,1405.63,47,1387.05
240000,31.6908,-2008.772216796875,24.9694,48,1273.97,48,1279.47
245000,31.7826,-2137.361572265625,40.9097,49,726.3,49,634.03
250000,30.2022,-2068.593994140625,47.4658,50,799.96,50,1063.16
255000,30.9312,-2091.44482421875,24.2743,51,1277.12,51,1315.19
260000,32.0336,-2411.92529296875,37.826,52,1154.87,52,1148.54
265000,33.4285,-2382.587646484375,38.4515,53,1186.8,53,1186.83
270000,32.3855,-2155.60205078125,135.6322,54,395.05,54,405.56
275000,36.6109,-2754.53759765625,49.8293,55,994.79,55,994.96
280000,35.7851,-2811.4423828125,52.7055,56,998.63,56,998.47
285000,28.1919,-1749.263671875,17.1782,57,1359.47,57,1480.91
290000,29.3147,-1999.831298828125,19.5734,58,1588.81,58,1358.22
295000,28.8506,-1947.3375244140625,16.3536,59,1619.99,59,1602.63
300000,29.7549,-2638.5478515625,22.9491,60,1203.78,60,1185.02
305000,28.97,-2533.30859375,30.7257,61,1182.1,61,1139.64
310000,37.5248,-3107.851806640625,76.4991,62,126.92,62,128.62
315000,31.1168,-2543.59423828125,20.0072,63,193.69,63,196.19
320000,36.3437,-3190.191162109375,33.7429,64,981.06,64,981.32
