Itration,Running Reverse KL,Running Env Steps,Running Forward KL,Real Sto Return,Real Det Return,Running Update Time,Reward Loss
0,14.5706,0,49.338,477.25,442.87,0,1522.3658447265625
1,27.8901,5000,51.5311,266.78,256.91,1,730.7850341796875
2,22.4736,10000,48.6377,452.89,556.32,2,1155.46630859375
3,17.624,15000,48.3725,950.54,953.9,3,1690.4888916015625
4,14.7053,20000,48.4939,913.68,723.5,4,1988.037109375
5,28.6201,25000,47.3951,1495.96,2655.09,5,529.990234375
6,25.0709,30000,47.5855,932.5,749.8,6,1082.5357666015625
7,20.4009,35000,47.5626,1278.22,1332.56,7,1110.56396484375
8,24.3202,40000,47.0796,1192.18,1305.67,8,912.458740234375
9,18.2687,45000,46.9713,1202.97,1236.61,9,567.8742065429688
10,21.5534,50000,47.4138,1218.57,1341.86,10,616.3740844726562
11,15.0968,55000,47.3296,1313.08,387.0,11,636.4598999023438
12,29.8546,60000,47.9436,1156.02,1566.7,12,719.8304443359375
13,31.3875,65000,47.5467,1137.02,1379.25,13,582.0263061523438
14,31.6442,70000,47.8656,992.64,993.45,14,383.5211181640625
15,19.9547,75000,47.4842,1179.48,1585.4,15,428.27227783203125
16,27.5336,80000,46.7673,1150.15,1517.4,16,242.41299438476562
17,16.9756,85000,46.5078,971.54,1016.37,17,905.16064453125
18,16.2769,90000,46.7147,1011.24,1100.09,18,702.1848754882812
19,25.0545,95000,47.3689,932.22,1241.85,19,528.4152221679688
20,20.9409,100000,47.3906,927.44,828.79,20,375.56011962890625
21,17.4203,105000,46.5389,1068.9,940.09,21,395.7638244628906
22,21.6538,110000,47.4474,1006.24,1022.29,22,619.1347045898438
23,31.7371,115000,47.2074,1128.62,1006.52,23,345.1381530761719
24,31.443,120000,46.9067,1094.96,1091.73,24,493.6288146972656
25,21.4231,125000,46.7734,1085.34,1233.75,25,414.60321044921875
26,21.8767,130000,46.6991,1121.63,1190.21,26,249.5850067138672
27,18.2087,135000,46.4103,940.82,903.89,27,487.0772705078125
