Running Reverse KL,Real Sto Return,Running Forward KL,Itration,Running Env Steps,Reward Loss,Real Det Return,Running Update Time
13.5414,222.44,31.7558,0,0,-1279.852294921875,226.12,0
58.4722,236.85,31.8065,1,5000,-1571.48583984375,224.78,1
35.6008,302.49,31.8271,2,10000,-1358.2476806640625,306.67,2
19.2108,290.61,30.32,3,15000,-915.411865234375,292.18,3
19.7001,305.35,31.2364,4,20000,-1114.79736328125,304.19,4
14.5959,314.65,31.3164,5,25000,-1561.8848876953125,310.53,5
14.7854,319.85,30.9301,6,30000,-1554.944091796875,315.73,6
17.9556,322.24,30.7156,7,35000,-1683.134521484375,328.49,7
16.6712,322.33,30.3595,8,40000,-1727.3585205078125,323.84,8
16.5867,335.77,30.3631,9,45000,-1822.30908203125,336.89,9
17.4833,361.47,30.2201,10,50000,-1723.0870361328125,357.23,10
17.4563,508.68,24.8025,11,55000,-1789.5274658203125,535.19,11
13.1882,724.1,24.8525,12,60000,-1483.2772216796875,845.73,12
14.4674,678.99,25.1103,13,65000,-1665.4835205078125,668.37,13
13.5083,865.15,24.7466,14,70000,-1352.212646484375,969.58,14
14.0024,903.96,24.4642,15,75000,-1207.94140625,960.6,15
14.7199,837.64,24.3602,16,80000,-1262.889892578125,874.4,16
13.6423,877.29,24.0623,17,85000,-927.541015625,1073.28,17
35.1306,1098.18,23.5214,18,90000,-1528.992919921875,1068.87,18
36.3602,912.68,24.2248,19,95000,-1471.150146484375,963.67,19
39.3355,1207.64,23.4573,20,100000,-1392.389892578125,1425.64,20
15.8682,3120.1,22.4436,21,105000,-256.46551513671875,3160.2,21
28.8767,2751.99,22.3527,22,110000,-259.0970764160156,3268.28,22
22.6748,2254.51,22.6492,23,115000,-709.7410278320312,3013.94,23
45.946,2305.11,22.4063,24,120000,-330.39306640625,1488.86,24
13.0343,2113.28,22.5544,25,125000,-682.3880615234375,1485.54,25
53.3122,1816.08,22.6225,26,130000,-700.9099731445312,1156.2,26
51.6885,1974.22,22.4041,27,135000,-575.5062255859375,1268.84,27
15.035,2868.88,21.8685,28,140000,-247.6497039794922,3274.4,28
15.1288,3146.17,22.1144,29,145000,-254.13255310058594,3230.32,29
15.5176,3225.07,22.4194,30,150000,-255.27566528320312,3309.53,30
15.1132,3293.96,22.0218,31,155000,-237.2517852783203,3293.22,31
14.2307,3147.13,22.3259,32,160000,-470.4253845214844,3238.53,32
15.9128,3204.86,22.4882,33,165000,-377.87451171875,3182.29,33
13.8757,3043.01,21.7252,34,170000,-380.18743896484375,3208.07,34
15.8154,3278.62,21.6876,35,175000,-301.7893981933594,3254.67,35
14.6069,3077.46,21.53,36,180000,-265.62628173828125,3304.74,36
