Running Env Steps,Real Sto Return,Real Det Return,Running Forward KL,Reward Loss,Itration,Running Update Time,Running Reverse KL
0,235.67,234.47,38.6843,131.56483459472656,0,0,21.4432
5000,290.88,291.78,36.5968,124.85061645507812,1,1,28.5808
10000,331.93,363.64,37.0876,103.10780334472656,2,2,42.3229
15000,316.21,308.61,36.8078,83.94711303710938,3,3,56.4463
20000,417.88,435.31,36.948,56.02526092529297,4,4,57.0178
25000,447.22,461.17,36.8423,46.66086196899414,5,5,55.6521
30000,440.1,443.29,37.949,38.106624603271484,6,6,56.1039
35000,536.51,493.45,35.7959,28.378446578979492,7,7,52.0316
40000,596.91,768.75,33.369,22.498077392578125,8,8,45.4469
45000,950.6,2222.02,32.7628,3.4140031337738037,9,9,43.506
50000,671.29,766.41,32.6747,7.616401672363281,10,10,42.0287
55000,284.11,217.25,33.7887,29.636688232421875,11,11,29.4683
60000,1327.48,1199.8,30.9433,-4.191596031188965,12,12,31.3008
65000,689.45,544.17,32.1072,-12.948638916015625,13,13,39.4459
70000,957.43,936.37,32.1479,-24.183757781982422,14,14,35.8204
75000,1037.93,1908.9,32.1792,-32.180503845214844,15,15,33.8108
80000,1540.16,1767.72,30.6904,-31.98086166381836,16,16,25.5301
85000,1455.2,2299.52,30.8332,-38.77190017700195,17,17,27.3875
90000,1206.17,1205.99,32.0252,-45.61168670654297,18,18,23.721
95000,949.47,899.09,32.1046,-60.84672546386719,19,19,30.2609
100000,1463.01,1251.11,30.9263,-63.3502082824707,20,20,22.9513
105000,1477.65,1889.51,30.9372,-50.01665496826172,21,21,19.2465
110000,2660.61,2732.05,30.4427,-57.98643112182617,22,22,15.3377
115000,917.11,992.33,30.9826,-92.38479614257812,23,23,31.6065
120000,1870.72,1656.57,30.1545,-68.2965087890625,24,24,16.4942
125000,908.76,1053.4,32.1429,-104.73171997070312,25,25,29.7632
130000,1258.96,843.39,29.9447,-54.52427673339844,26,26,12.1117
135000,335.88,284.11,29.5956,-73.11614227294922,27,27,16.4717
140000,2837.93,3134.87,28.8173,-81.35971069335938,28,28,13.5828
145000,1602.65,3147.58,29.5668,-105.90258026123047,29,29,23.7775
150000,2313.58,3128.93,28.3569,-69.99742126464844,30,30,14.035
155000,2040.61,3164.6,28.5149,-105.4796371459961,31,31,21.1992
160000,2321.68,3151.92,29.9382,-118.36994934082031,32,32,21.2839
165000,3066.53,3115.27,28.928,-86.78501892089844,33,33,13.726
170000,2041.78,2536.02,28.854,-116.46160888671875,34,34,19.2643
175000,1698.86,2594.3,28.8185,-121.33086395263672,35,35,20.0886
180000,3145.29,3169.02,28.3774,-96.65821075439453,36,36,12.4608
185000,2488.54,3147.17,28.7397,-133.03936767578125,37,37,19.8392
190000,2319.45,3265.24,29.335,-151.29867553710938,38,38,25.046
195000,2112.89,3236.02,28.2694,-156.3850555419922,39,39,24.5276
200000,3189.67,3207.51,27.7862,-113.15494537353516,40,40,12.1415
205000,2795.61,3256.67,26.5147,-111.4767837524414,41,41,15.998
210000,3166.39,3122.88,28.0336,-103.19585418701172,42,42,12.0059
215000,2890.69,3213.25,27.4198,-99.56690216064453,43,43,12.4213
220000,2114.04,1908.32,28.2676,-166.53746032714844,44,44,21.4453
225000,1913.47,3095.8,28.2093,-167.623046875,45,45,22.1116
230000,3163.33,3230.39,27.8366,-119.4065933227539,46,46,12.3015
235000,2843.9,3253.13,25.8628,-123.83189392089844,47,47,16.7608
240000,3243.0,3268.21,26.7654,-108.12431335449219,48,48,11.9913
245000,3091.58,3268.27,25.5051,-104.61944580078125,49,49,10.9814
250000,3154.61,3244.65,27.9404,-128.2672576904297,50,50,13.0547
255000,3265.5,3282.1,25.1221,-116.94708251953125,51,51,11.5621
260000,3331.13,3334.53,24.9345,-114.56231689453125,52,52,10.944
265000,3041.83,3317.81,24.9073,-123.98238372802734,53,53,11.9709
270000,3282.05,3296.6,25.9112,-121.15800476074219,54,54,11.0447
275000,3288.88,3279.21,27.498,-133.16481018066406,55,55,12.9987
280000,3232.78,3277.16,26.5903,-134.3535614013672,56,56,11.7636
285000,3020.19,3290.31,26.8298,-138.91978454589844,57,57,15.3963
290000,3289.99,3326.4,24.9583,-107.31983184814453,58,58,10.3597
295000,3166.53,3300.55,28.1016,-153.70977783203125,59,59,13.3924
300000,3149.26,3288.55,24.5552,-114.91641235351562,60,60,10.4748
305000,3368.37,3377.19,24.047,-100.89997863769531,61,61,10.4709
310000,3331.5,3328.2,26.1789,-130.89044189453125,62,62,12.6154
