Running Update Time,Running Env Steps,Running Reverse KL,Real Det Return,Reward Loss,Running Forward KL,Real Sto Return,Itration
0,0,11.5385,-45.46,90.83026885986328,158.5331,-187.8,0
1,5000,11.3637,-21.17,155.3335418701172,158.346,-146.63,1
2,10000,11.8252,434.65,135.2061309814453,158.23,-20.6,2
3,15000,12.108,638.29,121.60030364990234,158.1538,128.48,3
4,20000,12.3262,727.96,-59.5073127746582,158.029,270.89,4
5,25000,12.5949,846.92,103.3508529663086,157.7791,430.54,5
6,30000,13.0391,947.72,-235.08250427246094,157.8694,534.13,6
7,35000,13.6556,1004.8,-301.573974609375,157.9922,555.27,7
8,40000,14.342,1139.46,-529.3006591796875,157.7781,731.68,8
9,45000,14.3911,897.84,-726.885498046875,157.7577,761.79,9
10,50000,15.7028,1370.03,-899.404052734375,158.0996,917.58,10
11,55000,16.6818,1543.75,-846.2578735351562,157.9023,1116.29,11
12,60000,16.8525,1503.9,-1105.64697265625,158.1005,1104.43,12
13,65000,17.0496,1637.53,-1224.78369140625,157.9137,1200.52,13
14,70000,16.9218,1649.12,-1357.0513916015625,157.9861,1237.94,14
15,75000,16.7566,1656.86,-1617.250732421875,157.9833,1144.38,15
16,80000,16.918,1677.41,-1796.2935791015625,157.8841,1233.7,16
17,85000,16.4911,1700.85,-2071.35546875,157.9908,1310.72,17
18,90000,16.4369,1734.46,-2177.499755859375,157.9572,1336.93,18
19,95000,16.7574,1757.31,-2353.15087890625,158.0084,1371.24,19
20,100000,16.3312,1772.44,-2678.125,157.8474,1373.96,20
21,105000,16.5951,1852.93,-2724.436279296875,157.9294,1457.41,21
22,110000,16.5444,1855.03,-3019.751220703125,157.9512,1481.55,22
23,115000,16.6146,1884.38,-3213.2548828125,157.8805,1501.15,23
24,120000,16.5322,1914.24,-3341.895263671875,157.669,1531.98,24
25,125000,16.5747,1865.68,-3596.889892578125,157.861,1512.51,25
26,130000,16.2875,1878.85,-3751.662109375,157.5711,1535.65,26
27,135000,16.7728,1945.73,-3953.552490234375,157.9034,1567.78,27
28,140000,16.4043,1923.31,-4116.16015625,157.6368,1550.23,28
29,145000,16.5605,1970.57,-4324.900390625,157.7345,1594.31,29
30,150000,16.8193,1976.08,-4482.2294921875,157.6046,1613.08,30
31,155000,16.1171,1903.78,-4671.64306640625,157.5171,1572.1,31
32,160000,16.62,1961.52,-4819.765625,157.5086,1628.43,32
33,165000,16.468,1974.56,-5031.2705078125,157.6147,1613.15,33
34,170000,16.6946,2030.45,-5261.048828125,157.4973,1670.91,34
35,175000,16.2236,2030.63,-5449.28955078125,157.3879,1668.8,35
36,180000,16.3441,2009.67,-5585.23486328125,157.1239,1666.01,36
37,185000,15.8895,2030.97,-5756.6845703125,157.2997,1647.87,37
38,190000,15.7327,1952.91,-5961.13134765625,157.3147,1615.95,38
39,195000,16.0361,2013.53,-6186.22607421875,157.296,1662.64,39
40,200000,15.9382,1997.95,-6412.1611328125,157.3798,1637.86,40
41,205000,15.9562,1979.86,-6564.1357421875,157.304,1660.22,41
42,210000,16.0436,1928.98,-6798.3134765625,157.4161,1621.79,42
43,215000,15.9125,1949.07,-6925.15478515625,157.1241,1675.22,43
44,220000,16.1901,2003.16,-7093.32861328125,156.9748,1697.99,44
45,225000,15.7806,1997.96,-7263.35791015625,157.1926,1682.55,45
46,230000,16.0046,2004.63,-7455.509765625,157.0643,1698.19,46
47,235000,15.7034,1981.57,-7651.3818359375,156.9828,1641.94,47
48,240000,16.2405,2089.91,-7822.62890625,156.9027,1752.91,48
49,245000,16.2557,2060.26,-7952.76708984375,157.147,1729.35,49
50,250000,15.9412,2059.31,-8169.18408203125,157.097,1717.62,50
51,255000,16.0429,2061.71,-8318.916015625,157.0377,1749.54,51
52,260000,15.9429,2072.99,-8416.5634765625,156.9505,1780.13,52
53,265000,16.053,2077.43,-8704.341796875,157.0414,1755.31,53
54,270000,16.0765,2128.21,-8901.056640625,157.1856,1755.11,54
55,275000,15.8408,2096.65,-9112.5029296875,156.9512,1752.71,55
56,280000,16.4411,2107.69,-9282.66796875,157.185,1774.25,56
57,285000,15.681,2086.3,-9394.3671875,156.9569,1745.88,57
58,290000,15.9313,2120.76,-9563.232421875,156.9948,1759.82,58
59,295000,15.7982,2026.18,-9890.73828125,156.9969,1734.33,59
60,300000,15.9997,2034.02,-10098.8603515625,157.0338,1727.51,60
61,305000,16.0927,2172.74,-10203.72265625,156.9352,1802.68,61
62,310000,16.0021,2137.29,-10499.66015625,157.0209,1772.41,62
63,315000,15.855,2137.65,-10459.873046875,156.8194,1760.92,63
64,320000,15.7148,2080.04,-10771.42578125,156.9107,1761.49,64
65,325000,15.9534,2076.06,-11117.455078125,157.1786,1733.44,65
66,330000,15.9158,2092.4,-11199.08203125,157.0109,1762.21,66
67,335000,16.095,2146.13,-11350.3583984375,156.9521,1795.53,67
68,340000,15.5811,2077.98,-11675.2392578125,156.923,1745.81,68
69,345000,15.7794,2145.85,-11764.7216796875,156.8732,1778.9,69
70,350000,16.142,2150.91,-12009.5859375,157.0378,1808.5,70
71,355000,15.6774,2141.98,-12186.7080078125,156.7607,1786.87,71
72,360000,15.5489,2126.09,-12335.5751953125,156.8586,1749.32,72
73,365000,15.6685,2091.47,-12567.37890625,156.9053,1756.48,73
74,370000,15.4573,2149.66,-12700.6318359375,156.7532,1773.0,74
75,375000,15.8141,2126.76,-12975.1630859375,156.8492,1804.15,75
76,380000,15.5399,2146.92,-13155.630859375,156.771,1787.49,76
77,385000,15.4851,2110.72,-13428.931640625,157.0979,1756.0,77
78,390000,15.6292,2110.29,-13704.1162109375,157.0243,1754.24,78
79,395000,15.7966,2158.96,-13737.1943359375,156.7838,1818.73,79
80,400000,16.4039,2188.36,-13971.306640625,157.0066,1866.33,80
81,405000,16.118,2181.8,-14164.9765625,156.9249,1805.82,81
82,410000,15.7055,2154.41,-14388.216796875,156.8345,1786.13,82
83,415000,15.3703,2092.27,-14570.7734375,156.7326,1758.24,83
84,420000,15.7614,2147.84,-14932.5927734375,157.0118,1802.96,84
85,425000,15.7068,2105.62,-15115.98046875,156.8085,1779.97,85
86,430000,15.5118,2068.94,-15356.21484375,157.0992,1780.7,86
87,435000,15.5764,2100.12,-15475.1708984375,156.9156,1782.37,87
88,440000,15.7367,2139.88,-15755.533203125,157.0694,1783.53,88
89,445000,15.848,2172.91,-15975.1064453125,156.9795,1810.47,89
90,450000,15.8171,2157.17,-16068.802734375,156.9252,1810.07,90
91,455000,15.4726,2138.93,-16259.7001953125,156.7698,1797.27,91
92,460000,15.3977,2161.49,-16595.62109375,156.9917,1786.13,92
93,465000,15.6896,2155.81,-16794.271484375,157.0014,1807.17,93
94,470000,15.9675,2183.41,-16941.189453125,156.9453,1845.87,94
95,475000,15.597,2149.48,-17209.0078125,156.9157,1824.55,95
96,480000,15.7271,2225.24,-17415.431640625,156.992,1835.69,96
97,485000,15.761,2207.94,-17476.15625,156.7158,1855.58,97
98,490000,15.6715,2187.17,-17874.078125,156.622,1834.91,98
99,495000,15.3802,2204.54,-17890.16796875,156.7903,1836.0,99
100,500000,15.7781,2192.34,-18350.466796875,156.9801,1820.38,100
101,505000,15.7048,2167.19,-18525.80078125,156.8514,1831.37,101
102,510000,15.6461,2170.5,-18744.955078125,156.9145,1821.2,102
103,515000,15.4126,2153.96,-19103.501953125,157.0084,1813.4,103
104,520000,15.6651,2208.64,-19214.583984375,156.7727,1838.09,104
105,525000,15.5068,2189.89,-19494.203125,156.7999,1816.77,105
106,530000,15.4378,2186.72,-19615.8515625,156.7986,1807.9,106
107,535000,15.6444,2219.98,-19809.4375,156.7271,1854.44,107
108,540000,15.7352,2221.83,-20230.970703125,156.8423,1844.92,108
109,545000,15.3054,2193.83,-20300.03125,156.7834,1831.92,109
110,550000,15.7063,2180.03,-20610.388671875,156.7068,1840.67,110
111,555000,15.7481,2204.96,-20945.578125,156.7745,1860.26,111
112,560000,15.478,2229.35,-21000.810546875,156.7092,1868.53,112
113,565000,15.5386,2141.79,-21299.169921875,156.8087,1825.03,113
114,570000,15.827,2230.63,-21647.24609375,156.8225,1895.92,114
115,575000,15.3629,2122.44,-21945.30859375,157.04,1820.39,115
116,580000,15.4101,2172.08,-22044.361328125,156.6601,1815.08,116
117,585000,15.8012,2217.75,-22350.05078125,156.7459,1870.57,117
118,590000,15.4022,2167.02,-22621.1328125,156.7609,1837.91,118
119,595000,15.3699,2215.26,-22892.5546875,156.7038,1835.4,119
120,600000,15.3088,2150.56,-23139.5234375,156.7941,1838.66,120
121,605000,15.5442,2181.33,-23561.947265625,156.7763,1832.24,121
122,610000,15.4055,2176.13,-23545.2109375,156.7982,1847.27,122
123,615000,15.212,2184.94,-23773.611328125,156.8429,1834.79,123
124,620000,15.503,2196.21,-24251.0625,156.7152,1839.67,124
125,625000,15.6641,2224.75,-24374.2734375,156.931,1858.8,125
126,630000,15.5375,2187.6,-24693.712890625,156.8942,1842.49,126
127,635000,15.6127,2175.16,-24986.869140625,156.7931,1845.28,127
128,640000,15.1801,2159.61,-25094.287109375,156.7328,1806.05,128
129,645000,15.4807,2240.25,-25484.953125,156.7974,1864.69,129
130,650000,15.7693,2240.75,-25755.78515625,156.8662,1850.03,130
131,655000,15.5535,2164.52,-25994.4296875,156.8258,1863.3,131
132,660000,15.4099,2225.68,-26302.2734375,156.8718,1839.01,132
133,665000,15.4402,2244.1,-26274.859375,156.603,1875.83,133
134,670000,15.198,2174.3,-26892.171875,156.7927,1824.79,134
135,675000,15.4634,2212.47,-27016.955078125,156.6708,1857.26,135
136,680000,15.6267,2243.36,-27254.947265625,156.7482,1877.28,136
137,685000,15.3737,2207.1,-27563.30859375,156.8011,1879.78,137
138,690000,15.5038,2227.71,-28079.71875,156.8282,1856.15,138
139,695000,15.4052,2256.32,-28268.95703125,156.7138,1879.38,139
140,700000,15.5688,2209.43,-28559.728515625,156.7349,1865.05,140
141,705000,15.5107,2240.06,-28731.99609375,156.6975,1875.4,141
142,710000,15.4246,2189.05,-28971.171875,156.8794,1879.62,142
143,715000,15.3488,2202.48,-29261.1484375,156.67,1876.21,143
144,720000,15.3163,2211.09,-29362.28125,156.7295,1857.43,144
145,725000,15.5328,2198.15,-29797.603515625,156.7543,1883.18,145
146,730000,15.3624,2228.02,-29986.77734375,156.6295,1906.5,146
147,735000,15.4508,2200.48,-30153.853515625,156.6657,1898.5,147
148,740000,15.1799,2214.47,-30495.1328125,156.7319,1852.52,148
149,745000,15.1503,2196.07,-30680.72265625,156.8005,1841.96,149
150,750000,15.3933,2232.46,-30683.21484375,156.6079,1886.36,150
151,755000,15.3421,2213.68,-31149.318359375,156.6908,1876.58,151
152,760000,15.081,2144.93,-31414.953125,156.7222,1836.58,152
153,765000,15.2675,2227.78,-31455.20703125,156.7205,1894.44,153
154,770000,14.9082,2203.6,-31673.28125,156.6685,1847.04,154
155,775000,15.5898,2273.61,-31864.326171875,156.6741,1903.67,155
156,780000,15.3363,2217.74,-32171.63671875,156.6706,1864.02,156
157,785000,15.0937,2231.97,-32233.841796875,156.6608,1897.16,157
158,790000,15.3153,2190.95,-32831.41015625,156.8586,1884.34,158
159,795000,15.0611,2218.78,-32756.298828125,156.9013,1854.85,159
160,800000,15.5421,2224.95,-33044.26953125,156.6684,1886.27,160
161,805000,15.5319,2240.2,-33160.2109375,156.5771,1914.36,161
162,810000,15.3809,2210.04,-33566.9921875,156.7322,1903.2,162
163,815000,15.4788,2238.62,-33845.9921875,156.5935,1890.26,163
164,820000,15.4381,2275.94,-34052.22265625,156.6584,1892.19,164
165,825000,15.7052,2269.49,-34259.7578125,156.6624,1949.7,165
166,830000,15.4764,2267.48,-34203.8359375,156.6385,1932.26,166
167,835000,15.6445,2269.24,-34512.42578125,156.7947,1900.75,167
168,840000,15.1525,2260.1,-34827.30859375,156.713,1891.07,168
169,845000,15.431,2220.11,-35099.12109375,156.8021,1906.54,169
170,850000,15.6411,2288.83,-35373.3359375,156.8166,1931.68,170
171,855000,15.245,2237.36,-35563.78515625,156.7407,1892.75,171
172,860000,15.1595,2252.16,-35682.1640625,156.5732,1875.81,172
173,865000,15.3901,2274.17,-36057.04296875,156.735,1904.91,173
174,870000,15.2786,2240.23,-36102.13671875,156.7208,1889.19,174
175,875000,15.0091,2226.43,-36333.09375,156.7033,1880.91,175
176,880000,15.3129,2240.52,-36413.421875,156.6733,1874.53,176
177,885000,15.3613,2252.41,-36821.8203125,156.7508,1902.73,177
178,890000,15.2497,2249.61,-37019.8671875,156.7326,1924.04,178
179,895000,15.1909,2233.87,-37109.7890625,156.6827,1889.49,179
180,900000,15.1987,2222.44,-37414.83984375,156.7085,1880.61,180
181,905000,15.2278,2205.27,-37487.9296875,156.5828,1889.35,181
182,910000,15.1755,2189.24,-37764.66015625,156.5927,1860.73,182
183,915000,15.0852,2267.08,-37832.49609375,156.6145,1909.72,183
184,920000,15.3793,2243.65,-37986.3046875,156.6825,1923.18,184
185,925000,15.3734,2236.57,-38075.46875,156.5628,1898.94,185
186,930000,15.6314,2282.29,-38577.21484375,156.6894,1933.18,186
187,935000,15.4301,2234.51,-38590.30078125,156.8244,1908.53,187
188,940000,15.3429,2243.74,-38772.94921875,156.6235,1909.61,188
189,945000,15.1575,2269.1,-38676.390625,156.5129,1899.12,189
190,950000,15.2412,2250.33,-38904.78515625,156.7261,1906.18,190
