Running Update Time,Running Env Steps,Real Det Return,Itration,Running Reverse KL,Running Forward KL,Real Sto Return,Reward Loss
0,0,318.81,0,13.6667,28.9635,310.29,-915.2520141601562
1,5000,385.67,1,28.982,28.7386,376.64,-1119.8856201171875
2,10000,335.19,2,22.9262,29.0418,346.3,-1344.7767333984375
3,15000,387.09,3,22.45,27.8537,367.91,-1452.533935546875
4,20000,676.28,4,35.8917,26.1751,580.93,-1278.9407958984375
5,25000,20.27,5,23.4943,25.9017,207.79,-1277.95751953125
6,30000,2462.01,6,15.2235,25.0086,1267.39,-997.2636108398438
7,35000,1170.86,7,26.6563,24.9536,1274.16,-901.3434448242188
8,40000,1618.49,8,16.7221,25.0174,1475.44,-1081.382568359375
9,45000,2917.47,9,15.3267,25.4618,2697.75,-553.0414428710938
10,50000,2507.08,10,44.1694,24.3272,1213.09,-604.603515625
11,55000,922.43,11,17.4561,25.5417,1034.69,-1465.9952392578125
12,60000,652.84,12,46.4169,26.2496,696.82,-1281.865478515625
13,65000,836.26,13,28.5013,24.8618,809.47,-1416.9219970703125
14,70000,820.82,14,15.5221,24.2564,1103.57,-1174.514892578125
15,75000,1085.4,15,28.2482,25.0741,1157.7,-1541.20166015625
16,80000,3106.62,16,18.5867,24.3587,2058.57,-971.5252685546875
17,85000,3178.18,17,17.8019,23.1158,2260.07,-880.9359741210938
18,90000,898.82,18,23.0367,24.7548,1012.55,-1738.176513671875
19,95000,3103.82,19,14.9918,23.9189,3034.08,-496.186279296875
20,100000,3060.34,20,16.9558,23.8699,2407.48,-737.5931396484375
21,105000,3106.51,21,16.9832,24.1443,2667.94,-783.2720947265625
22,110000,3003.95,22,13.606,22.8084,2842.39,-492.73828125
23,115000,2895.07,23,13.3952,24.102,2961.77,-596.0118408203125
24,120000,3127.58,24,14.9333,23.3716,2504.71,-606.4827880859375
25,125000,2976.21,25,14.5782,23.5752,2892.37,-510.3738708496094
26,130000,2987.93,26,14.3103,23.3808,3073.27,-495.5048522949219
27,135000,3173.31,27,14.0641,22.9058,3036.46,-575.016357421875
28,140000,2528.91,28,14.384,23.5551,3049.83,-494.5783996582031
29,145000,3151.14,29,15.6556,24.0323,2626.62,-870.8067016601562
30,150000,3041.5,30,15.8329,23.6596,2457.28,-934.3169555664062
31,155000,2476.16,31,14.6525,24.1686,2790.55,-679.7951049804688
32,160000,3059.45,32,14.6129,23.6538,3004.12,-511.25274658203125
