Running Update Time,Reward Loss,Running Reverse KL,Running Env Steps,Itration,Real Det Return,Running Forward KL,Real Sto Return
0,288.8486328125,21.1272,0,0,177.2,33.637,189.24
1,145.6988525390625,18.5113,5000,1,234.87,33.1743,232.47
2,182.53305053710938,17.3766,10000,2,219.59,31.4989,226.65
3,43.233341217041016,23.2976,15000,3,198.93,31.0807,200.8
4,53.34846115112305,21.5957,20000,4,359.9,31.0092,389.16
5,320.97442626953125,31.148,25000,5,323.8,30.6932,320.61
6,-28.495542526245117,22.5352,30000,6,373.39,31.3207,371.15
7,-92.00059509277344,27.169,35000,7,384.37,31.3926,378.24
8,-138.96566772460938,29.0505,40000,8,384.78,31.2158,377.78
9,-161.9085693359375,30.2619,45000,9,410.32,28.7809,451.42
10,-214.3795623779297,27.006,50000,10,503.49,27.7605,451.35
11,-261.0095520019531,27.3787,55000,11,558.5,28.3449,536.01
12,-260.7048034667969,21.2964,60000,12,636.22,26.9008,594.77
13,-299.7757568359375,15.0192,65000,13,865.92,26.1563,859.33
14,-317.2931213378906,16.3801,70000,14,942.58,26.3044,853.62
15,-228.26158142089844,14.4383,75000,15,902.46,26.5657,929.55
16,-128.7589874267578,13.2431,80000,16,847.74,26.1024,1061.09
17,-239.8108367919922,14.0732,85000,17,1037.3,25.1705,1122.77
18,-258.22991943359375,17.4216,90000,18,815.12,25.7448,774.7
19,-328.1681823730469,14.8269,95000,19,883.62,26.1177,885.66
20,-266.9932556152344,14.3664,100000,20,977.24,25.4076,917.44
21,-367.2015686035156,14.7809,105000,21,866.15,25.1095,987.86
22,-379.72509765625,13.5152,110000,22,2897.59,24.6401,1690.96
23,-481.9002685546875,15.9453,115000,23,1031.09,25.1993,940.65
24,-553.9956665039062,18.4402,120000,24,798.74,25.8166,765.83
25,-519.5281372070312,15.4502,125000,25,1132.0,25.2304,1289.88
26,-424.10614013671875,16.0003,130000,26,1898.48,24.5595,1659.34
27,-645.8944091796875,18.4046,135000,27,886.39,25.8215,918.86
28,-270.4027404785156,14.52,140000,28,2781.38,24.4591,2374.52
29,-656.5084838867188,16.1049,145000,29,1093.68,24.7351,1024.62
30,-550.0546875,15.008,150000,30,3115.34,23.637,1563.85
31,-684.1326904296875,15.0807,155000,31,1268.81,23.9211,1191.78
32,-741.9839477539062,18.35,160000,32,901.39,24.9894,914.56
33,-749.8368530273438,16.9174,165000,33,927.45,25.1022,1063.62
34,-576.9358520507812,15.289,170000,34,1088.24,24.1067,1735.13
35,-781.5624389648438,15.911,175000,35,1511.04,25.0462,1114.78
36,-521.298095703125,14.1087,180000,36,2341.05,24.1285,1854.65
37,-788.9779663085938,14.4562,185000,37,1070.88,24.2239,1335.91
38,-515.7193603515625,13.6703,190000,38,3075.75,23.6518,1936.13
39,-929.8231811523438,15.5795,195000,39,1164.31,25.3851,1191.74
40,-615.1978759765625,13.2667,200000,40,3092.44,23.8329,2276.45
41,-857.5071411132812,14.5328,205000,41,1038.9,25.264,1770.36
42,-860.6392822265625,14.6867,210000,42,1713.39,24.4846,1764.03
43,-850.1991577148438,13.6864,215000,43,1891.08,24.9309,1379.65
44,-727.5059814453125,13.1155,220000,44,3096.68,24.653,2257.74
45,-873.8381958007812,15.3678,225000,45,1106.77,24.9331,1192.21
46,-789.2284545898438,13.5973,230000,46,2454.52,24.5546,1752.31
47,-982.7500610351562,13.8383,235000,47,1034.77,25.0386,1370.03
48,-667.5547485351562,13.8461,240000,48,2248.51,23.2576,1852.7
49,-594.559814453125,12.9846,245000,49,1796.89,24.1577,2015.56
50,-710.0506591796875,16.4728,250000,50,1946.67,24.2439,1607.43
51,-538.3587646484375,15.3275,255000,51,3118.99,23.7922,2427.33
52,-822.9600830078125,12.8652,260000,52,2389.71,23.8066,1717.76
53,-838.8381958007812,12.8116,265000,53,1904.07,23.7387,1768.45
54,-1064.8218994140625,18.3709,270000,54,2126.3,24.1084,1425.01
55,-573.1251220703125,12.9369,275000,55,3143.83,23.2019,2251.57
56,-1095.4267578125,20.3605,280000,56,1247.65,24.3741,1317.34
