Running Forward KL,Running Reverse KL,Real Sto Return,Real Det Return,Itration
74.2813,24.7585,-75.58,419.26,0
73.5149,25.7041,-18.43,537.38,1
72.8511,27.0402,8.25,635.3,2
70.2598,25.8768,25.89,577.39,3
71.6856,27.2262,56.22,670.49,4
73.0801,28.7278,83.88,737.94,5
70.533,29.157,103.62,756.82,6
70.4841,29.0242,113.35,803.35,7
70.5727,29.2882,96.15,559.06,8
70.5623,30.1521,148.66,751.56,9
70.3209,29.7838,126.1,675.73,10
71.4066,29.0428,154.12,515.51,11
72.5992,31.1213,161.18,802.56,12
70.1116,29.7157,130.4,669.32,13
69.494,29.9891,173.29,734.33,14
70.7573,30.4773,178.46,554.03,15
73.1125,30.8152,126.28,692.21,16
70.9562,30.2641,173.61,558.09,17
67.8269,29.6488,248.92,737.43,18
68.2114,29.4289,152.71,715.64,19
68.0726,29.2516,199.89,884.86,20
67.3319,29.4284,263.67,894.84,21
71.6855,30.2943,133.99,529.42,22
71.8257,30.735,178.81,737.72,23
72.5316,30.7157,193.67,726.17,24
69.9146,30.4159,229.51,795.59,25
70.8385,31.0283,200.42,802.98,26
68.2026,30.1922,222.86,667.29,27
70.6825,31.0855,280.46,961.74,28
64.4507,29.1782,313.99,917.11,29
66.1388,29.4143,211.7,854.33,30
69.626,30.9608,236.31,813.32,31
69.4123,30.4878,256.29,758.98,32
66.8862,30.0832,323.67,856.21,33
67.2892,30.0238,334.73,937.33,34
69.3832,31.0784,273.73,851.38,35
71.293,31.2484,187.37,835.52,36
67.6206,30.0157,245.84,884.13,37
70.069,31.5266,306.81,914.82,38
67.7805,30.8842,287.29,857.67,39
67.9807,30.5974,283.65,907.48,40
68.6571,30.0675,262.42,897.22,41
70.1226,30.2769,247.0,634.51,42
73.368,31.545,237.02,940.14,43
69.7137,30.0883,288.19,898.25,44
69.0495,30.3551,248.5,582.97,45
70.7712,30.8886,303.64,783.93,46
68.9546,30.2947,276.49,866.88,47
68.1652,29.9352,251.63,873.72,48
67.2185,30.3759,259.61,943.79,49
69.5876,30.72,265.7,713.23,50
67.7159,30.5564,345.39,929.86,51
67.0946,29.0862,281.1,953.91,52
68.7455,29.7074,274.41,798.63,53
70.1048,30.8403,310.16,767.85,54
69.3604,30.1951,321.95,883.69,55
69.3919,30.6725,343.18,899.6,56
70.2742,31.0975,188.64,756.31,57
69.701,30.1757,230.61,772.76,58
70.6065,30.7671,292.92,761.76,59
70.2232,30.4231,317.72,732.87,60
71.2513,31.2578,297.45,823.51,61
68.8334,30.8138,274.08,862.68,62
70.803,31.681,322.72,884.98,63
71.2386,30.9151,264.51,813.02,64
70.7122,30.926,285.61,877.13,65
70.8772,31.096,263.34,922.89,66
71.0298,31.2337,321.51,990.46,67
68.2258,30.2027,332.07,893.84,68
69.7414,30.071,346.28,957.71,69
66.0925,29.7635,317.02,940.2,70
71.1863,31.4871,259.74,707.11,71
69.165,30.4373,352.77,888.75,72
70.3986,30.2598,307.06,689.17,73
69.2301,30.7484,340.09,989.17,74
65.6246,29.0237,309.54,693.11,75
68.4263,30.0659,262.08,941.71,76
69.8028,30.453,307.39,1012.03,77
71.5988,30.8917,249.19,821.27,78
67.6229,29.8055,292.06,858.35,79
65.4151,28.9968,309.97,825.7,80
68.4642,29.7975,355.81,776.91,81
69.0724,30.8623,321.81,886.96,82
66.7297,29.8611,375.97,864.36,83
70.1345,31.1257,339.12,857.56,84
70.3443,30.5723,313.49,992.52,85
69.1087,30.7593,270.49,805.26,86
69.1172,30.7757,386.88,961.14,87
67.221,30.2949,370.53,857.06,88
69.578,30.6983,318.38,778.35,89
68.8847,30.6961,322.09,945.46,90
68.7465,30.3066,340.23,838.52,91
67.9115,30.8072,327.3,997.16,92
67.7939,30.4581,315.28,817.32,93
67.1827,29.9888,309.51,843.34,94
67.34,29.9828,390.7,999.45,95
69.0262,30.0386,345.12,721.4,96
68.662,30.7783,358.59,911.56,97
68.667,30.476,368.66,985.54,98
71.0506,30.4617,348.31,954.91,99
69.0972,30.296,405.19,982.92,100
67.6232,30.2713,394.23,936.47,101
70.8373,31.0341,358.91,954.73,102
67.8787,30.012,290.38,763.25,103
70.6858,31.0606,365.98,927.51,104
71.7397,31.1481,355.81,986.57,105
68.9666,30.6111,367.15,968.2,106
66.1646,29.4959,316.0,912.85,107
68.3237,30.2056,329.95,734.87,108
66.9233,29.6694,372.03,986.55,109
68.4493,30.1964,327.75,916.52,110
72.6445,31.0047,346.2,950.44,111
68.4907,30.5308,395.36,919.42,112
63.0564,27.9028,370.2,869.07,113
72.4287,30.654,385.29,822.78,114
68.6276,30.7037,370.75,865.9,115
68.5977,30.5437,395.79,970.47,116
70.3961,30.4611,408.35,920.12,117
69.7693,30.3881,344.41,927.91,118
68.1606,30.1282,356.41,961.04,119
71.4281,31.1524,311.86,869.87,120
69.6284,29.9189,386.51,1021.68,121
68.4192,29.9375,342.06,1049.44,122
70.8111,30.7454,342.65,835.94,123
68.7863,30.4734,350.75,848.52,124
71.1742,30.4066,283.34,940.71,125
69.8276,30.5433,348.85,858.82,126
66.8657,29.126,332.98,993.38,127
68.9356,29.8337,340.69,979.06,128
72.1322,30.8183,304.03,904.62,129
70.8998,30.528,364.64,909.49,130
66.6992,29.9106,363.71,923.6,131
68.616,29.9936,420.68,1045.88,132
68.0764,29.6504,391.76,1015.0,133
67.98,29.4764,364.22,1016.3,134
66.8907,29.456,372.87,990.12,135
70.3315,30.6008,375.89,930.89,136
64.8058,28.6117,437.77,1037.25,137
69.2763,30.0739,405.05,1000.71,138
68.7545,30.0051,384.6,988.33,139
67.3181,29.8237,423.24,934.89,140
69.5476,30.1373,405.13,896.54,141
71.1959,30.729,329.26,933.23,142
68.1606,30.0623,390.57,1062.69,143
67.9511,29.362,388.77,1031.99,144
69.0212,29.8836,373.25,972.83,145
71.6698,30.5259,342.36,967.34,146
68.0373,29.3493,458.76,1062.89,147
67.4129,30.0251,381.21,1015.67,148
69.5874,29.798,393.59,911.15,149
69.5114,29.8778,370.94,1067.2,150
68.8633,29.9318,386.45,912.74,151
66.8269,29.3665,373.14,1017.84,152
68.0531,29.8404,338.13,922.29,153
67.7731,29.5759,354.38,825.42,154
68.2859,30.0314,422.19,1066.13,155
68.4167,29.8347,422.48,1047.96,156
69.1447,30.4292,434.08,773.03,157
70.3321,30.7887,381.76,1004.7,158
70.1271,30.0275,339.82,1000.62,159
66.4041,28.7566,387.52,1041.98,160
65.6365,28.961,501.57,868.32,161
69.4579,30.7406,369.3,932.89,162
66.7619,29.1865,436.92,1074.98,163
67.6416,29.2821,360.34,1008.13,164
68.7549,30.2311,347.79,1043.13,165
69.1965,29.9855,392.79,957.47,166
68.408,30.3096,467.25,1018.17,167
66.2562,28.9524,430.98,1010.96,168
66.7912,29.6358,439.07,1071.15,169
67.2453,29.0937,398.91,987.6,170
