Running Forward KL,Real Sto Return,Itration,Running Reverse KL,Running Update Time,Reward Loss,Running Env Steps,Real Det Return
436.866,322.4,0,260.1554,0,200.49380493164062,0,522.11
444.2199,306.85,1,279.1089,1,1082.500732421875,5000,318.87
444.4048,337.78,2,251.074,2,577.8385620117188,10000,335.77
416.0092,414.18,3,259.5886,3,-804.3457641601562,15000,561.84
414.582,392.27,4,251.9601,4,-840.678955078125,20000,321.13
425.3057,379.74,5,259.0519,5,-1384.4068603515625,25000,318.89
397.3838,414.53,6,245.3428,6,-1236.8941650390625,30000,534.02
394.1821,379.21,7,267.2588,7,-819.0951538085938,35000,368.6
414.6475,407.56,8,260.911,8,-1631.2025146484375,40000,388.69
394.3313,440.94,9,256.6886,9,-1752.214111328125,45000,433.81
410.2361,481.32,10,353.2363,10,-1893.3125,50000,448.2
402.5345,421.71,11,329.5705,11,-2396.560546875,55000,536.73
395.2731,479.13,12,260.3379,12,-2511.37255859375,60000,476.08
388.4523,451.76,13,251.7096,13,-2541.4736328125,65000,508.34
383.4085,482.63,14,265.1168,14,-2893.758056640625,70000,472.29
394.485,502.21,15,250.361,15,-3491.235107421875,75000,423.05
392.1842,482.13,16,256.4481,16,-3436.06396484375,80000,475.93
388.5721,428.94,17,251.956,17,-3732.404052734375,85000,425.5
397.3071,507.4,18,272.9833,18,-4326.14453125,90000,406.49
386.1457,526.06,19,238.7442,19,-3591.990234375,95000,562.65
381.3702,535.32,20,265.8055,20,-4255.31884765625,100000,508.71
385.1081,445.5,21,274.6045,21,-4509.7705078125,105000,391.98
383.9647,459.44,22,279.9849,22,-4751.4033203125,110000,422.05
393.6118,650.27,23,253.0455,23,-4542.6533203125,115000,712.09
387.3959,652.66,24,255.4733,24,-4759.79296875,120000,504.32
377.3473,615.27,25,253.2499,25,-4893.49365234375,125000,650.27
379.7708,610.49,26,245.011,26,-4859.78564453125,130000,674.01
379.5969,610.96,27,251.4555,27,-5003.41943359375,135000,556.74
383.8411,570.61,28,257.5787,28,-5233.5966796875,140000,749.98
388.0839,554.3,29,242.4475,29,-5308.1474609375,145000,593.54
386.9521,569.5,30,241.66,30,-5580.2412109375,150000,572.06
379.3466,596.08,31,229.3282,31,-5645.1064453125,155000,521.05
387.4344,600.29,32,249.6858,32,-6251.623046875,160000,579.66
376.5151,610.17,33,250.4842,33,-6276.609375,165000,570.95
351.5932,684.78,34,232.2693,34,-6427.99365234375,170000,607.88
368.1617,739.56,35,266.0249,35,-7083.3154296875,175000,585.23
376.5944,776.35,36,241.7705,36,-6977.17578125,180000,636.7
362.8463,733.77,37,269.4068,37,-7346.41259765625,185000,657.48
384.8137,714.02,38,239.9247,38,-6887.8544921875,190000,784.92
373.7231,740.52,39,266.0343,39,-7453.666015625,195000,794.25
360.9004,819.84,40,232.9538,40,-6830.560546875,200000,772.72
362.4001,761.17,41,253.5579,41,-7491.71533203125,205000,748.52
371.7491,921.22,42,216.6724,42,-6675.97216796875,210000,830.83
364.9002,864.37,43,257.6186,43,-8072.595703125,215000,825.29
356.3254,992.89,44,234.8412,44,-7436.1005859375,220000,830.65
