Running Update Time,Itration,Real Det Return,Running Reverse KL,Running Env Steps,Running Forward KL,Reward Loss,Real Sto Return
0,0,317.08,254.8463,0,442.8459,-2047.962890625,341.96
1,1,419.4,316.6405,5000,447.462,-2481.35546875,374.25
2,2,538.3,277.1584,10000,451.9776,-3018.30908203125,340.96
3,3,361.07,231.0369,15000,430.9803,-2377.563720703125,403.69
4,4,311.82,356.6362,20000,448.4472,-5599.5185546875,392.62
5,5,303.81,271.5729,25000,436.3988,-4131.234375,355.58
6,6,367.22,298.1933,30000,422.4482,-4984.28515625,378.58
7,7,344.73,326.1457,35000,429.6868,-5627.03271484375,371.09
8,8,593.95,261.8669,40000,412.4335,-3783.07177734375,420.77
9,9,504.23,249.4709,45000,408.1687,-4318.38916015625,378.22
10,10,485.01,272.6313,50000,430.2811,-4407.6416015625,427.39
11,11,349.82,285.3138,55000,409.7858,-6505.822265625,412.6
12,12,358.47,301.3789,60000,414.5926,-6788.2548828125,351.15
13,13,374.44,283.8287,65000,409.5361,-6359.7958984375,445.36
14,14,417.73,282.2105,70000,419.1986,-7077.6416015625,398.77
15,15,437.62,239.34,75000,389.0429,-4418.16064453125,534.82
16,16,468.62,251.9358,80000,394.8106,-5842.3251953125,527.38
17,17,530.92,249.2152,85000,390.356,-5027.16943359375,496.44
18,18,469.09,270.8726,90000,390.3834,-6646.67529296875,542.08
19,19,614.32,242.5962,95000,392.476,-4855.43359375,571.09
20,20,545.4,238.1495,100000,387.5568,-5779.1767578125,595.56
21,21,635.07,236.8652,105000,380.6765,-5108.62548828125,584.1
22,22,496.3,276.302,110000,395.4311,-7612.63232421875,669.07
23,23,540.7,259.5178,115000,380.0986,-7584.18408203125,645.29
24,24,450.18,281.3083,120000,400.733,-8553.544921875,607.33
25,25,497.64,242.2796,125000,389.3764,-7575.82373046875,661.88
26,26,687.41,236.9126,130000,374.8919,-6997.90966796875,682.52
27,27,584.33,249.4319,135000,393.3227,-8028.2294921875,749.72
28,28,557.67,223.007,140000,387.6075,-5661.421875,709.26
29,29,553.92,243.0922,145000,376.8604,-7568.85791015625,684.13
30,30,568.65,282.5937,150000,382.1144,-8866.6591796875,715.19
31,31,484.73,228.1489,155000,392.1145,-6031.2568359375,619.01
32,32,558.61,271.2615,160000,381.6026,-8453.8466796875,773.9
33,33,566.06,271.496,165000,390.5134,-8409.056640625,701.0
34,34,658.88,275.4076,170000,371.0136,-8425.8974609375,737.24
35,35,541.48,282.3134,175000,369.8862,-9318.119140625,798.97
36,36,600.47,281.149,180000,370.9322,-9021.7890625,781.26
37,37,586.45,261.3851,185000,379.258,-9160.6787109375,1008.0
38,38,624.3,240.7304,190000,373.9908,-7556.24853515625,1127.53
39,39,536.71,250.8711,195000,372.0609,-8867.3388671875,1122.13
40,40,625.82,216.3843,200000,354.9303,-7213.884765625,1302.55
41,41,873.17,210.0309,205000,348.3448,-6706.83642578125,1976.84
42,42,618.55,255.7107,210000,370.5195,-8976.9375,1022.5
43,43,553.83,216.7953,215000,350.6286,-7416.9169921875,1350.46
44,44,697.18,246.7256,220000,363.6506,-8737.1943359375,810.84
45,45,891.46,180.0496,225000,353.754,-6368.4033203125,1625.5
46,46,799.43,195.884,230000,345.878,-7136.4609375,1719.62
47,47,895.41,218.4684,235000,357.0134,-7022.298828125,1483.65
48,48,810.99,225.0108,240000,360.2263,-6752.4443359375,1742.46
49,49,1740.45,247.8548,245000,371.0418,-7714.1455078125,1058.69
50,50,1621.34,227.8499,250000,344.3269,-7834.2666015625,1451.74
51,51,2106.26,211.2374,255000,355.1013,-7545.7294921875,1210.55
52,52,1246.43,194.7352,260000,347.3599,-6386.82958984375,1394.09
53,53,760.7,250.2181,265000,372.1078,-8393.0107421875,829.86
54,54,893.69,227.7874,270000,367.2402,-8249.607421875,1726.11
55,55,2034.8,180.3251,275000,345.8932,-5607.533203125,1620.06
56,56,717.14,243.3544,280000,367.5962,-8055.2177734375,907.2
57,57,983.78,230.2992,285000,368.318,-8523.8583984375,1195.92
58,58,1030.92,225.3513,290000,376.2286,-9252.18359375,1079.24
59,59,742.4,250.9895,295000,391.4596,-10772.8369140625,1171.15
60,60,2393.53,199.2422,300000,349.3541,-8443.0966796875,1968.81
61,61,1513.48,244.1645,305000,376.1919,-9919.283203125,1157.78
62,62,2583.73,194.2213,310000,363.699,-7667.6328125,1674.36
63,63,3049.52,187.5637,315000,349.5351,-6995.98046875,2042.07
64,64,1919.39,182.8586,320000,329.6371,-8174.25048828125,2492.57
65,65,3072.68,181.6343,325000,327.2509,-8042.5595703125,2477.33
66,66,1489.71,249.1878,330000,358.5078,-10666.1748046875,1740.65
67,67,1908.97,194.1866,335000,333.1121,-8988.9755859375,2360.66
68,68,2196.08,225.4342,340000,347.9795,-9855.9208984375,1645.47
69,69,2658.74,252.7513,345000,360.4925,-11641.7705078125,1482.43
70,70,908.11,236.3494,350000,359.7509,-10338.17578125,1512.01
71,71,1919.0,186.5996,355000,330.3788,-7580.86962890625,1389.94
72,72,3460.93,142.723,360000,313.7411,-5629.3095703125,3226.08
73,73,1417.25,188.3818,365000,328.2597,-6718.72509765625,1798.77
74,74,4156.17,208.3925,370000,329.1227,-7133.32666015625,2405.05
75,75,1475.08,229.4107,375000,329.982,-8651.3095703125,2691.28
76,76,2682.69,177.8458,380000,334.7416,-7927.27490234375,3526.89
77,77,2835.58,126.981,385000,317.7449,-4209.01806640625,3273.42
78,78,3672.15,151.2648,390000,321.9871,-6860.04443359375,2442.63
79,79,4006.42,127.572,395000,312.7577,-4564.0595703125,4490.65
80,80,3539.63,139.0392,400000,316.9317,-6132.69580078125,2620.95
81,81,3581.49,170.908,405000,323.0438,-7885.1015625,2283.11
82,82,4018.7,144.4206,410000,322.5541,-6720.1982421875,3830.72
83,83,4824.83,161.3097,415000,328.0425,-6730.107421875,3557.44
84,84,3931.74,130.2669,420000,320.6694,-5879.16650390625,3010.82
85,85,4596.65,122.1277,425000,312.2429,-5024.58837890625,3294.81
86,86,2821.21,122.9996,430000,307.7342,-5618.7177734375,3387.18
87,87,4189.08,158.5814,435000,330.5897,-8297.92578125,3254.38
88,88,2674.49,153.5223,440000,330.004,-7672.4736328125,2326.12
89,89,1899.35,152.9026,445000,321.7668,-8122.05517578125,2456.62
90,90,1913.19,184.045,450000,326.2684,-9136.4150390625,2635.25
91,91,2335.12,216.9512,455000,342.0782,-10796.517578125,2405.86
92,92,2567.17,175.9919,460000,346.2981,-9937.32421875,3155.99
93,93,3420.22,157.0128,465000,324.9657,-7531.859375,2550.11
94,94,1928.63,171.0363,470000,328.4409,-8585.4111328125,3217.39
95,95,3260.03,143.4964,475000,327.0941,-6803.0810546875,4021.79
96,96,1598.29,202.3755,480000,345.07,-10714.841796875,3206.47
97,97,4009.7,182.0598,485000,337.0914,-9522.51171875,2949.18
98,98,2327.94,166.8722,490000,331.5614,-9012.736328125,3534.91
99,99,4151.04,146.9868,495000,323.5983,-8209.375,3928.97
100,100,3808.76,146.285,500000,322.9066,-7201.68896484375,4081.26
101,101,3498.82,133.8242,505000,314.2968,-6982.951171875,3974.22
102,102,4565.82,124.0112,510000,319.5642,-6722.201171875,4000.62
103,103,3193.6,142.0482,515000,320.7511,-6400.5908203125,4353.44
104,104,3867.95,109.4013,520000,303.3242,-6751.8759765625,3342.88
105,105,4574.87,154.1864,525000,324.9303,-9599.150390625,4475.84
106,106,2402.29,165.6848,530000,336.3424,-8833.9267578125,3958.7
107,107,2842.67,194.0734,535000,342.0459,-11320.1103515625,3169.11
108,108,4246.82,116.9438,540000,311.0335,-6702.4599609375,3452.92
109,109,4789.1,161.0405,545000,325.3637,-9752.859375,3594.32
110,110,4629.94,146.6962,550000,321.4402,-8822.8759765625,2803.58
111,111,3399.92,176.4489,555000,325.6594,-10453.8681640625,1740.58
112,112,3087.86,229.743,560000,353.1144,-13295.51953125,2356.24
113,113,3595.67,158.1633,565000,323.3273,-10485.0673828125,2869.96
114,114,3487.44,138.4346,570000,314.716,-8854.5654296875,2798.99
115,115,4180.06,155.0611,575000,322.4424,-9486.44921875,3636.87
116,116,4612.81,146.0872,580000,334.0722,-8892.1767578125,4567.53
117,117,4740.67,122.2097,585000,313.5892,-7882.5234375,3977.08
118,118,4826.73,118.5852,590000,309.4509,-8461.453125,3863.28
119,119,4762.26,118.739,595000,314.8011,-8090.06689453125,4413.15
120,120,3436.01,132.4121,600000,316.3955,-9470.888671875,3295.79
121,121,3628.8,136.2389,605000,321.4798,-9341.8544921875,3986.45
122,122,4496.85,133.6311,610000,319.3519,-8353.9658203125,4202.79
123,123,4044.22,123.9329,615000,315.1852,-8411.7060546875,4097.63
