Reward Loss,Itration,Running Update Time,Running Forward KL,Real Det Return,Running Reverse KL,Real Sto Return,Running Env Steps
213.40072631835938,0,0,158.4551,-41.03,11.4765,-213.39,0
-85.84551239013672,1,1,158.4686,23.18,11.5369,-111.09,5000
89.67919158935547,2,2,158.0566,604.76,11.9115,40.04,10000
80.72459411621094,3,3,158.1401,645.06,12.454,185.46,15000
157.7353973388672,4,4,158.1882,827.76,12.8975,371.84,20000
111.78031921386719,5,5,158.0681,899.15,13.5751,511.64,25000
-39.286468505859375,6,6,157.9026,1000.31,13.4466,516.84,30000
-162.7936553955078,7,7,157.8371,1198.3,13.6822,637.8,35000
-225.19435119628906,8,8,157.75,1234.23,14.2592,782.92,40000
-499.01019287109375,9,9,157.7154,1275.7,14.3476,835.94,45000
-635.2899780273438,10,10,157.8939,1319.37,14.8986,879.33,50000
-678.7150268554688,11,11,157.6626,1505.24,15.4543,1037.62,55000
-820.7796630859375,12,12,157.8162,1490.07,16.1723,1126.6,60000
-1159.9481201171875,13,13,157.7234,1594.91,15.8344,1140.92,65000
-1434.7574462890625,14,14,157.8429,1477.48,15.9459,1058.26,70000
-1485.7554931640625,15,15,157.8463,1614.08,16.0514,1191.47,75000
-1753.0380859375,16,16,157.8123,1652.34,15.9573,1213.49,80000
-1870.0673828125,17,17,157.5609,1673.86,15.7796,1264.77,85000
-2087.45751953125,18,18,157.563,1696.41,16.4939,1300.37,90000
-2282.581298828125,19,19,157.8207,1766.57,16.3471,1345.22,95000
-2483.78173828125,20,20,157.8329,1802.12,16.6399,1361.26,100000
-2611.260986328125,21,21,157.558,1856.05,16.8635,1417.15,105000
-2860.752197265625,22,22,157.8551,1862.42,16.5072,1425.46,110000
-3194.33203125,23,23,157.9048,1808.56,16.2269,1413.33,115000
-3317.085693359375,24,24,157.7585,1860.81,16.3628,1472.88,120000
-3508.96337890625,25,25,157.6949,1872.7,16.3847,1509.99,125000
-3670.1494140625,26,26,157.7965,1889.4,16.4673,1487.03,130000
-3842.2646484375,27,27,157.7319,1894.66,16.5074,1536.74,135000
-4067.329833984375,28,28,157.6186,1903.54,16.3412,1555.88,140000
-4367.38818359375,29,29,157.6339,1883.42,16.2467,1571.3,145000
-4496.109375,30,30,157.5669,1951.76,16.3598,1568.43,150000
-4729.3837890625,31,31,157.6824,1901.58,16.4744,1566.8,155000
-4886.78466796875,32,32,157.5548,1902.76,16.3457,1585.92,160000
-5163.70849609375,33,33,157.6817,1924.75,16.4424,1611.62,165000
-5327.69580078125,34,34,157.7512,1906.84,16.4141,1585.72,170000
-5440.03173828125,35,35,157.7697,2001.96,16.5794,1619.59,175000
-5694.01171875,36,36,157.4801,1886.72,15.7249,1562.41,180000
-5938.369140625,37,37,157.6595,1908.45,16.011,1595.91,185000
-6016.2548828125,38,38,157.5105,2036.67,16.4437,1665.64,190000
-6194.85302734375,39,39,157.5997,1984.8,16.2855,1646.57,195000
-6461.45263671875,40,40,157.4249,1965.42,16.1913,1625.89,200000
-6495.76123046875,41,41,157.4595,2042.73,16.5974,1665.87,205000
-6810.79443359375,42,42,157.2695,1993.62,16.0791,1638.07,210000
-6887.76123046875,43,43,157.2253,2067.78,16.2268,1670.24,215000
-7169.52880859375,44,44,157.2776,2021.06,16.0358,1676.41,220000
-7328.3212890625,45,45,157.2897,2014.44,16.0826,1678.41,225000
-7507.96142578125,46,46,157.4427,2075.11,16.1963,1650.57,230000
-7679.7236328125,47,47,157.214,2045.86,16.0609,1682.94,235000
-7868.15185546875,48,48,157.3232,2037.46,16.0005,1679.26,240000
-8104.69921875,49,49,157.2385,2045.82,15.92,1694.92,245000
-8208.0419921875,50,50,157.1589,2066.81,16.0227,1677.13,250000
-8292.802734375,51,51,157.1496,2118.28,16.4516,1713.75,255000
-8520.5009765625,52,52,157.1532,2088.2,16.1596,1715.03,260000
-8743.5732421875,53,53,157.189,2049.84,15.989,1714.49,265000
-9046.806640625,54,54,157.3059,2079.14,16.0938,1714.55,270000
-9113.794921875,55,55,157.0889,2111.34,16.124,1740.29,275000
-9334.478515625,56,56,157.0908,2024.67,15.8514,1724.26,280000
-9553.365234375,57,57,157.0433,2075.52,15.7989,1715.1,285000
-9635.8564453125,58,58,157.0685,2060.94,15.79,1738.85,290000
-9882.509765625,59,59,157.0252,2064.21,16.0094,1722.67,295000
-10098.115234375,60,60,157.0182,2104.06,15.9071,1750.06,300000
-10319.3017578125,61,61,157.0201,2082.22,15.9246,1714.43,305000
-10492.5,62,62,156.9406,2095.58,15.8943,1707.77,310000
-10664.478515625,63,63,156.9434,2112.74,15.7469,1748.98,315000
-10863.8291015625,64,64,157.065,2100.56,15.8695,1735.02,320000
-11045.826171875,65,65,156.9902,2102.43,15.7336,1742.2,325000
-11253.5556640625,66,66,157.1287,2112.73,16.0665,1761.13,330000
-11370.7939453125,67,67,156.9023,2100.27,15.5383,1724.57,335000
-11654.09375,68,68,156.9794,2088.42,15.8399,1736.55,340000
-11982.0791015625,69,69,156.978,2121.18,15.8115,1770.18,345000
-12068.185546875,70,70,156.8363,2100.2,15.6368,1734.05,350000
-12302.783203125,71,71,156.8925,2102.53,15.5317,1727.84,355000
-12402.5146484375,72,72,156.7903,2041.92,15.1227,1724.52,360000
-12749.4482421875,73,73,156.965,2101.19,15.8471,1741.66,365000
-12800.171875,74,74,156.8416,2136.31,15.6957,1795.84,370000
-13057.2041015625,75,75,156.9962,2124.5,15.6605,1738.93,375000
-13283.408203125,76,76,156.8962,2101.07,15.6526,1738.05,380000
-13481.7080078125,77,77,156.9322,2134.45,15.7879,1771.66,385000
-13649.4326171875,78,78,156.8836,2148.76,15.9524,1798.67,390000
-13824.818359375,79,79,156.8672,2146.68,15.5664,1796.95,395000
-14091.931640625,80,80,156.876,2179.42,15.8865,1794.5,400000
-14173.455078125,81,81,156.776,2117.87,15.686,1767.92,405000
-14469.111328125,82,82,156.9475,2144.51,15.8883,1788.8,410000
-14692.2314453125,83,83,157.0087,2117.55,15.6576,1750.49,415000
-15015.306640625,84,84,156.9563,2103.95,15.6423,1775.06,420000
-15076.4775390625,85,85,156.8477,2151.79,15.7383,1801.77,425000
-15370.80078125,86,86,156.9913,2053.65,15.454,1757.14,430000
-15561.4326171875,87,87,156.889,2149.56,15.445,1805.04,435000
-15767.921875,88,88,156.9005,2105.57,15.7141,1775.29,440000
-15873.8203125,89,89,156.8675,2141.72,15.583,1766.09,445000
-16251.4111328125,90,90,156.944,2160.03,15.8265,1785.29,450000
-16406.4375,91,91,156.751,2132.22,15.4237,1788.42,455000
-16595.078125,92,92,156.7573,2153.28,15.5918,1768.52,460000
-16712.326171875,93,93,156.8512,2173.48,15.4663,1818.47,465000
-17052.017578125,94,94,156.9615,2194.84,15.7188,1809.44,470000
-17354.421875,95,95,156.9258,2173.76,16.0213,1816.92,475000
-17472.30859375,96,96,156.8847,2139.29,15.5723,1799.28,480000
-17684.755859375,97,97,156.9291,2139.85,15.5718,1800.8,485000
-17932.470703125,98,98,156.8394,2140.53,15.6849,1794.32,490000
-18196.232421875,99,99,156.9252,2156.2,15.7782,1794.93,495000
-18406.646484375,100,100,156.9861,2131.46,15.6603,1800.57,500000
-18589.361328125,101,101,156.8136,2078.78,15.2478,1768.07,505000
-18814.759765625,102,102,156.8466,2124.41,15.4692,1802.33,510000
-19234.619140625,103,103,157.0547,2163.87,15.7329,1820.66,515000
-19242.8828125,104,104,156.6601,2156.32,15.5945,1821.67,520000
