Real Sto Return,Itration,Running Forward KL,Running Reverse KL,Real Det Return
288.86,0,442.3131,291.7051,277.85
296.43,1,430.57,287.8906,302.08
322.83,2,429.9282,343.2352,418.23
381.4,3,414.2099,312.4226,401.46
381.51,4,413.5027,271.5546,320.67
439.12,5,399.5473,305.0274,468.23
379.65,6,411.5484,313.8164,427.45
439.03,7,420.7247,342.4465,484.65
467.8,8,403.6445,329.253,532.11
452.94,9,398.9686,331.8384,524.79
543.7,10,405.2719,302.2117,595.2
543.16,11,395.6696,292.125,542.33
510.25,12,390.5396,308.4035,537.28
488.63,13,395.0399,342.2166,519.03
476.92,14,396.5219,292.3142,502.83
542.43,15,384.7987,304.5171,474.1
589.34,16,393.8027,290.6426,469.76
562.16,17,382.7943,316.7462,497.62
697.9,18,384.1022,293.3086,545.02
678.87,19,376.2806,279.4258,536.21
744.68,20,371.9881,238.286,618.51
805.55,21,368.7289,230.775,603.17
905.34,22,373.4323,269.8877,537.98
769.47,23,374.6876,263.2581,613.01
831.7,24,377.1061,288.782,650.02
758.74,25,356.2854,280.1793,633.92
810.39,26,361.3831,278.8066,648.03
824.32,27,357.2182,262.7848,711.32
883.75,28,358.4048,282.9509,689.54
744.37,29,376.0425,305.9456,667.88
860.98,30,362.8256,333.9247,691.03
901.07,31,374.6266,281.5127,770.69
797.12,32,380.0603,345.3958,640.07
874.78,33,372.5273,276.4898,722.4
904.0,34,365.677,314.0139,760.29
778.1,35,374.8823,343.882,630.3
757.16,36,370.1694,331.8372,619.54
749.34,37,366.9629,336.2255,637.76
859.65,38,366.9068,326.1161,577.67
983.83,39,371.4867,343.5435,806.22
929.73,40,363.4563,289.5366,661.58
1083.55,41,357.2404,269.8893,865.14
932.99,42,366.9309,341.6852,642.42
1036.18,43,349.3606,292.5857,897.61
1322.85,44,353.5664,310.1953,1220.77
1116.57,45,357.65,283.7517,726.53
1125.21,46,362.2777,276.4926,710.87
1031.8,47,358.894,318.0125,966.66
1200.58,48,350.9084,269.1294,794.64
1244.72,49,356.2284,231.4189,759.19
1471.59,50,359.8263,245.4455,755.45
1803.65,51,346.4069,210.82,776.82
1890.47,52,359.6205,228.3423,1136.29
1344.93,53,334.5829,167.2078,835.39
1389.85,54,346.0199,224.7544,742.76
1476.9,55,342.6607,215.0314,1145.48
1902.15,56,325.2391,159.0573,1606.11
1257.15,57,355.5377,246.0975,691.05
3151.05,58,335.1737,161.5391,934.89
1929.01,59,360.0251,252.6221,1031.61
3144.66,60,329.9678,160.4236,1149.46
3062.5,61,339.5969,174.0181,1717.51
2977.04,62,333.3568,143.8057,1289.83
3110.5,63,350.6714,190.0912,832.18
1849.39,64,359.5608,197.506,906.61
1744.64,65,344.4118,179.8823,1036.77
3041.93,66,338.3254,148.5689,2359.96
2859.81,67,335.9874,155.1257,2139.59
3319.92,68,330.7706,159.7921,3642.22
4161.34,69,339.5247,195.3023,3457.72
3121.42,70,329.6475,140.2196,2534.53
2898.95,71,331.4375,154.9009,1922.52
3651.31,72,332.6926,139.0993,2455.46
4317.14,73,338.6194,135.6448,4527.94
4550.18,74,331.5798,151.4111,3327.99
2436.78,75,344.8989,193.2451,2290.2
3773.26,76,337.0595,133.4674,3947.45
4014.41,77,335.7313,169.7451,1524.63
3393.91,78,335.6726,152.0586,3202.5
3997.35,79,329.4738,148.3929,1185.79
4176.89,80,337.3784,151.3313,646.84
3809.92,81,339.3081,141.8495,3013.39
4271.92,82,326.6874,120.7846,4255.24
3631.57,83,334.3497,161.7762,2167.32
4728.56,84,336.1716,134.5314,1778.97
3745.2,85,351.7826,184.5871,813.18
3994.66,86,353.2475,171.9536,1046.06
3107.12,87,348.5655,162.4745,915.06
2525.71,88,344.6395,164.9356,1068.56
4204.4,89,351.8824,165.3554,1743.71
3874.22,90,350.5791,141.9199,1075.61
3758.68,91,352.488,161.4745,1333.77
3874.86,92,339.878,139.1497,1619.48
3574.24,93,344.7132,156.3133,1830.3
3829.49,94,355.5496,216.1211,1067.81
2881.51,95,348.986,149.3147,803.74
3438.21,96,349.473,154.4462,2326.61
3603.01,97,349.0499,163.0075,1878.36
4689.08,98,344.7106,145.498,2187.7
4362.4,99,348.2267,148.6233,3132.18
3994.43,100,341.7468,137.4249,2440.1
4549.25,101,344.8423,140.4494,1092.84
4999.89,102,343.5028,133.2847,2143.14
4074.8,103,339.0582,146.537,2798.26
4119.14,104,347.5352,179.7399,1900.15
4912.65,105,340.2429,149.3062,2345.8
4341.54,106,353.0732,143.8886,1173.34
4353.16,107,353.7932,172.1278,1347.25
4258.84,108,351.7145,165.4447,1825.45
3152.44,109,349.0321,178.5005,2493.11
4796.07,110,344.4361,142.4653,2447.29
4746.34,111,347.493,158.6685,3132.54
