Real Det Return,Itration,Running Reverse KL,Running Env Steps,Reward Loss,Real Sto Return,Running Update Time,Running Forward KL
409.89,0,12.7512,0,68.4862060546875,214.55,0,49.3476
271.44,1,32.5204,5000,-49.62541961669922,143.59,1,50.7273
287.29,2,13.4986,10000,16.482934951782227,295.51,2,50.481
326.71,3,17.0639,15000,5.255073547363281,142.1,3,51.3841
357.91,4,14.7014,20000,95.46783447265625,344.29,4,49.4013
286.15,5,16.0728,25000,124.47047424316406,373.59,5,50.4707
311.42,6,17.25,30000,83.853271484375,278.98,6,50.3752
441.0,7,14.8736,35000,97.60689544677734,429.76,7,49.3206
437.44,8,12.5003,40000,49.172489166259766,456.6,8,48.3865
543.38,9,13.8246,45000,57.365848541259766,430.42,9,48.7667
953.06,10,13.3633,50000,1.4543086290359497,580.66,10,47.9719
666.23,11,13.107,55000,-0.9092986583709717,537.78,11,48.3197
481.78,12,14.2651,60000,8.477107048034668,448.43,12,49.0175
595.82,13,15.8791,65000,-73.04389953613281,492.31,13,48.5957
673.72,14,14.8823,70000,32.98427200317383,558.51,14,48.3226
1300.07,15,13.9605,75000,-49.36432647705078,668.16,15,48.0816
1628.42,16,13.9947,80000,6.546526908874512,636.45,16,47.9499
2002.3,17,13.8776,85000,-100.78264617919922,1836.18,17,48.155
2464.67,18,13.7148,90000,-107.15414428710938,2136.29,18,47.0016
2188.64,19,15.5266,95000,-119.4513168334961,2065.39,19,47.8506
2309.69,20,13.5361,100000,-125.12841796875,1945.27,20,46.7723
2966.07,21,14.6976,105000,-125.05073547363281,2551.79,21,45.548
2243.47,22,12.9928,110000,-123.25629425048828,1882.12,22,45.5716
1031.91,23,14.0875,115000,-128.4331512451172,927.02,23,46.9123
2438.01,24,12.8166,120000,-112.73561096191406,2296.35,24,44.0598
2506.98,25,12.2396,125000,-118.03165435791016,2258.84,25,44.3113
975.83,26,14.0917,130000,-158.565185546875,1505.54,26,45.7563
2956.16,27,12.9088,135000,-128.9497528076172,2810.06,27,43.146
3152.77,28,13.607,140000,-139.1422882080078,2699.09,28,43.5922
3253.29,29,13.3106,145000,-146.3374481201172,2548.73,29,43.262
3084.1,30,13.7789,150000,-129.75672912597656,2994.51,30,43.1698
2898.07,31,13.0323,155000,-163.22055053710938,2278.05,31,43.5309
2907.71,32,12.7021,160000,-154.34730529785156,2536.05,32,43.0136
3209.33,33,19.649,165000,-177.28900146484375,2811.01,33,43.3153
2945.5,34,13.5867,170000,-147.26780700683594,2454.14,34,42.8594
3337.98,35,12.3814,175000,-144.78265380859375,2833.55,35,42.6149
3147.13,36,12.4306,180000,-162.11265563964844,2975.04,36,43.0167
2770.49,37,13.3242,185000,-154.2892303466797,3099.22,37,42.5056
3368.92,38,13.5315,190000,-182.80931091308594,3180.04,38,43.1669
3486.96,39,13.833,195000,-251.274169921875,1125.94,39,44.6935
3392.37,40,12.2204,200000,-169.8560791015625,3047.47,40,42.9212
2780.76,41,11.1738,205000,-211.58021545410156,2683.64,41,43.9922
2467.66,42,11.549,210000,-224.4181365966797,2427.64,42,43.3859
3536.1,43,12.2848,215000,-217.20562744140625,3549.71,43,43.0446
3153.51,44,12.8732,220000,-193.70755004882812,3586.17,44,42.8768
3107.05,45,13.6745,225000,-179.61865234375,3323.07,45,42.0391
