Reward Loss,Running Forward KL,Running Update Time,Real Det Return,Real Sto Return,Itration,Running Env Steps,Running Reverse KL
-129.45175170898438,441.67,0,259.09,287.95,0,0,301.1515
-134.7861328125,440.2257,1,302.58,304.63,1,5000,296.4148
-534.1262817382812,429.8935,2,505.91,380.69,2,10000,309.107
-679.8258056640625,434.834,3,350.59,410.12,3,15000,259.843
-1775.0086669921875,426.706,4,376.87,373.08,4,20000,255.5254
-1429.821044921875,423.5528,5,338.31,369.68,5,25000,264.6324
-1151.8387451171875,422.2609,6,339.67,408.97,6,30000,298.5748
-1536.692138671875,421.1738,7,453.08,513.44,7,35000,322.1353
-1981.395263671875,438.4939,8,307.34,347.48,8,40000,300.9909
-1940.2236328125,410.9854,9,457.03,456.78,9,45000,333.1387
-2159.34521484375,414.083,10,868.6,482.12,10,50000,354.9971
-2342.421142578125,410.67,11,448.64,529.2,11,55000,352.5221
-2640.48095703125,398.737,12,616.47,539.94,12,60000,288.003
-2485.671142578125,421.8573,13,384.51,513.99,13,65000,319.8629
-2821.132568359375,432.8281,14,351.14,461.05,14,70000,362.6647
-3130.0244140625,411.4414,15,458.43,551.06,15,75000,339.2649
-3573.01953125,395.3614,16,563.67,630.24,16,80000,351.4814
-3369.02294921875,404.8534,17,539.07,604.24,17,85000,281.9132
-3272.626953125,392.4739,18,693.16,675.13,18,90000,278.3601
-3608.90673828125,414.2042,19,537.62,676.61,19,95000,299.0989
-3551.989013671875,399.6149,20,696.15,559.45,20,100000,276.1038
-4533.33447265625,394.509,21,378.58,481.8,21,105000,311.1455
-4071.688232421875,395.8931,22,600.67,691.13,22,110000,280.9864
-4363.62890625,382.3919,23,584.74,740.47,23,115000,333.7333
-4092.964111328125,383.1714,24,745.72,657.84,24,120000,289.8887
-4578.9326171875,375.4431,25,641.67,703.36,25,125000,298.8656
-4532.884765625,379.9599,26,664.94,733.04,26,130000,296.8962
-4818.84521484375,369.8827,27,544.84,691.15,27,135000,283.4812
-4773.9912109375,371.5528,28,597.65,805.77,28,140000,282.0879
-4991.1318359375,379.8326,29,478.8,598.27,29,145000,304.0031
-5402.068359375,363.1322,30,596.67,761.41,30,150000,292.9287
-5537.3876953125,364.4722,31,520.86,653.69,31,155000,322.5416
-5390.93896484375,375.3969,32,493.79,707.24,32,160000,290.2245
-5775.68701171875,370.3404,33,555.32,670.48,33,165000,284.8116
-5879.99169921875,369.9632,34,625.46,725.79,34,170000,264.8346
-6176.12158203125,380.3838,35,885.93,804.29,35,175000,311.3778
-5806.7822265625,383.0341,36,689.85,816.01,36,180000,290.9545
-5406.35595703125,372.6695,37,758.94,784.47,37,185000,254.1284
-6385.61572265625,381.6401,38,681.3,946.71,38,190000,301.3633
-6350.291015625,390.1884,39,671.8,807.69,39,195000,301.6887
-6205.359375,375.9202,40,680.63,928.61,40,200000,284.6498
-6556.21826171875,380.3616,41,745.02,911.18,41,205000,299.6939
-6584.7490234375,384.8024,42,887.55,847.01,42,210000,262.5951
-6185.63671875,386.3622,43,761.63,937.58,43,215000,273.9798
-5938.3173828125,373.6715,44,819.98,989.78,44,220000,254.6725
-7726.9794921875,382.5854,45,720.88,830.71,45,225000,337.5797
-6022.9091796875,367.9409,46,658.73,1062.21,46,230000,245.0775
-6493.67724609375,369.4796,47,702.85,920.78,47,235000,240.712
-7331.19677734375,376.0361,48,706.01,827.04,48,240000,283.9819
-6776.6923828125,381.0362,49,695.6,913.16,49,245000,247.0817
-6908.21875,364.2149,50,779.25,1149.66,50,250000,256.5971
-6422.79541015625,370.9955,51,879.05,1104.24,51,255000,239.1966
-7247.96337890625,373.4613,52,739.24,1096.46,52,260000,249.9084
-6721.705078125,355.9142,53,834.87,1313.0,53,265000,216.3968
-7488.8505859375,358.4874,54,685.09,1320.38,54,270000,236.7319
-6779.77685546875,360.8493,55,732.39,1168.45,55,275000,230.8003
-7571.34619140625,364.4148,56,708.59,1080.96,56,280000,239.7425
-7461.8232421875,363.613,57,761.06,1101.12,57,285000,241.05
-6895.84619140625,363.9881,58,835.12,1268.59,58,290000,224.2036
-7568.5302734375,368.7626,59,800.67,1280.04,59,295000,227.925
-9418.21484375,369.9359,60,681.23,887.5,60,300000,284.4266
-8241.5791015625,371.1159,61,704.12,1033.73,61,305000,248.0142
-6987.29833984375,343.128,62,691.94,1592.75,62,310000,201.6079
-6686.6162109375,338.4724,63,1618.53,1667.22,63,315000,187.6655
-7619.47998046875,351.8367,64,1101.77,1892.36,64,320000,217.8959
-6096.21435546875,339.3208,65,939.1,2445.57,65,325000,168.8668
-7006.6416015625,347.6179,66,850.53,1239.44,66,330000,193.125
-7811.52880859375,350.5845,67,965.97,1336.48,67,335000,217.5587
-7627.82763671875,345.2124,68,1146.69,1894.63,68,340000,199.2366
-8582.046875,360.2884,69,1049.89,1213.67,69,345000,217.7161
-7980.39306640625,364.7939,70,1027.95,1600.02,70,350000,219.0069
-8514.078125,360.922,71,1301.12,1208.56,71,355000,233.145
-7297.34228515625,338.4735,72,1377.44,1595.75,72,360000,170.9682
-8072.00244140625,353.2554,73,1192.93,1393.49,73,365000,193.3617
-8691.890625,350.0206,74,895.59,1661.93,74,370000,208.466
-9405.533203125,363.5557,75,964.25,1389.09,75,375000,230.938
-8565.8564453125,348.9385,76,2654.35,2049.68,76,380000,206.1249
-8581.3955078125,344.4157,77,1817.13,1918.93,77,385000,190.7105
-8401.625,343.0158,78,1263.2,1845.13,78,390000,189.5793
-9022.6025390625,356.6838,79,1229.74,1262.79,79,395000,222.1671
-9374.09375,358.5817,80,1626.99,1814.16,80,400000,209.3775
-9717.12109375,348.5985,81,1241.5,1955.69,81,405000,223.7749
-7498.138671875,344.6168,82,1664.93,2438.22,82,410000,168.0854
-8028.529296875,332.9101,83,888.86,2059.22,83,415000,186.0799
-11313.3662109375,367.8425,84,853.14,989.58,84,420000,254.7898
-10668.255859375,355.9381,85,1279.05,1769.57,85,425000,238.3688
