Real Sto Return,Real Det Return,Running Reverse KL,Itration,Running Forward KL
-216.38,-25.52,11.7264,0,158.581
-46.74,324.12,11.8654,1,158.4329
186.33,923.91,12.3649,2,158.1709
365.95,917.31,12.7058,3,158.0266
534.6,849.08,13.708,4,157.9628
465.75,519.37,13.2432,5,157.6874
605.59,752.66,13.7911,6,157.7574
728.85,833.24,14.3605,7,157.7282
906.58,1185.0,15.3446,8,158.3026
1040.2,1425.81,15.9474,9,158.0518
1058.57,1511.57,16.1352,10,158.0294
1161.31,1615.82,16.4537,11,157.7961
1193.5,1615.74,16.7713,12,157.9034
1214.26,1578.8,16.3088,13,157.6804
1266.43,1667.12,16.5615,14,157.6295
1252.63,1652.44,16.555,15,157.827
1339.12,1726.43,16.6734,16,157.775
1339.43,1748.97,16.5533,17,157.828
1356.98,1731.17,16.3838,18,157.7785
1370.51,1760.55,16.3953,19,157.9559
1419.72,1794.35,16.6137,20,157.7638
1448.7,1869.25,16.8609,21,157.7699
1452.0,1808.72,16.5387,22,158.0344
1476.37,1901.79,16.7925,23,157.8391
1546.46,1918.9,17.0359,24,157.7669
1543.33,1920.24,16.7073,25,157.8173
1561.93,1911.81,17.0001,26,157.8665
1583.1,1988.2,16.9773,27,157.7037
1582.28,1924.24,16.7187,28,157.8165
1616.92,1973.94,16.9577,29,157.7937
1635.55,2000.95,16.7236,30,157.5441
1655.05,2015.5,16.9523,31,157.6926
1654.62,2039.4,16.8598,32,157.3815
1683.92,2064.15,17.0542,33,157.4338
1635.42,2001.0,16.9449,34,157.6773
1630.08,2043.07,16.6017,35,157.3872
1668.44,2016.77,16.4595,36,157.4026
1669.75,2061.0,16.6324,37,157.3614
1706.67,2097.67,17.0186,38,157.5109
1689.11,2050.78,16.6199,39,157.3867
1705.32,2077.28,16.5784,40,157.1773
1706.99,2081.03,16.6919,41,157.3323
1688.45,2054.5,16.4133,42,157.2309
1649.63,2021.94,16.2782,43,157.2525
1708.66,2098.08,16.4341,44,157.2678
1701.89,2089.51,16.2592,45,157.32
1727.9,2113.07,16.6156,46,157.2992
1728.83,2091.56,16.6365,47,157.2726
1735.37,2092.82,16.492,48,157.1363
1718.91,2086.13,16.0273,49,157.185
1756.3,2154.0,16.6708,50,157.286
1695.86,2080.22,16.2571,51,157.2082
1743.05,2096.89,16.2703,52,157.0716
1751.94,2151.57,16.3998,53,157.1301
1753.68,2111.03,16.2131,54,157.0866
1769.45,2133.51,16.1548,55,157.0819
1730.57,2104.96,16.1038,56,157.3112
1763.52,2118.37,15.9951,57,156.9775
1725.31,2111.63,15.8552,58,157.1132
1743.28,2117.46,16.0992,59,156.931
1758.55,2127.94,16.1246,60,156.9016
1775.62,2047.43,15.7002,61,156.8418
1740.22,2084.67,15.9795,62,156.8749
1786.33,2119.57,16.0004,63,156.9438
1811.76,2184.1,16.5088,64,156.9906
1791.78,2171.38,16.2718,65,156.8661
1781.12,2161.12,16.1518,66,157.0574
1767.58,2119.07,15.8936,67,157.1815
1757.08,2133.94,15.8109,68,156.9546
1769.95,2082.58,15.937,69,157.0281
1774.19,2127.83,15.726,70,156.9079
1789.86,2140.75,16.0343,71,156.797
1798.74,2144.58,15.9598,72,156.8864
1766.76,2141.1,15.9983,73,157.0007
1759.42,2137.64,15.6549,74,157.0852
1777.59,2112.81,15.5365,75,156.8857
1800.74,2129.04,15.9243,76,156.7825
1796.11,2172.32,15.8486,77,156.9898
1814.49,2175.34,15.7834,78,156.7418
1801.63,2099.11,15.9581,79,157.0107
1778.37,2178.02,16.0721,80,156.887
1822.61,2159.37,15.9236,81,156.8684
1792.49,2124.55,15.8923,82,156.8423
1817.53,2148.3,15.7331,83,156.7042
1747.52,2070.31,15.6949,84,157.1215
1786.69,2160.1,15.5199,85,156.6357
1787.88,2144.06,15.9041,86,156.8873
1836.1,2152.01,15.7238,87,156.7745
1769.22,2137.82,15.8174,88,156.7663
1796.89,2144.32,15.5458,89,156.7734
1818.81,2163.66,15.7833,90,156.8047
1837.18,2188.89,16.2307,91,156.8397
1786.61,2169.01,15.7666,92,156.7972
1811.98,2150.37,15.4671,93,156.6785
1854.19,2191.28,15.9019,94,156.9617
1851.48,2222.64,15.9794,95,156.7649
1838.34,2173.84,15.6711,96,156.9016
1816.53,2155.68,15.725,97,156.8487
1825.31,2162.02,16.0139,98,156.9272
1829.47,2172.87,15.68,99,156.8416
1831.27,2179.9,15.812,100,156.8275
1840.04,2220.6,15.6851,101,156.6699
1844.04,2172.1,15.7704,102,156.8778
1835.59,2182.73,15.8059,103,156.8741
1805.67,2138.7,15.6296,104,156.7734
1863.29,2221.58,15.767,105,156.6773
1837.33,2175.8,15.801,106,156.7461
1866.42,2222.34,15.9606,107,156.6296
1840.68,2173.83,15.6575,108,156.7603
1843.57,2206.9,15.5842,109,156.704
1835.51,2201.09,15.5312,110,156.7797
1866.02,2189.18,15.6234,111,156.7055
1834.39,2182.65,15.5052,112,156.7814
1875.64,2250.79,15.8344,113,156.7524
1838.81,2218.19,15.7876,114,156.7288
1835.43,2169.33,15.4988,115,156.7747
1872.69,2177.91,15.5723,116,156.699
1847.21,2188.53,15.7305,117,156.7494
1851.67,2194.01,15.7027,118,156.6682
1852.94,2220.68,15.594,119,156.9178
1837.78,2175.99,15.5476,120,156.8679
1862.29,2206.89,15.7753,121,156.7652
1856.64,2222.83,15.5165,122,156.6987
1858.28,2196.73,15.7072,123,156.6707
1850.39,2186.45,15.4314,124,156.8261
1888.02,2236.01,15.775,125,156.7008
1903.01,2240.22,15.751,126,156.8085
1878.39,2188.94,15.7095,127,156.8235
1837.8,2229.79,15.6443,128,156.7251
1865.74,2212.25,15.5252,129,156.5979
1869.58,2218.5,15.7704,130,156.6075
1885.32,2239.62,15.5874,131,156.6872
1871.0,2218.87,15.6238,132,156.6015
1879.38,2201.66,15.6255,133,156.7204
1866.34,2210.03,15.621,134,156.7394
1894.3,2255.34,15.9322,135,156.9269
1851.4,2192.61,15.4045,136,156.863
1833.84,2204.17,15.4844,137,156.8842
1889.42,2240.07,15.6542,138,156.7707
1907.67,2229.77,15.8455,139,156.875
1917.09,2251.74,15.9045,140,156.6428
1872.14,2226.29,15.41,141,156.8455
1893.86,2231.97,15.6361,142,156.9153
1869.35,2228.43,15.3323,143,156.6493
1876.15,2261.17,15.5307,144,156.8193
1856.37,2186.08,15.4329,145,156.8395
1881.68,2241.91,15.3737,146,156.6199
1821.47,2165.26,15.0096,147,156.737
1863.87,2193.0,15.4616,148,156.8827
1893.15,2244.06,15.5163,149,156.5895
1888.08,2228.5,15.574,150,156.8074
1893.64,2217.29,15.5751,151,156.7725
1889.01,2249.34,15.3541,152,156.6915
1877.23,2236.42,15.4407,153,156.541
1911.27,2223.68,15.5575,154,156.7557
1914.7,2224.6,15.5576,155,156.7323
1915.93,2211.04,15.5003,156,156.5691
1895.43,2249.2,15.8039,157,156.7618
1881.22,2217.78,15.4507,158,156.7561
1867.86,2177.1,15.3637,159,156.6616
1916.28,2260.12,15.8959,160,156.7965
1877.9,2196.42,15.4232,161,156.8146
1870.34,2213.71,15.3935,162,156.7917
1877.85,2219.76,15.4119,163,156.6892
1855.96,2172.71,14.8992,164,156.6314
1905.88,2245.22,15.4386,165,156.6922
1849.57,2136.52,15.2307,166,156.7245
1900.44,2239.83,15.4964,167,156.7652
1905.77,2246.94,15.5739,168,156.6209
1909.32,2227.82,15.4329,169,156.622
1848.46,2194.77,15.0357,170,156.5987
1876.16,2234.25,15.4884,171,156.5613
1883.14,2214.55,15.3583,172,156.7445
1918.43,2285.13,15.2573,173,156.5902
1927.26,2251.47,15.5556,174,156.7621
1913.93,2218.74,15.5142,175,156.5396
1860.77,2215.56,15.1179,176,156.5936
1900.29,2234.91,15.4317,177,156.7639
1874.39,2189.26,15.1398,178,156.6565
1929.09,2270.57,15.4437,179,156.6915
1920.03,2288.7,15.5548,180,156.5672
1877.74,2270.24,15.5661,181,156.8141
1919.25,2232.24,15.2862,182,156.5949
1869.87,2184.99,15.1822,183,156.5528
1893.32,2238.98,15.2933,184,156.7127
1912.14,2261.29,15.2592,185,156.5713
1922.09,2290.26,15.5772,186,156.4749
1908.94,2266.34,15.2606,187,156.6267
1920.33,2236.78,15.5823,188,156.7821
1913.17,2260.75,15.2821,189,156.4407
1901.66,2267.32,15.1768,190,156.5216
1904.49,2253.02,15.3332,191,156.6305
1898.12,2211.53,15.2697,192,156.754
1872.15,2175.57,15.2115,193,156.4952
1924.23,2269.0,15.189,194,156.5883
1905.65,2252.41,15.3087,195,156.6301
1937.76,2249.0,15.2065,196,156.7196
1888.44,2227.35,15.2945,197,156.6537
1911.29,2249.12,15.3217,198,156.6841
1929.65,2290.97,15.2908,199,156.6136
1879.47,2248.4,15.2344,200,156.5301
1892.68,2259.79,15.46,201,156.7197
1885.58,2241.95,15.2817,202,156.678
1877.7,2241.5,15.2475,203,156.611
1898.55,2224.1,15.3879,204,156.5494
1885.31,2233.22,15.3592,205,156.7206
1877.79,2240.36,15.4276,206,156.6638
1871.47,2213.52,15.3047,207,156.6261
1896.4,2264.39,15.412,208,156.8367
1875.31,2239.56,15.4113,209,156.7314
1865.67,2242.83,15.2257,210,156.8364
1892.63,2245.52,15.207,211,156.6852
1877.91,2228.31,15.0741,212,156.6329
1882.98,2253.18,15.2244,213,156.7055
1888.95,2246.15,15.4096,214,156.6979
1893.74,2239.67,15.2858,215,156.6681
1870.92,2245.92,15.4386,216,156.6409
1883.63,2245.15,15.4898,217,156.8428
1888.29,2252.03,15.3995,218,156.7661
1906.34,2259.37,15.4109,219,156.7662
1896.71,2263.14,15.3007,220,156.5727
1898.68,2253.41,15.2555,221,156.5795
1887.27,2271.14,15.333,222,156.6481
1895.12,2257.52,15.4596,223,156.7021
