Running Reverse KL,Running Forward KL,Real Det Return,Itration,Real Sto Return
11.5665,158.5501,-22.04,0,-213.74
11.7342,158.4147,11.14,1,-58.3
12.2493,158.3218,20.95,2,81.84
13.2391,158.1872,201.69,3,348.82
13.4623,157.9773,961.11,4,469.01
13.753,157.8478,928.41,5,547.23
14.3111,157.7526,1080.62,6,723.51
14.6337,157.9149,1133.12,7,766.73
15.4201,157.9968,1258.04,8,857.76
15.3272,157.8154,1163.64,9,914.03
15.8413,157.6879,1303.26,10,1071.01
16.1204,157.7318,1528.95,11,1106.02
15.9176,157.8726,1498.84,12,1048.96
16.3201,157.9276,1461.74,13,1112.14
16.0932,157.7084,1664.14,14,1222.44
16.1213,157.9203,1695.66,15,1264.29
16.2341,157.9924,1712.83,16,1300.5
16.3649,158.0599,1752.2,17,1307.51
16.5179,157.99,1789.91,18,1354.14
16.2782,157.7643,1836.54,19,1387.28
16.2715,157.6816,1853.9,20,1317.7
15.9069,157.3801,1897.79,21,1424.94
16.0728,157.5496,1914.61,22,1461.52
16.2444,157.5094,1947.29,23,1499.35
16.4621,157.5626,1955.45,24,1544.06
15.9431,157.3762,1939.85,25,1552.17
15.7916,157.2416,1974.88,26,1549.73
16.2138,157.3258,1992.19,27,1604.89
15.947,157.3255,2001.63,28,1596.22
16.2832,157.4667,1980.37,29,1588.51
16.396,157.3735,2032.34,30,1630.25
16.0753,157.1889,2032.11,31,1638.53
16.1743,157.3272,2034.46,32,1653.82
15.932,157.168,2046.63,33,1665.62
15.7306,157.1952,2005.45,34,1624.01
15.77,157.0705,2005.61,35,1643.37
15.5667,157.2143,2004.46,36,1622.6
15.5488,156.9583,2034.69,37,1640.15
15.9063,157.1431,2043.27,38,1677.24
15.902,157.2197,2040.09,39,1664.2
15.9451,156.962,2102.14,40,1722.15
15.4364,156.9842,2073.92,41,1728.72
15.9425,156.9901,2060.21,42,1699.42
15.8104,156.9566,2077.21,43,1718.63
15.4294,156.9468,2017.43,44,1667.22
15.5977,156.9104,2048.08,45,1724.06
15.9304,157.109,2121.68,46,1728.21
15.8247,157.1165,2057.99,47,1699.36
15.5312,156.8224,2049.88,48,1682.39
15.8468,156.8286,2136.32,49,1733.77
15.8071,156.9267,2139.35,50,1745.37
15.6692,156.7978,2065.42,51,1738.56
15.76,156.7612,2071.27,52,1765.82
15.3631,156.8452,2077.29,53,1740.92
15.4556,156.886,2070.37,54,1715.81
15.2614,156.7903,2094.48,55,1743.38
15.5779,156.8527,2124.15,56,1771.5
15.4963,156.9044,2142.41,57,1744.03
15.5995,156.9202,2146.88,58,1774.54
15.3148,156.8304,2094.01,59,1745.31
15.5481,156.9131,2108.11,60,1779.12
15.7921,156.8877,2128.59,61,1779.63
15.5859,156.8141,2100.17,62,1769.89
15.2551,156.7944,2090.54,63,1740.46
15.6343,156.7956,2108.68,64,1750.88
15.4559,156.7006,2135.05,65,1753.97
15.6354,156.774,2182.3,66,1827.91
15.5461,156.84,2164.94,67,1815.6
15.5198,156.8676,2146.37,68,1786.35
15.869,156.9907,2117.64,69,1816.01
15.629,156.792,2181.57,70,1802.48
15.497,156.8715,2162.69,71,1778.56
15.178,156.7379,2153.77,72,1808.3
15.6456,156.6864,2140.38,73,1797.89
15.5435,156.7229,2165.55,74,1812.75
15.3802,156.7388,2139.08,75,1811.77
15.5873,156.8263,2136.98,76,1815.73
15.3432,156.7281,2202.31,77,1804.23
15.4494,156.7284,2214.87,78,1805.32
15.5817,156.7214,2130.79,79,1821.08
15.4526,156.7001,2162.99,80,1823.24
15.2825,156.7138,2141.55,81,1796.95
15.645,156.699,2179.71,82,1843.35
15.5337,156.806,2195.29,83,1836.35
15.7646,156.6632,2212.3,84,1844.53
15.3841,156.7189,2196.25,85,1831.71
15.2187,156.7307,2152.28,86,1793.28
15.3796,156.7417,2237.09,87,1825.99
15.4001,156.7818,2184.73,88,1821.54
15.2495,156.7949,2133.67,89,1781.2
15.4302,156.7329,2179.42,90,1796.69
15.1179,156.7272,2205.64,91,1816.73
15.9386,156.7738,2221.56,92,1877.57
15.3007,156.7485,2188.67,93,1828.89
15.5067,156.7523,2240.0,94,1859.58
15.2872,156.7178,2212.2,95,1835.38
15.1589,156.6883,2098.82,96,1799.93
15.3986,156.5911,2251.36,97,1853.59
15.2927,156.7396,2211.72,98,1851.94
15.2776,156.6924,2216.01,99,1854.65
14.9979,156.5531,2225.89,100,1819.65
15.2556,156.5262,2196.2,101,1832.56
15.2749,156.7195,2256.32,102,1848.45
15.3446,156.6786,2253.99,103,1880.09
15.3994,156.6973,2258.63,104,1863.68
15.2013,156.6535,2193.48,105,1849.69
15.3178,156.5863,2264.26,106,1875.96
15.2082,156.712,2181.42,107,1809.69
15.155,156.6145,2250.73,108,1863.44
15.3231,156.6697,2196.78,109,1856.84
14.9589,156.6553,2254.28,110,1833.72
15.288,156.7458,2235.65,111,1849.31
15.1435,156.3729,2216.01,112,1849.76
15.1823,156.6417,2230.94,113,1835.19
15.0262,156.6696,2219.02,114,1853.18
15.0059,156.6209,2212.08,115,1863.79
15.5118,156.8107,2276.17,116,1866.15
15.3035,156.7879,2215.77,117,1858.01
15.3283,156.6127,2261.48,118,1877.34
15.1064,156.6303,2229.61,119,1851.23
15.1481,156.7941,2162.01,120,1831.32
15.3998,156.693,2266.48,121,1898.59
15.228,156.7833,2191.94,122,1854.26
