Real Sto Return,Running Reverse KL,Running Forward KL,Real Det Return,Itration
201.91,18.62,37.0302,198.64,0
208.09,17.7175,34.5813,21.04,1
329.21,18.4441,34.9023,339.06,2
537.31,16.8678,33.4806,525.33,3
309.24,19.0898,35.4915,315.1,4
1002.38,55.9109,47.0572,1003.75,5
337.98,21.7381,34.8996,374.34,6
1004.18,34.93,44.8259,1005.37,7
347.91,31.7728,39.854,345.11,8
306.5,17.8748,35.4635,311.12,9
591.24,18.4088,33.1376,579.07,10
484.45,64.0505,34.7371,491.51,11
151.69,20.2346,38.405,109.24,12
333.1,22.2334,34.2104,274.23,13
989.18,29.8907,43.5588,991.9,14
1008.13,27.284,42.1393,1008.72,15
590.72,19.3273,37.1,556.03,16
357.46,27.7637,38.9692,414.58,17
1022.27,28.9273,41.7144,1024.79,18
415.67,25.1499,40.744,779.02,19
822.09,24.8375,39.6926,804.76,20
999.97,28.4411,44.5604,990.18,21
516.16,16.5821,34.8524,1061.66,22
552.91,19.2204,34.7459,484.1,23
756.76,26.6476,35.3876,515.11,24
995.65,36.199,44.8343,997.02,25
933.1,28.0579,43.304,999.77,26
985.88,24.0346,41.5514,983.12,27
708.89,20.8747,32.6731,647.11,28
1000.65,29.3237,35.0692,1049.65,29
1001.34,31.1989,44.2469,1003.23,30
1023.0,25.0397,43.9077,1017.8,31
975.71,27.4221,43.9631,1003.91,32
998.18,37.177,45.3555,1001.38,33
1040.14,27.6515,35.8972,1014.91,34
786.32,33.1588,41.752,1022.48,35
1008.98,23.8147,43.4757,998.07,36
1040.34,26.4262,42.27,1039.71,37
91.68,26.1336,42.2923,77.05,38
1018.1,32.5516,44.0398,1018.01,39
133.99,84.1629,43.2878,134.45,40
1006.71,28.9914,44.9103,1007.19,41
1023.77,27.1634,43.5792,1024.71,42
1023.64,30.3075,43.3704,1023.96,43
984.05,37.2956,36.7868,985.24,44
932.65,27.0571,38.9592,1025.04,45
881.88,19.4626,36.0041,1022.69,46
672.24,15.2366,32.2962,670.2,47
596.21,19.223,33.9672,580.77,48
624.72,17.8544,34.0794,644.97,49
736.82,18.6621,32.1712,673.45,50
750.82,19.7392,33.1858,1241.35,51
886.29,18.7032,32.2564,914.15,52
2110.26,14.4104,32.022,2412.46,53
2454.54,14.4653,31.9518,2525.26,54
1905.45,15.4148,30.9375,2678.45,55
2017.15,15.8977,30.7552,2484.04,56
1515.27,18.5703,29.5872,2622.11,57
1037.59,41.9513,29.5866,1937.2,58
2155.26,27.3204,29.8257,2442.03,59
2408.52,17.0193,30.9523,2627.97,60
1729.85,19.0301,29.6327,2041.78,61
2628.76,18.2787,29.526,2875.42,62
2492.91,13.8498,27.7295,2960.55,63
1597.81,26.1017,29.9225,1488.02,64
1306.62,58.0644,29.9032,2811.1,65
2428.16,14.4294,31.0494,2691.33,66
2924.86,15.3314,29.0488,2977.15,67
2170.64,68.4311,29.0706,2938.47,68
1009.17,83.0439,31.7357,1043.77,69
2179.33,15.9721,28.0097,3025.18,70
1545.58,54.2884,29.0038,2515.47,71
1845.17,36.0795,28.8666,1598.73,72
1902.04,45.3305,28.1372,2647.32,73
2910.37,14.395,29.5668,3037.01,74
3004.6,14.5793,29.9492,3010.71,75
2986.18,15.3418,29.5342,2999.71,76
3020.16,14.7542,30.0156,3054.1,77
3019.94,13.7414,28.2699,3129.57,78
2980.78,14.9585,28.935,3057.23,79
1902.88,17.42,29.5042,1039.08,80
2130.49,73.6046,29.1694,1024.72,81
2972.89,14.3884,28.7934,3129.55,82
2390.02,15.9116,28.7633,2929.86,83
2533.47,22.1043,29.0977,3137.72,84
3037.32,16.3141,28.7631,3104.17,85
2560.61,32.5401,30.561,2923.74,86
2851.25,16.7722,29.381,2898.87,87
2878.8,14.7356,30.4148,2845.64,88
2790.03,15.0379,31.2913,2747.13,89
2763.89,15.6783,31.7801,2723.74,90
2712.31,16.7888,31.7789,2715.92,91
2681.54,15.916,31.3038,2870.77,92
2954.27,13.4028,29.0015,2854.1,93
1068.21,23.9704,30.5011,952.87,94
2346.03,14.5508,28.4122,3160.63,95
1591.31,21.77,29.8703,1771.41,96
3122.85,13.3852,28.3586,3125.54,97
2980.44,15.778,29.2648,3006.78,98
2701.51,14.0989,28.4668,3133.37,99
3059.71,14.5801,29.6663,3078.96,100
3052.51,13.9691,28.1795,3123.29,101
3029.83,14.6474,29.3238,3039.45,102
1830.47,18.7926,29.8967,3240.83,103
3193.56,16.1783,28.6225,3191.51,104
3108.0,14.817,28.0954,3137.71,105
