Running Env Steps,Real Sto Return,Running Update Time,Reward Loss,Running Reverse KL,Real Det Return,Running Forward KL,Itration
0,-221.14,0,2153.86083984375,11.3431,-0.94,158.3242,0
5000,-86.34,1,1888.8731689453125,11.62,88.36,158.2283,1
10000,0.15,2,1800.1221923828125,11.3506,71.38,158.1753,2
15000,134.24,3,1552.4354248046875,11.2652,530.65,157.8498,3
20000,216.18,4,1406.6925048828125,11.2805,608.76,157.7539,4
25000,304.21,5,1239.5888671875,11.3042,641.0,157.6123,5
30000,373.2,6,1019.995361328125,12.2634,904.1,157.8334,6
35000,520.7,7,916.8110961914062,13.0589,891.62,157.8927,7
40000,678.9,8,800.8975219726562,13.4834,1088.13,157.9352,8
45000,731.12,9,667.0773315429688,14.1292,1209.05,157.8558,9
50000,715.19,10,490.89996337890625,14.8111,1265.89,157.9638,10
55000,900.22,11,174.22021484375,15.0643,1282.31,157.8727,11
60000,990.59,12,100.63552856445312,15.6766,1433.46,157.5184,12
65000,1064.49,13,-181.22618103027344,16.1578,1453.56,157.7445,13
70000,1108.62,14,-384.7667541503906,15.9042,1523.94,157.751,14
75000,1233.75,15,-579.9761962890625,15.8859,1607.99,157.9724,15
80000,1224.76,16,-683.6104125976562,16.5346,1670.77,157.7557,16
85000,1257.2,17,-767.567138671875,16.6233,1670.38,157.7241,17
90000,1300.13,18,-1094.9423828125,16.4203,1718.43,157.6705,18
95000,1305.61,19,-1356.63671875,16.311,1741.26,157.8465,19
100000,1359.8,20,-1606.3331298828125,16.0533,1755.73,157.8847,20
105000,1403.08,21,-1795.48681640625,16.279,1807.03,157.8102,21
110000,1415.96,22,-1954.1995849609375,15.898,1810.18,157.4614,22
115000,1427.52,23,-2280.783447265625,16.3734,1775.6,157.9664,23
120000,1454.49,24,-2339.0546875,16.3593,1856.49,157.6359,24
125000,1497.18,25,-2664.0439453125,16.7635,1929.76,157.805,25
130000,1519.72,26,-2790.793212890625,16.7908,1868.96,157.8794,26
135000,1536.59,27,-3028.258056640625,16.564,1895.05,157.7168,27
140000,1576.21,28,-3335.73388671875,16.4436,1892.39,157.6827,28
145000,1530.99,29,-3473.315673828125,17.1263,1907.96,157.8608,29
150000,1539.89,30,-3689.482666015625,16.1351,1911.4,157.7088,30
155000,1599.07,31,-3906.609130859375,16.1847,1916.83,157.8039,31
160000,1598.93,32,-4183.865234375,16.7038,1996.96,157.685,32
165000,1556.72,33,-4364.61181640625,16.0145,1927.46,157.6082,33
170000,1576.7,34,-4577.1396484375,16.1717,1921.02,157.3615,34
175000,1615.12,35,-4854.41064453125,16.3308,1966.33,157.4623,35
180000,1602.79,36,-5076.28564453125,16.0005,1938.11,157.5435,36
185000,1623.44,37,-5271.04345703125,16.3688,1951.2,157.4806,37
190000,1606.58,38,-5465.4267578125,16.4587,1968.17,157.5218,38
195000,1628.41,39,-5721.1533203125,16.1902,1989.61,157.4254,39
200000,1634.21,40,-5871.24462890625,16.0198,2009.47,157.2318,40
205000,1672.26,41,-6131.45947265625,16.6976,2025.57,157.5351,41
210000,1631.9,42,-6311.1572265625,16.3753,1956.64,157.5614,42
