Running Reverse KL,Real Sto Return,Running Env Steps,Real Det Return,Reward Loss,Running Update Time,Itration,Running Forward KL
19.584,192.78,0,183.86,299.52154541015625,0,0,32.4524
15.0312,321.26,5000,306.59,289.56146240234375,1,1,29.8673
24.2384,420.25,10000,405.33,146.70545959472656,2,2,26.9965
12.641,531.22,15000,374.9,214.85813903808594,3,3,25.028
19.5886,699.8,20000,715.14,120.59104919433594,4,4,25.8037
56.6193,497.23,25000,500.39,420.14129638671875,5,5,26.3697
83.5366,535.99,30000,556.78,381.4363098144531,6,6,26.809
19.5703,596.4,35000,1061.16,113.000244140625,7,7,28.7236
23.5938,1605.35,40000,1503.86,-155.68408203125,8,8,25.1904
17.2627,355.76,45000,181.37,161.0183868408203,9,9,27.7088
60.3996,289.51,50000,188.16,274.58026123046875,10,10,24.1043
12.9888,730.22,55000,645.4,57.35163116455078,11,11,24.9677
37.8012,669.5,60000,670.72,-202.68777465820312,12,12,24.9656
12.5179,873.45,65000,1560.02,-115.21304321289062,13,13,26.3197
16.5339,927.26,70000,2159.38,-235.6668243408203,14,14,25.3713
12.3528,2387.38,75000,2947.55,-66.17047119140625,15,15,23.4532
12.8806,1240.85,80000,1283.01,-53.23719024658203,16,16,22.3533
13.3221,1475.09,85000,744.91,-130.74269104003906,17,17,22.3141
17.4055,1466.39,90000,1673.21,-89.49149322509766,18,18,21.2516
45.8927,898.82,95000,753.85,-142.20501708984375,19,19,21.6514
89.632,990.31,100000,1032.64,-158.24435424804688,20,20,21.783
22.6635,1322.65,105000,1103.02,-299.81365966796875,21,21,21.8468
31.245,1225.83,110000,2155.03,-276.505615234375,22,22,21.7361
29.672,854.93,115000,1026.76,-367.528564453125,23,23,23.5406
19.5798,1317.54,120000,385.37,-396.013427734375,24,24,21.8631
17.0155,1870.84,125000,927.65,-243.25369262695312,25,25,20.5064
12.8645,1261.12,130000,1747.42,-321.1781311035156,26,26,20.5944
15.8743,2280.35,135000,782.14,-291.5227355957031,27,27,19.2748
16.4514,2383.43,140000,2781.69,-240.6567840576172,28,28,21.5524
12.4894,1793.62,145000,1292.03,-308.65924072265625,29,29,21.2164
15.5553,2790.79,150000,2164.1,-297.65106201171875,30,30,19.8235
14.4149,1597.49,155000,2907.8,-536.6293334960938,31,31,21.8255
36.9208,1376.28,160000,1206.13,-563.7238159179688,32,32,21.8273
17.4161,1234.9,165000,690.18,-319.7386169433594,33,33,18.9824
21.3716,1408.97,170000,1499.56,-572.4957885742188,34,34,21.9929
14.3053,1446.25,175000,2268.4,-566.2213745117188,35,35,20.6698
18.5518,1677.32,180000,2299.19,-558.3258666992188,36,36,20.6636
16.5288,1125.04,185000,1084.0,-657.5971069335938,37,37,21.6379
11.8573,2350.34,190000,3346.44,-138.9066619873047,38,38,19.5392
10.7889,2936.6,195000,3285.88,-142.30911254882812,39,39,18.1812
14.8802,1410.07,200000,1811.6,-542.3489379882812,40,40,19.9772
