Running Forward KL,Running Update Time,Reward Loss,Running Reverse KL,Running Env Steps,Itration,Real Det Return,Real Sto Return
427.3841,0,-249.16123962402344,271.2684,0,0,386.58,385.56
455.0212,1,-349.90643310546875,333.6131,5000,1,307.31,283.0
446.8063,2,-588.8395385742188,306.3725,10000,2,333.54,346.66
422.7131,3,-983.1390380859375,259.0789,15000,3,552.37,391.23
439.103,4,-1426.2542724609375,260.4315,20000,4,402.64,360.62
440.5231,5,-1265.9354248046875,268.456,25000,5,352.86,372.64
431.7259,6,-1220.4637451171875,266.5362,30000,6,386.15,362.91
432.333,7,-1387.4273681640625,280.0491,35000,7,359.3,373.37
418.0328,8,-1459.91943359375,261.4218,40000,8,424.96,392.33
402.89,9,-1529.9830322265625,259.6102,45000,9,442.49,411.28
409.2878,10,-1584.686279296875,268.5914,50000,10,426.63,454.16
415.3046,11,-1771.2449951171875,264.75,55000,11,406.35,404.5
398.3478,12,-2177.10400390625,266.6376,60000,12,406.33,402.27
380.9666,13,-2212.6015625,239.2652,65000,13,532.51,474.92
381.1268,14,-2828.10595703125,251.5532,70000,14,458.35,441.41
365.3029,15,-2645.682373046875,237.7509,75000,15,525.06,512.97
366.9762,16,-2585.580322265625,257.2063,80000,16,632.95,553.02
368.9107,17,-3008.857666015625,249.9255,85000,17,530.04,500.85
381.3354,18,-2445.900390625,283.0234,90000,18,498.62,515.07
376.0926,19,-3131.925048828125,254.02,95000,19,536.32,631.38
364.7249,20,-3157.851318359375,243.8818,100000,20,573.75,607.58
370.3189,21,-3150.87548828125,242.5334,105000,21,619.88,661.81
372.3653,22,-3229.61083984375,258.1204,110000,22,531.03,595.56
377.5395,23,-3220.88427734375,267.5512,115000,23,547.74,540.18
376.6252,24,-3643.833251953125,227.0883,120000,24,514.7,598.72
371.948,25,-3645.880615234375,255.468,125000,25,501.73,633.23
370.3046,26,-3594.0302734375,293.7598,130000,26,480.78,704.21
362.3769,27,-3363.248779296875,345.9604,135000,27,545.2,607.36
366.9313,28,-3752.691650390625,350.9017,140000,28,535.37,692.64
352.2372,29,-3913.154541015625,254.8951,145000,29,626.32,869.92
346.1969,30,-3708.884765625,279.8851,150000,30,590.19,854.06
344.4375,31,-3651.89404296875,270.4962,155000,31,657.73,891.6
362.4595,32,-4123.638671875,255.136,160000,32,557.53,878.45
367.5732,33,-3851.427001953125,308.6305,165000,33,627.88,888.29
341.7762,34,-3902.643310546875,238.6361,170000,34,592.16,1019.55
352.7057,35,-3787.111328125,262.5162,175000,35,670.55,1119.93
361.0612,36,-4369.130859375,265.5661,180000,36,686.66,832.34
337.7926,37,-4439.0625,247.8965,185000,37,628.97,900.54
353.5118,38,-4938.9658203125,272.2674,190000,38,627.34,903.04
352.5326,39,-4819.150390625,257.0273,195000,39,685.26,963.48
338.8508,40,-5295.474609375,328.0679,200000,40,642.92,960.82
347.5092,41,-5561.4091796875,296.437,205000,41,675.34,977.73
351.1589,42,-5331.62109375,316.4871,210000,42,707.63,979.14
336.3476,43,-5010.60205078125,264.7141,215000,43,668.79,1060.01
363.7859,44,-5563.7138671875,299.854,220000,44,710.46,984.44
340.3493,45,-5279.02978515625,235.1634,225000,45,656.43,919.25
339.3019,46,-5616.9423828125,248.8068,230000,46,935.55,1328.68
344.19,47,-6214.37744140625,242.9158,235000,47,608.67,1066.61
343.9433,48,-6101.23388671875,250.8444,240000,48,677.54,1317.29
324.6485,49,-5556.27734375,210.9433,245000,49,609.69,1212.02
