Reward Loss,Running Reverse KL,Itration,Running Update Time,Real Det Return,Real Sto Return,Running Forward KL,Running Env Steps
386.98193359375,25.9685,0,0,222.97,183.94,35.2343,0
498.2619934082031,16.0577,1,1,234.68,233.73,30.8545,5000
392.6602478027344,16.1486,2,2,230.91,227.46,29.6582,10000
621.8612060546875,16.0977,3,3,254.06,275.94,29.2659,15000
438.4201965332031,16.3473,4,4,336.72,330.38,28.4904,20000
437.64508056640625,17.1242,5,5,372.94,368.91,28.3703,25000
329.19805908203125,16.3473,6,6,396.54,389.64,28.5779,30000
420.99761962890625,16.3477,7,7,404.09,397.68,29.5189,35000
282.0637512207031,16.2101,8,8,396.05,386.12,28.453,40000
85.01155090332031,19.2916,9,9,489.81,449.34,26.2795,45000
-7.777245044708252,26.7929,10,10,493.01,466.82,27.5702,50000
-80.23558807373047,30.3036,11,11,443.75,435.29,27.774,55000
-114.08329772949219,28.4762,12,12,590.13,579.32,27.4639,60000
-138.03565979003906,28.2485,13,13,640.85,618.71,28.0892,65000
-184.52853393554688,29.2597,14,14,601.63,577.09,28.2465,70000
-218.80648803710938,29.0954,15,15,575.56,560.91,28.0267,75000
-244.82847595214844,27.5937,16,16,629.26,620.91,27.9786,80000
-299.78094482421875,27.5964,17,17,671.02,661.13,27.1502,85000
-327.21929931640625,28.8742,18,18,689.45,675.13,27.2911,90000
-377.8277587890625,26.7175,19,19,705.26,681.16,26.3515,95000
-438.7928466796875,34.5437,20,20,727.92,719.92,26.8796,100000
-481.42205810546875,31.2092,21,21,818.49,772.79,26.9546,105000
-460.5300598144531,28.5164,22,22,998.9,1006.3,27.0716,110000
-404.207275390625,28.3841,23,23,1240.24,1114.31,27.3524,115000
-431.80926513671875,23.8827,24,24,1445.07,1189.46,27.1877,120000
-607.5234375,29.3769,25,25,895.52,856.78,28.8373,125000
-678.695556640625,26.6808,26,26,896.79,815.72,27.4339,130000
-517.6189575195312,19.2673,27,27,883.66,889.41,27.221,135000
-530.4840698242188,17.9645,28,28,894.49,898.25,26.7442,140000
-429.77264404296875,16.5886,29,29,891.25,863.79,26.9802,145000
-388.5208435058594,16.2418,30,30,921.56,951.0,26.7595,150000
-328.6365051269531,14.751,31,31,1016.0,1051.64,26.3486,155000
-396.84613037109375,15.3725,32,32,1232.86,1030.84,26.051,160000
-393.7105407714844,15.8511,33,33,1274.87,1106.08,27.4092,165000
-355.4588623046875,20.1645,34,34,470.08,711.99,27.9353,170000
-378.45709228515625,16.865,35,35,899.6,1194.48,26.6272,175000
-419.81634521484375,16.0177,36,36,982.23,921.46,27.0543,180000
-594.9854736328125,16.3755,37,37,999.01,963.79,27.1689,185000
-569.861328125,16.2965,38,38,976.98,942.46,27.4494,190000
-536.6604614257812,16.7014,39,39,880.65,848.1,26.8248,195000
-520.19677734375,16.4689,40,40,952.02,897.58,26.6929,200000
-717.8336181640625,16.9147,41,41,956.26,917.95,27.2166,205000
-1149.6697998046875,29.2712,42,42,907.25,855.73,27.4567,210000
-1113.46630859375,20.4025,43,43,980.68,907.33,27.5802,215000
-1151.95361328125,23.7803,44,44,979.57,939.65,27.2866,220000
-1147.538330078125,20.3605,45,45,963.26,971.39,27.7885,225000
-1161.855712890625,19.5886,46,46,1193.51,1012.08,26.8329,230000
-1213.3414306640625,20.1131,47,47,894.6,885.27,27.5857,235000
-1261.03759765625,20.8203,48,48,935.14,897.29,27.4182,240000
-1344.283447265625,21.379,49,49,968.52,933.87,27.8521,245000
-1300.4295654296875,19.0789,50,50,966.65,938.32,26.6054,250000
-925.6561889648438,16.1694,51,51,1241.49,994.36,26.6785,255000
-1433.8756103515625,20.4827,52,52,1006.72,970.33,27.2864,260000
