Running Env Steps,Running Update Time,Real Sto Return,Itration,Reward Loss,Real Det Return,Running Forward KL,Running Reverse KL
0,0,315.07,0,1535.3814697265625,254.12,455.1008,280.6216
5000,1,295.22,1,1193.0706787109375,308.81,446.522,273.6698
10000,2,351.51,2,1272.04248046875,319.62,423.6453,265.4274
15000,3,361.32,3,723.0535278320312,279.13,423.2261,274.1361
20000,4,398.44,4,493.4572448730469,408.84,416.8206,292.9956
25000,5,353.71,5,-428.9444580078125,374.37,432.106,275.2974
30000,6,368.54,6,-885.7056274414062,361.2,419.945,297.7551
35000,7,477.46,7,-858.0894775390625,529.84,401.3008,287.5328
40000,8,506.67,8,-1027.5631103515625,538.7,403.0354,279.0045
45000,9,387.98,9,-1974.8624267578125,369.13,421.4747,309.4186
50000,10,588.83,10,-1446.3104248046875,510.91,403.5879,264.6765
55000,11,568.46,11,-1942.063232421875,481.89,391.309,278.3651
60000,12,543.58,12,-2103.63916015625,712.18,401.0511,256.2263
65000,13,571.16,13,-2253.037353515625,630.91,399.229,253.1331
70000,14,569.97,14,-2627.14013671875,435.54,389.8878,261.9579
75000,15,585.97,15,-2632.892333984375,472.43,398.1347,258.5938
80000,16,609.56,16,-2873.460693359375,529.3,385.6994,241.9731
85000,17,589.02,17,-2427.513671875,510.6,386.0451,240.7402
90000,18,628.31,18,-2998.55908203125,468.82,388.7071,261.7577
95000,19,508.74,19,-3935.2587890625,570.98,394.7113,252.1052
100000,20,650.65,20,-3907.7412109375,564.91,391.662,268.6391
105000,21,580.61,21,-4003.818115234375,610.33,388.8579,252.9765
110000,22,689.48,22,-4762.6533203125,484.41,401.8204,315.0137
115000,23,670.8,23,-4920.439453125,511.88,380.2263,270.6696
120000,24,709.82,24,-4634.32568359375,463.98,375.1382,256.1236
125000,25,848.39,25,-4543.48046875,586.2,378.5829,239.9929
130000,26,605.61,26,-4720.56982421875,487.79,371.088,248.0247
135000,27,706.5,27,-5328.39501953125,651.95,380.0525,246.3851
140000,28,802.51,28,-5511.8046875,608.99,375.8316,223.2936
145000,29,681.65,29,-5455.02490234375,575.72,381.2491,226.2856
150000,30,954.48,30,-5577.080078125,517.17,370.677,225.2651
155000,31,897.27,31,-5995.8349609375,630.12,368.5519,230.3979
160000,32,736.16,32,-6049.8173828125,551.76,377.686,235.3166
165000,33,878.56,33,-5717.90771484375,713.16,365.9761,205.0272
170000,34,875.83,34,-6384.2431640625,607.22,370.1588,228.6518
175000,35,1072.87,35,-6555.5029296875,649.08,361.3797,220.2038
180000,36,1095.41,36,-6246.38330078125,698.13,361.2464,216.0344
185000,37,956.73,37,-6637.0869140625,754.01,358.9763,228.8742
190000,38,1092.55,38,-6899.6533203125,687.65,370.8307,256.0967
195000,39,1066.38,39,-7027.0732421875,654.1,369.808,232.0064
200000,40,980.4,40,-7719.9716796875,666.52,366.0677,268.8504
205000,41,894.05,41,-7728.85400390625,685.91,382.7348,267.9772
210000,42,792.9,42,-7946.32275390625,605.46,380.2896,281.2972
215000,43,1018.68,43,-7970.353515625,606.32,367.2869,271.402
220000,44,962.43,44,-8387.728515625,604.88,385.2153,254.6417
225000,45,1017.88,45,-8526.5947265625,593.01,382.9013,284.0113
230000,46,967.99,46,-8163.34521484375,642.98,360.4828,251.6999
235000,47,812.94,47,-9581.017578125,513.85,390.901,326.2309
240000,48,1013.96,48,-9348.0615234375,534.13,379.1831,312.7689
245000,49,1224.56,49,-9299.076171875,583.72,377.5336,293.4857
250000,50,1775.64,50,-7657.47216796875,658.39,354.1182,219.9246
255000,51,1187.03,51,-9057.5908203125,548.46,364.8154,268.1485
260000,52,1679.33,52,-8914.3544921875,664.2,363.1653,237.9368
265000,53,1645.0,53,-8939.6572265625,666.07,363.2393,261.9171
270000,54,1448.93,54,-8564.6435546875,1029.83,358.5528,239.1891
275000,55,2192.02,55,-9860.626953125,781.48,372.3144,270.6592
280000,56,1276.17,56,-9544.0146484375,706.42,360.8988,268.9108
285000,57,2643.88,57,-8625.287109375,1215.82,348.783,280.0548
290000,58,2436.47,58,-9178.6982421875,1159.7,359.7279,276.8357
295000,59,2010.44,59,-9454.4921875,1197.82,363.3178,290.3365
300000,60,3273.73,60,-7567.56884765625,1112.99,346.8133,205.9894
305000,61,3221.36,61,-6141.12744140625,1048.35,329.1807,180.797
310000,62,3462.57,62,-7622.158203125,1144.69,343.1149,193.1951
315000,63,3028.05,63,-7844.21337890625,972.14,344.2545,203.4752
320000,64,3479.51,64,-6360.00244140625,602.51,323.0887,188.2218
325000,65,3539.2,65,-8030.2001953125,645.85,326.9321,209.2973
330000,66,2742.86,66,-7729.47998046875,1485.89,332.2675,191.7368
335000,67,2488.79,67,-8154.83837890625,1000.28,345.3084,211.8862
340000,68,2256.32,68,-8191.3154296875,1082.65,340.5171,203.1517
345000,69,2443.46,69,-9202.6796875,1099.19,351.0064,221.6066
350000,70,2211.36,70,-10399.431640625,1012.45,359.8519,240.2258
355000,71,2599.79,71,-6473.51904296875,847.75,340.1065,155.0697
360000,72,3573.15,72,-5748.0,708.91,328.1096,143.309
365000,73,3120.13,73,-8631.2109375,814.16,353.0106,193.8658
370000,74,1841.37,74,-10403.3154296875,966.78,363.7723,234.7299
375000,75,2942.77,75,-6658.6328125,1676.12,328.6288,153.3591
380000,76,3415.9,76,-8169.62255859375,1468.77,336.55,178.6241
385000,77,2710.88,77,-7269.77734375,1727.47,335.8658,169.525
390000,78,3298.35,78,-6545.21630859375,825.25,336.0627,150.3344
395000,79,3258.6,79,-8504.9814453125,1264.72,339.3137,176.1497
400000,80,3537.4,80,-6551.82177734375,1251.94,332.6875,140.2819
405000,81,3599.16,81,-6254.5654296875,2128.05,331.4041,137.4251
410000,82,3357.18,82,-10284.85546875,1689.12,346.5235,202.2265
415000,83,2680.54,83,-9989.8486328125,1194.92,340.0208,230.1209
420000,84,3185.41,84,-8377.0107421875,1055.59,329.1775,182.3764
425000,85,2776.11,85,-9827.21875,720.27,339.9294,209.6169
430000,86,2776.95,86,-8806.1279296875,640.0,332.1457,193.8509
435000,87,4190.29,87,-8085.5634765625,1690.03,337.008,172.3085
440000,88,3814.46,88,-9162.4755859375,2108.88,334.4612,177.4998
445000,89,4216.76,89,-8226.1171875,2725.23,329.598,163.5544
450000,90,4041.47,90,-8498.4033203125,4486.94,345.3784,177.1813
455000,91,3987.13,91,-7732.10986328125,2169.06,330.2563,145.8554
460000,92,3947.25,92,-7806.13916015625,2514.59,322.757,153.3791
465000,93,3998.41,93,-9596.951171875,2785.51,340.0171,166.6997
470000,94,3257.97,94,-6956.5810546875,3193.51,327.5688,141.0663
