Running Forward KL,Running Update Time,Itration,Real Sto Return,Running Env Steps,Running Reverse KL,Real Det Return,Reward Loss
38.2847,0,0,263.21,0,19.6123,251.79,76.6994400024414
39.5695,1,1,309.53,5000,29.6779,312.26,37.81966018676758
37.8401,2,2,261.36,10000,37.7327,219.2,20.74620819091797
38.0903,3,3,321.89,15000,30.1696,324.64,20.079261779785156
37.9512,4,4,325.74,20000,24.892,328.0,17.68138313293457
37.4514,5,5,325.57,25000,57.9287,334.85,99.89385223388672
37.4622,6,6,393.75,30000,26.1052,407.36,4.621703147888184
36.3955,7,7,545.09,35000,26.1316,630.81,-6.821118354797363
34.8357,8,8,534.04,40000,63.6446,536.8,37.92756652832031
34.7416,9,9,372.84,45000,41.1638,907.15,-21.437496185302734
34.5312,10,10,669.88,50000,33.4957,721.53,5.154155254364014
34.1399,11,11,701.12,55000,31.1221,705.04,-25.159284591674805
31.2821,12,12,787.4,60000,21.8289,773.61,-69.54313659667969
31.4733,13,13,919.8,65000,23.3195,884.34,-62.97859573364258
30.068,14,14,2815.02,70000,16.6372,2798.66,-59.84199523925781
30.9235,15,15,1322.32,75000,24.8779,2052.91,-79.9698257446289
32.2692,16,16,2837.0,80000,17.4443,2891.27,-31.230789184570312
32.6519,17,17,1020.68,85000,35.6179,1368.23,-122.07403564453125
31.6977,18,18,1334.83,90000,22.2883,1543.09,-96.61724853515625
29.8132,19,19,1514.58,95000,22.66,2813.91,-103.8056640625
30.2412,20,20,1178.03,100000,26.9056,1489.56,-136.95147705078125
30.7739,21,21,1196.86,105000,21.9734,2886.75,-135.75210571289062
30.2821,22,22,1472.56,110000,21.6621,3156.93,-120.66889953613281
31.3631,23,23,2959.9,115000,17.1689,3060.15,-49.12641525268555
30.8421,24,24,1193.73,120000,23.6661,1310.8,-159.73289489746094
29.9456,25,25,2185.15,125000,19.8222,3104.92,-117.95572662353516
29.4521,26,26,2162.79,130000,19.1057,3170.17,-102.90567779541016
29.7814,27,27,1205.38,135000,20.7073,1085.84,-150.65492248535156
30.66,28,28,997.7,140000,20.0808,340.48,-153.8540496826172
31.0054,29,29,1420.86,145000,22.8237,1218.04,-182.500732421875
29.8015,30,30,2950.85,150000,15.632,3111.95,-66.91234588623047
30.7476,31,31,1041.47,155000,20.8657,1121.71,-182.9567108154297
30.8179,32,32,1295.81,160000,19.0577,2994.22,-167.12782287597656
30.832,33,33,3016.91,165000,16.9108,3049.75,-59.79376983642578
30.4552,34,34,2772.88,170000,19.3048,3193.17,-79.8736801147461
29.7103,35,35,1207.78,175000,33.5124,1124.77,-236.514892578125
29.5368,36,36,1937.23,180000,24.3164,3078.37,-157.86105346679688
28.8491,37,37,2643.52,185000,16.9858,3219.93,-108.56392669677734
28.6563,38,38,2557.07,190000,16.1652,3042.36,-128.67433166503906
30.1522,39,39,1595.85,195000,27.214,2265.51,-196.639892578125
29.3743,40,40,1660.76,200000,22.8444,2699.86,-166.1661834716797
28.8381,41,41,1873.26,205000,16.2156,1427.01,-119.80040740966797
27.5667,42,42,2523.32,210000,15.738,2982.08,-92.690185546875
29.714,43,43,1140.56,215000,16.7193,1152.75,-159.3580322265625
28.9853,44,44,2780.13,220000,14.8529,3259.85,-103.7104721069336
28.7033,45,45,2691.31,225000,18.5489,3034.05,-152.10166931152344
29.0383,46,46,3084.05,230000,14.9173,3135.76,-78.11125946044922
28.5395,47,47,2462.07,235000,14.9639,3179.08,-104.90226745605469
27.8998,48,48,2961.55,240000,13.9223,3227.46,-90.69317626953125
28.4957,49,49,2526.77,245000,14.9277,3232.96,-68.58778381347656
28.2486,50,50,2954.87,250000,15.8471,3189.8,-122.34265899658203
28.8072,51,51,2323.34,255000,15.5866,3127.11,-104.50652313232422
29.2751,52,52,2754.81,260000,15.3523,3040.39,-99.73236846923828
27.9906,53,53,2434.32,265000,14.7911,3227.78,-122.79116821289062
28.3023,54,54,2879.06,270000,14.8131,3228.74,-81.7974624633789
28.2883,55,55,2715.73,275000,14.0471,3134.82,-94.6142349243164
28.9482,56,56,2927.85,280000,14.0455,2499.65,-111.03202056884766
27.6018,57,57,3026.04,285000,13.4301,3256.53,-67.84432983398438
28.2661,58,58,2805.37,290000,14.2201,3083.09,-111.874755859375
27.5207,59,59,3065.96,295000,13.4715,3228.78,-81.99906158447266
28.0587,60,60,3069.11,300000,14.6708,3204.27,-114.67561340332031
27.068,61,61,2605.29,305000,21.9987,3208.0,-155.4211883544922
27.4477,62,62,2408.56,310000,13.7515,691.57,-79.1559829711914
27.3059,63,63,3017.0,315000,13.3173,3194.2,-121.94050598144531
27.6712,64,64,2934.27,320000,13.4241,3158.74,-115.08248901367188
28.86,65,65,1207.49,325000,26.3589,1912.55,-243.1481170654297
26.5802,66,66,2056.45,330000,15.8093,3242.43,-181.104736328125
27.6039,67,67,2745.66,335000,14.0625,3196.96,-146.25210571289062
27.6959,68,68,2260.01,340000,17.8974,2866.31,-195.5710906982422
26.2826,69,69,3271.1,345000,14.1096,3369.62,-80.61784362792969
27.6392,70,70,1977.37,350000,19.3749,3294.13,-177.41355895996094
27.3704,71,71,3233.44,355000,14.4199,3315.57,-82.96683502197266
26.5978,72,72,2303.66,360000,13.218,3353.48,-136.93746948242188
27.1445,73,73,3269.02,365000,14.4651,3279.83,-101.87947845458984
26.4634,74,74,3046.59,370000,14.0962,3317.35,-134.73524475097656
26.8475,75,75,3271.55,375000,13.8499,3307.38,-108.42692565917969
25.6602,76,76,3286.5,380000,13.4444,3397.08,-102.36746215820312
27.4611,77,77,2180.62,385000,18.1971,3235.48,-211.5302734375
25.5416,78,78,2791.74,390000,12.4161,3260.68,-104.98979949951172
25.239,79,79,2920.49,395000,13.788,3338.9,-130.2411346435547
26.789,80,80,2128.9,400000,12.8166,3307.53,-198.6334991455078
25.9137,81,81,3161.78,405000,13.6478,3306.73,-108.05508422851562
26.4498,82,82,3194.83,410000,12.7245,3231.05,-125.27925109863281
27.1741,83,83,3212.68,415000,13.8274,3228.83,-100.52388763427734
27.3407,84,84,1909.88,420000,20.8305,3280.86,-201.80531311035156
27.3213,85,85,1860.45,425000,13.0394,3234.29,-298.0732727050781
27.1882,86,86,2019.15,430000,16.2269,3054.49,-230.5767822265625
28.3514,87,87,1060.38,435000,38.6468,1126.15,-349.8676452636719
29.1177,88,88,1316.47,440000,19.0436,1202.59,-328.0086669921875
25.4434,89,89,2555.07,445000,23.2499,3139.08,-165.43875122070312
26.1082,90,90,2586.59,450000,12.5337,3321.05,-122.92072296142578
25.4702,91,91,3105.99,455000,12.0333,3354.48,-117.7580337524414
26.2375,92,92,2447.75,460000,19.2296,3319.03,-238.89759826660156
