Real Det Return,Real Sto Return,Reward Loss,Running Update Time,Running Forward KL,Running Env Steps,Running Reverse KL,Itration
-7.3,-192.78,34.5712890625,0,158.6151,0,11.6103,0
-39.82,-79.85,20.064592361450195,1,158.5498,5000,12.0337,1
-60.77,46.77,-40.08860778808594,2,158.4433,10000,12.0675,2
512.05,197.26,-54.65273666381836,3,158.417,15000,13.095,3
779.74,463.08,-126.76729583740234,4,158.4913,20000,14.5066,4
969.38,575.88,-148.04031372070312,5,158.303,25000,14.3472,5
987.29,560.73,-187.08627319335938,6,158.2133,30000,14.4629,6
1039.01,690.67,-204.13755798339844,7,158.0692,35000,14.5783,7
1213.16,779.87,-246.85984802246094,8,158.4371,40000,15.1797,8
1314.94,941.54,-249.58926391601562,9,158.1701,45000,15.688,9
1374.38,990.48,-281.4337463378906,10,157.9631,50000,15.8394,10
1546.79,1075.57,-341.4830017089844,11,157.8312,55000,16.3884,11
1532.25,1132.71,-362.2386474609375,12,158.1898,60000,16.9012,12
1566.31,1129.52,-369.1701965332031,13,157.9774,65000,16.1472,13
1562.19,1159.48,-418.42919921875,14,158.0074,70000,16.6949,14
1694.08,1268.56,-451.40850830078125,15,157.9732,75000,16.8157,15
1702.38,1292.67,-488.10626220703125,16,157.8813,80000,17.0091,16
1748.55,1283.82,-518.5499267578125,17,157.836,85000,16.8263,17
1782.38,1369.89,-537.5042114257812,18,157.9373,90000,17.1547,18
1757.61,1351.34,-549.4246215820312,19,157.8237,95000,16.3623,19
1814.15,1430.24,-599.0865478515625,20,157.7244,100000,16.7491,20
1806.8,1410.68,-616.7742919921875,21,157.9259,105000,16.7661,21
1780.3,1448.32,-623.3975219726562,22,158.1157,110000,16.6102,22
1802.09,1488.5,-659.8893432617188,23,158.0794,115000,16.7462,23
1856.19,1510.92,-693.2897338867188,24,157.6147,120000,16.5833,24
1864.53,1514.49,-736.770751953125,25,157.9383,125000,16.7132,25
1850.65,1525.37,-752.4751586914062,26,157.898,130000,16.4922,26
1891.28,1534.42,-780.0040283203125,27,157.6861,135000,16.5014,27
1908.46,1556.96,-818.7306518554688,28,157.6919,140000,16.4921,28
1863.38,1543.19,-814.1228637695312,29,157.8147,145000,16.6257,29
