Real Sto Return,Running Reverse KL,Reward Loss,Running Update Time,Real Det Return,Running Forward KL,Itration,Running Env Steps
306.13,315.2929,156.99815368652344,0,288.51,452.3548,0,0
299.16,310.2272,-103.37066650390625,1,293.77,434.5012,1,5000
370.06,336.2697,-283.2627258300781,2,376.66,405.6861,2,10000
415.19,317.1428,-206.32505798339844,3,396.4,422.6009,3,15000
397.29,295.6019,-308.38299560546875,4,379.43,400.8398,4,20000
414.99,281.0205,-795.4368896484375,5,232.62,405.1657,5,25000
409.82,336.3685,-978.0821533203125,6,430.41,429.4789,6,30000
453.62,350.2429,-1247.2867431640625,7,442.58,417.8138,7,35000
412.19,322.1984,-1675.9615478515625,8,420.28,415.5699,8,40000
474.43,284.6138,-1776.3929443359375,9,448.72,419.6581,9,45000
496.01,291.7185,-1615.712646484375,10,428.23,402.5571,10,50000
524.17,250.2282,-2084.25244140625,11,421.44,406.0202,11,55000
491.61,246.5277,-2298.95361328125,12,423.68,406.6189,12,60000
547.28,253.1374,-2405.123291015625,13,476.67,411.368,13,65000
607.89,248.2975,-2491.45654296875,14,570.58,395.4761,14,70000
572.35,242.2455,-2207.48095703125,15,449.52,398.8574,15,75000
587.81,249.2157,-2429.311767578125,16,446.46,408.7418,16,80000
587.6,241.3217,-2410.35888671875,17,487.08,402.5254,17,85000
622.23,221.1386,-2668.790771484375,18,494.49,408.2296,18,90000
579.53,232.6097,-2706.635986328125,19,460.02,393.1465,19,95000
617.53,236.0262,-2941.89453125,20,589.23,403.8217,20,100000
579.83,221.6681,-3080.8759765625,21,603.15,401.1248,21,105000
573.81,244.1448,-3051.25341796875,22,492.91,400.6387,22,110000
655.35,228.4053,-3539.602783203125,23,656.43,397.8165,23,115000
623.73,223.8741,-3536.261962890625,24,612.07,383.6491,24,120000
768.32,227.9884,-3688.227294921875,25,706.59,393.2314,25,125000
710.65,226.8546,-3590.040283203125,26,539.98,395.6252,26,130000
692.7,208.9811,-3512.89990234375,27,611.74,384.5217,27,135000
629.09,217.4581,-4062.269775390625,28,571.06,396.238,28,140000
814.58,227.3086,-3802.951904296875,29,710.38,393.1316,29,145000
988.7,208.1653,-3934.137939453125,30,899.63,380.0848,30,150000
798.65,222.6099,-4008.8125,31,626.74,380.9359,31,155000
969.31,217.233,-4211.78369140625,32,769.13,377.5185,32,160000
755.24,263.8579,-4404.15478515625,33,662.67,393.3838,33,165000
925.15,235.9548,-4221.06982421875,34,772.54,368.3502,34,170000
963.78,236.3872,-4422.587890625,35,996.2,380.4613,35,175000
967.91,250.0614,-4679.86279296875,36,658.19,379.9233,36,180000
995.98,222.1529,-4795.85791015625,37,676.68,374.1232,37,185000
1110.93,206.9248,-4167.5185546875,38,655.57,351.8198,38,190000
618.55,261.9788,-4972.046875,39,445.17,398.6355,39,195000
806.25,235.1067,-4637.34912109375,40,487.24,377.0766,40,200000
881.85,225.3386,-4714.64990234375,41,665.16,374.8128,41,205000
1027.61,223.052,-4589.85107421875,42,650.13,375.7684,42,210000
1246.96,188.6718,-3746.994384765625,43,1157.45,360.2196,43,215000
1591.18,176.613,-3732.497802734375,44,781.58,337.5435,44,220000
1528.15,188.7251,-4049.465087890625,45,2601.95,351.8349,45,225000
1509.1,164.468,-3873.07177734375,46,1157.55,330.066,46,230000
1045.23,206.1961,-5133.0576171875,47,2125.98,353.2364,47,235000
1873.0,173.4914,-4073.858642578125,48,2594.78,335.653,48,240000
2827.51,168.5121,-4186.388671875,49,1485.98,332.5285,49,245000
2690.87,174.5848,-4079.142578125,50,2816.72,333.1655,50,250000
1842.9,193.7251,-4997.70166015625,51,1753.82,345.0304,51,255000
2547.18,183.3806,-4672.68359375,52,3859.37,333.9464,52,260000
2614.77,154.9584,-3869.085693359375,53,3241.87,320.5056,53,265000
2963.62,163.6481,-3440.0224609375,54,2090.71,319.6531,54,270000
1953.77,181.3563,-5081.0048828125,55,1158.75,334.1437,55,275000
3162.53,153.7252,-3556.638671875,56,1770.67,321.4217,56,280000
1719.18,206.8656,-5418.67431640625,57,1153.2,340.6924,57,285000
2460.46,151.7283,-4070.06396484375,58,1934.31,321.8014,58,290000
3639.22,143.6269,-2784.147216796875,59,1646.39,317.7425,59,295000
3344.46,144.1946,-3671.052978515625,60,1902.97,324.504,60,300000
3710.53,149.6493,-3456.2158203125,61,2645.68,322.4386,61,305000
3419.47,149.4253,-4184.3896484375,62,1404.47,322.217,62,310000
1926.57,207.334,-5855.22998046875,63,1918.76,344.2968,63,315000
4363.45,150.6142,-3378.322509765625,64,2288.46,316.9654,64,320000
4068.99,159.8554,-4751.56201171875,65,2717.63,329.0933,65,325000
3496.86,141.1991,-3255.26904296875,66,2355.0,318.1497,66,330000
3356.12,145.0836,-3756.626708984375,67,3186.15,320.2563,67,335000
3349.29,168.0144,-4225.04931640625,68,2483.86,320.8379,68,340000
4722.59,150.1476,-3292.5625,69,4103.31,317.2754,69,345000
4339.29,144.8679,-3867.079833984375,70,4345.89,323.3662,70,350000
5030.05,139.9243,-3375.234130859375,71,4422.86,318.9161,71,355000
3110.76,238.3923,-5064.0791015625,72,1532.05,333.4777,72,360000
3924.23,157.8239,-4235.65087890625,73,2441.82,323.9386,73,365000
4744.16,128.6886,-3706.713134765625,74,3646.64,320.9425,74,370000
4228.03,155.2053,-4697.50732421875,75,3153.28,328.1235,75,375000
4312.97,153.1463,-4173.75537109375,76,1334.23,326.3775,76,380000
4675.59,141.9218,-4184.3642578125,77,2494.9,320.8073,77,385000
4195.62,155.0106,-4709.7197265625,78,2851.5,321.2367,78,390000
4199.66,160.5079,-4838.001953125,79,2187.56,316.9148,79,395000
4116.91,149.2433,-4818.69580078125,80,805.52,328.6273,80,400000
4519.7,158.3804,-5290.95947265625,81,670.36,325.5729,81,405000
4459.66,159.447,-5568.61474609375,82,1610.66,327.0804,82,410000
4318.28,150.1901,-5692.4287109375,83,1308.9,331.8083,83,415000
3509.58,177.3416,-6433.24560546875,84,2165.94,326.7273,84,420000
4341.68,152.1376,-5974.81005859375,85,2924.43,319.0701,85,425000
4542.84,128.7734,-5960.72314453125,86,1391.6,319.6152,86,430000
5044.97,139.3143,-6293.53076171875,87,3737.1,319.4583,87,435000
4306.29,154.7264,-6533.35546875,88,3822.77,320.0212,88,440000
4219.17,143.1315,-6253.251953125,89,2348.81,323.4196,89,445000
4189.2,141.2848,-6024.54736328125,90,3345.02,315.1897,90,450000
3742.14,157.1758,-6856.79541015625,91,3559.27,321.0656,91,455000
4750.39,159.133,-6793.1455078125,92,2174.51,324.1133,92,460000
4572.17,127.0765,-6632.15771484375,93,2980.07,318.0637,93,465000
5023.78,133.4131,-6600.08154296875,94,3564.04,316.6086,94,470000
4610.69,137.0055,-6793.2197265625,95,4626.77,316.7361,95,475000
4555.18,138.3133,-7205.9326171875,96,3397.33,316.411,96,480000
4441.2,123.9212,-6660.4951171875,97,3464.12,308.202,97,485000
4315.93,143.441,-6779.40625,98,3482.97,310.3848,98,490000
4407.71,118.4573,-7020.5361328125,99,4462.15,308.1817,99,495000
3195.88,177.1666,-8060.455078125,100,2372.67,331.6644,100,500000
4687.57,108.0273,-7349.86181640625,101,4912.08,305.0597,101,505000
4163.65,135.0386,-8327.134765625,102,3174.69,314.175,102,510000
5047.28,144.3346,-8571.1875,103,4292.35,318.7426,103,515000
4563.72,134.1885,-8592.18359375,104,4774.32,316.7603,104,520000
5068.59,124.5822,-8344.1845703125,105,5067.15,309.5738,105,525000
4898.62,135.4883,-8764.9697265625,106,986.55,322.4568,106,530000
5009.79,119.8148,-8701.7763671875,107,2165.97,312.1249,107,535000
4724.85,115.419,-8345.251953125,108,4920.92,307.8874,108,540000
4966.32,121.8327,-8834.5859375,109,4609.95,311.1777,109,545000
4613.2,114.978,-8868.6220703125,110,4622.34,308.0997,110,550000
4906.21,130.0845,-9674.99609375,111,4722.25,313.6671,111,555000
4638.27,143.8624,-10065.6416015625,112,2993.47,322.234,112,560000
5003.56,130.7311,-9829.33984375,113,3114.98,314.4986,113,565000
5002.53,124.8619,-9785.7255859375,114,4223.06,311.2702,114,570000
5005.55,123.5199,-9437.5244140625,115,4784.81,306.2086,115,575000
4885.19,129.9853,-10054.353515625,116,5146.67,314.5421,116,580000
5058.31,131.288,-10668.005859375,117,4750.72,315.8383,117,585000
5105.69,121.5662,-10114.234375,118,5209.92,305.8065,118,590000
5075.36,120.9263,-10473.2783203125,119,4865.36,306.3868,119,595000
4769.78,139.088,-10699.2568359375,120,4437.72,322.686,120,600000
5081.78,123.0321,-10643.4990234375,121,4937.5,310.386,121,605000
5088.34,122.7789,-11146.0166015625,122,4847.3,308.0092,122,610000
4781.65,122.9233,-11329.1982421875,123,3034.59,311.818,123,615000
5048.34,116.8456,-11168.03515625,124,4055.62,307.6741,124,620000
4980.87,120.3382,-11267.71875,125,4239.12,305.2201,125,625000
5071.18,123.2572,-11597.833984375,126,5059.06,316.4336,126,630000
4840.93,124.6903,-11658.943359375,127,4526.78,305.5251,127,635000
4828.07,116.1203,-11861.4384765625,128,4702.83,304.0495,128,640000
4959.19,108.3653,-11970.3046875,129,5210.97,298.8191,129,645000
4954.99,107.1596,-11645.759765625,130,4195.36,300.0989,130,650000
4505.36,115.4104,-11701.1162109375,131,2927.55,298.5385,131,655000
5022.87,104.1403,-12068.8251953125,132,4221.05,299.3452,132,660000
5078.82,116.1851,-12438.1748046875,133,3895.32,307.4016,133,665000
4541.93,154.8255,-12734.5986328125,134,3138.76,322.8591,134,670000
5122.63,125.812,-12422.857421875,135,4832.71,305.3135,135,675000
5033.18,119.5521,-13330.14453125,136,5122.75,310.8653,136,680000
4157.59,132.6058,-12730.7109375,137,3059.0,311.3302,137,685000
4899.24,110.64,-13271.31640625,138,3782.32,310.0195,138,690000
4973.83,113.8988,-13419.0078125,139,4985.05,307.1648,139,695000
5117.58,112.1455,-13722.294921875,140,4499.61,308.9966,140,700000
4906.21,111.8979,-13871.2900390625,141,5167.2,304.8767,141,705000
4945.66,110.4042,-13835.060546875,142,5043.99,308.4912,142,710000
4610.38,113.9016,-13793.5830078125,143,5000.32,307.9427,143,715000
5097.77,125.8979,-13835.5009765625,144,3891.24,306.7324,144,720000
4159.66,133.1626,-13812.3857421875,145,3073.19,315.753,145,725000
4406.46,116.3482,-13782.400390625,146,2279.86,301.1687,146,730000
5069.74,118.4896,-14709.77734375,147,5173.99,311.0395,147,735000
5043.19,111.2338,-14642.1474609375,148,4172.17,306.546,148,740000
5094.29,117.1918,-14859.943359375,149,5199.31,306.3252,149,745000
5100.97,119.9666,-14387.8369140625,150,5229.34,303.1632,150,750000
5044.44,120.5416,-14935.36328125,151,4762.73,307.6825,151,755000
5033.55,107.8138,-15105.1650390625,152,4917.8,305.9613,152,760000
4958.87,113.2086,-15033.91015625,153,4324.36,303.3441,153,765000
5107.05,110.5841,-15141.2509765625,154,5192.35,303.4801,154,770000
5104.28,130.1563,-15372.1083984375,155,4835.88,306.7473,155,775000
4979.89,136.1677,-15351.1162109375,156,4099.4,315.9678,156,780000
5060.55,137.062,-15980.5126953125,157,4411.8,325.034,157,785000
5006.26,109.7929,-15712.919921875,158,4087.97,305.4275,158,790000
4811.26,138.2546,-15044.443359375,159,4559.87,307.9149,159,795000
4522.46,117.9258,-15884.8701171875,160,3784.89,309.7703,160,800000
4808.5,125.5639,-15986.34375,161,4316.31,319.2316,161,805000
4854.24,115.3891,-15409.234375,162,4884.21,302.7224,162,810000
4775.67,108.4889,-16046.0185546875,163,4362.88,307.5807,163,815000
4937.68,109.947,-15976.5390625,164,4994.89,303.3847,164,820000
4918.02,119.5473,-16428.166015625,165,4991.86,309.6911,165,825000
3005.27,182.243,-16019.126953125,166,1521.06,337.0316,166,830000
4711.68,115.5252,-16411.25,167,3863.6,311.5176,167,835000
4631.59,106.9534,-16263.9296875,168,4065.23,304.607,168,840000
4900.73,105.4568,-16212.1357421875,169,4264.78,303.1934,169,845000
4640.21,123.8368,-16503.697265625,170,4352.38,316.1291,170,850000
5126.3,115.6595,-16470.17578125,171,3729.46,310.986,171,855000
4955.47,115.6209,-16840.53125,172,4360.46,308.0685,172,860000
4999.7,107.5009,-16491.943359375,173,4530.85,304.92,173,865000
4784.23,125.2192,-16575.767578125,174,4779.86,309.0383,174,870000
5086.76,123.3718,-16861.796875,175,4023.46,314.5467,175,875000
4937.8,109.7606,-16645.259765625,176,4725.57,302.1397,176,880000
4965.61,120.3571,-16655.435546875,177,5281.8,302.8826,177,885000
4089.68,116.7372,-16518.42578125,178,2872.79,304.0589,178,890000
5060.05,110.8107,-17073.73828125,179,5009.6,302.0574,179,895000
4714.27,113.5345,-16893.443359375,180,5051.43,307.9493,180,900000
3711.5,142.3802,-16312.83203125,181,4237.88,306.4518,181,905000
4794.23,119.3494,-17074.06640625,182,5167.41,312.9615,182,910000
4888.68,111.556,-17295.3125,183,5235.68,305.0737,183,915000
4672.83,109.5708,-16975.26171875,184,4398.03,298.9419,184,920000
4444.15,115.6819,-17001.001953125,185,4251.06,305.6737,185,925000
4969.22,116.5158,-17202.056640625,186,5030.57,303.9247,186,930000
3162.25,167.0167,-16734.0859375,187,5037.47,318.2656,187,935000
3042.67,185.6346,-16217.9111328125,188,3359.17,313.3279,188,940000
3963.33,151.0895,-16244.611328125,189,4779.29,318.0441,189,945000
4910.31,109.0439,-17469.189453125,190,4650.93,307.3766,190,950000
4773.32,109.2917,-17422.115234375,191,5287.07,301.8464,191,955000
4362.0,111.374,-17198.05859375,192,5087.71,303.9225,192,960000
4719.16,147.81,-17280.69921875,193,3317.38,317.2349,193,965000
4817.47,144.1557,-16610.275390625,194,5282.24,305.1897,194,970000
4320.32,125.9437,-17777.591796875,195,5016.15,316.2518,195,975000
4625.8,161.1811,-16641.365234375,196,4967.54,314.5747,196,980000
4750.36,129.8362,-17295.859375,197,4602.71,309.5069,197,985000
4454.44,121.4678,-17185.05078125,198,4626.2,305.1204,198,990000
4949.77,128.8396,-17523.28515625,199,5104.61,311.5516,199,995000
4139.18,128.041,-17734.626953125,200,4909.36,309.3478,200,1000000
4081.15,135.4517,-17855.724609375,201,4330.47,317.005,201,1005000
5022.86,115.0198,-17756.763671875,202,5095.17,305.9491,202,1010000
4757.92,128.8352,-17691.025390625,203,4468.54,311.6608,203,1015000
4545.8,130.6452,-17819.861328125,204,2389.43,311.2407,204,1020000
3910.54,166.6075,-17387.455078125,205,1549.44,319.5329,205,1025000
4695.97,129.7684,-17913.60546875,206,3074.28,307.8809,206,1030000
2920.33,225.8723,-17034.451171875,207,1323.87,336.9136,207,1035000
4427.78,129.266,-17867.96875,208,4914.67,309.2692,208,1040000
5125.02,194.2992,-16901.373046875,209,4766.16,315.9772,209,1045000
4657.97,149.5338,-17729.046875,210,3928.06,311.6078,210,1050000
5108.76,111.6271,-18040.078125,211,3340.27,304.3034,211,1055000
4969.29,159.72,-17562.791015625,212,4164.14,318.6582,212,1060000
4789.91,128.6974,-17714.103515625,213,4870.03,310.595,213,1065000
4988.75,152.3165,-17472.080078125,214,4262.31,308.657,214,1070000
4942.29,131.5966,-17747.634765625,215,4179.0,310.1412,215,1075000
5159.52,110.2625,-18194.26171875,216,4403.85,305.8722,216,1080000
4741.13,102.3667,-18183.841796875,217,3272.03,303.2047,217,1085000
4766.21,127.2127,-17987.98828125,218,3735.52,310.4323,218,1090000
5149.93,112.0801,-18283.697265625,219,4900.77,309.374,219,1095000
4689.32,154.6137,-18025.3671875,220,4205.89,313.1265,220,1100000
4690.72,104.743,-17833.994140625,221,3705.99,305.7142,221,1105000
4920.68,113.7958,-17738.701171875,222,4407.76,308.3943,222,1110000
4466.32,113.9285,-17553.546875,223,3884.16,305.5264,223,1115000
4765.5,112.5006,-17956.90234375,224,5018.69,304.7451,224,1120000
4584.71,133.1563,-18016.59375,225,5187.82,312.4888,225,1125000
4181.08,195.8172,-16605.765625,226,3557.43,319.3784,226,1130000
4276.78,125.3862,-17748.52734375,227,4170.31,307.8752,227,1135000
4437.69,114.3431,-17829.466796875,228,4060.39,308.0475,228,1140000
3620.51,185.0114,-16765.693359375,229,2375.04,317.9464,229,1145000
2510.27,153.9616,-16508.505859375,230,2660.51,315.2121,230,1150000
3243.8,248.7361,-15285.224609375,231,2722.96,330.1846,231,1155000
4681.75,154.3676,-17318.052734375,232,3474.79,309.9898,232,1160000
4483.07,104.6958,-18463.041015625,233,4530.41,297.7705,233,1165000
4727.06,143.6938,-17906.291015625,234,3608.49,307.7223,234,1170000
4832.02,120.8284,-18226.7265625,235,4041.89,311.2599,235,1175000
4104.15,139.5351,-17773.296875,236,2371.32,326.9239,236,1180000
4337.52,235.5564,-17010.380859375,237,3433.4,321.3188,237,1185000
3929.58,166.6991,-17712.103515625,238,2113.44,313.8393,238,1190000
4475.23,115.7798,-18166.9921875,239,3539.75,310.7068,239,1195000
4063.79,154.2915,-17924.224609375,240,1571.88,322.3128,240,1200000
4126.68,141.4993,-17951.82421875,241,1046.88,320.9217,241,1205000
3522.78,152.7686,-17685.720703125,242,1504.55,319.5029,242,1210000
4379.63,148.0907,-17661.2578125,243,4297.31,317.1108,243,1215000
3424.16,164.5209,-16751.8515625,244,4341.47,316.5506,244,1220000
3650.87,167.8326,-16559.423828125,245,3377.16,321.6487,245,1225000
5090.08,117.3413,-18408.015625,246,5203.01,314.379,246,1230000
4786.97,103.3362,-18031.82421875,247,4948.89,312.8686,247,1235000
4687.12,120.5097,-18182.09765625,248,2141.81,315.5296,248,1240000
4392.46,147.0948,-16894.40625,249,4506.44,321.5172,249,1245000
4428.76,123.9035,-17300.849609375,250,5121.92,323.8394,250,1250000
4633.72,134.6682,-15921.0859375,251,2979.22,328.8114,251,1255000
3615.02,125.3907,-16738.1796875,252,4729.19,312.5393,252,1260000
5028.44,128.3855,-18672.376953125,253,3651.84,326.3952,253,1265000
4970.29,128.6072,-18725.150390625,254,2445.26,321.1485,254,1270000
4568.73,154.1731,-16711.31640625,255,4938.11,331.933,255,1275000
4741.02,159.0127,-18750.17578125,256,2552.15,332.7036,256,1280000
4864.59,129.6322,-17965.685546875,257,5127.89,326.536,257,1285000
3297.03,174.5302,-18174.92578125,258,5156.85,330.4038,258,1290000
4387.27,114.3209,-18757.904296875,259,4005.14,319.8127,259,1295000
4581.89,164.204,-18194.8125,260,4806.6,328.2526,260,1300000
4120.33,114.967,-18739.853515625,261,5088.95,313.0583,261,1305000
2573.4,187.97,-17655.36328125,262,4014.32,345.8011,262,1310000
3276.32,148.5785,-18218.861328125,263,4109.65,335.6551,263,1315000
3683.71,198.9099,-18303.076171875,264,4273.25,335.114,264,1320000
4716.63,140.5317,-18434.30859375,265,3871.25,332.5858,265,1325000
3947.62,144.718,-18477.1953125,266,4964.85,322.9527,266,1330000
