Running Update Time,Real Sto Return,Reward Loss,Itration,Real Det Return,Running Reverse KL,Running Forward KL,Running Env Steps
0,219.5,132.12103271484375,0,223.35,49.8587,32.08,0
1,242.15,110.92494201660156,1,237.63,84.7857,31.7935,5000
2,233.94,93.69155883789062,2,228.58,44.0384,32.246,10000
3,270.67,76.17865753173828,3,274.25,60.475,31.5381,15000
4,290.68,56.8460807800293,4,302.14,60.5556,29.849,20000
5,361.7,44.008888244628906,5,377.82,39.6876,29.3348,25000
6,310.89,21.41849708557129,6,313.06,43.4106,30.9429,30000
7,347.66,17.832693099975586,7,352.24,63.6819,29.7137,35000
8,327.88,16.123477935791016,8,334.85,77.2571,30.8694,40000
9,348.87,63.334434509277344,9,365.31,171.9839,30.3219,45000
10,338.78,6.687419414520264,10,346.42,103.0955,29.9515,50000
11,438.49,-21.014068603515625,11,448.16,33.3588,29.4866,55000
12,557.88,-22.64033317565918,12,511.35,34.1751,29.0802,60000
13,640.73,-24.10130500793457,13,830.59,25.3317,27.7583,65000
14,601.4,-0.7927156686782837,14,519.4,16.662,28.4294,70000
15,617.22,-15.106989860534668,15,496.45,17.2213,28.9153,75000
16,663.64,-39.590667724609375,16,592.89,20.1819,28.0384,80000
17,731.49,11.682852745056152,17,653.38,15.48,26.6753,85000
18,898.27,18.538835525512695,18,795.86,15.1783,27.1254,90000
19,1000.6,10.855164527893066,19,1230.91,14.472,26.4182,95000
20,1189.73,11.830750465393066,20,910.16,15.5207,27.2543,100000
21,2781.3,22.662670135498047,21,2948.16,15.9314,26.3159,105000
22,1320.09,19.177608489990234,22,2742.61,15.4899,26.4095,110000
23,2140.05,29.03376579284668,23,2961.12,14.0748,26.0887,115000
24,2804.99,16.74032974243164,24,3003.57,13.3234,25.1821,120000
25,2860.4,26.546001434326172,25,3074.01,15.9522,25.9896,125000
26,2803.67,38.178348541259766,26,2979.92,17.0096,25.8166,130000
27,1477.56,13.527624130249023,27,1051.07,14.471,25.6915,135000
28,2070.14,19.4661922454834,28,3178.01,14.6661,24.6875,140000
29,1344.34,-21.571300506591797,29,1796.16,13.9703,26.0447,145000
30,1352.5,-65.32565307617188,30,1182.91,15.1653,25.6626,150000
31,1203.23,-55.90974426269531,31,1553.08,15.9499,26.1878,155000
32,1238.95,-61.54660415649414,32,1793.71,15.9018,26.5448,160000
33,1490.18,-48.77193832397461,33,1333.97,14.7543,25.5783,165000
34,1339.91,-69.14998626708984,34,1619.02,14.4632,26.2011,170000
35,1223.62,-74.863037109375,35,1134.85,15.3817,25.8032,175000
36,1149.94,-127.2938232421875,36,1067.71,16.0552,25.5896,180000
37,1353.43,-107.33906555175781,37,1337.83,15.3636,25.9241,185000
38,1128.44,-155.83404541015625,38,1159.65,17.3702,26.4189,190000
39,1953.3,-99.68644714355469,39,2251.61,17.4486,24.5019,195000
40,2557.67,-42.372249603271484,40,3161.17,15.0137,24.0553,200000
