Running Reverse KL,Itration,Running Update Time,Reward Loss,Real Det Return,Real Sto Return,Running Env Steps,Running Forward KL
11.348,0,0,30.67031478881836,26.52,-190.65,0,158.3875
11.9134,1,1,-13.32288932800293,-47.84,-71.1,5000,158.4186
11.36,2,2,-65.44083404541016,228.33,-15.08,10000,158.229
11.3708,3,3,-89.3926010131836,511.39,169.98,15000,158.0312
11.387,4,4,-144.8406524658203,776.5,166.11,20000,157.8794
11.1389,5,5,-156.72642517089844,606.61,257.76,25000,157.6931
11.0416,6,6,-179.5462646484375,987.21,492.31,30000,157.2933
12.1627,7,7,-236.92405700683594,1952.46,822.67,35000,157.2806
15.7554,8,8,-290.4332275390625,2661.71,1858.4,40000,157.7232
14.6248,9,9,-304.0511474609375,3317.7,2357.52,45000,156.6974
14.1363,10,10,-321.69091796875,3602.59,2771.99,50000,155.8452
16.2373,11,11,-414.3407287597656,3886.68,3462.13,55000,155.624
18.3771,12,12,-392.8053894042969,4392.63,3511.38,60000,157.1747
16.1714,13,13,-405.7967529296875,4132.48,3479.33,65000,155.6426
16.9082,14,14,-450.5148620605469,4573.08,4043.96,70000,156.7714
16.3739,15,15,-494.9518737792969,4732.28,4207.68,75000,156.3976
15.8782,16,16,-482.0584716796875,5218.8,4370.99,80000,155.6009
16.1353,17,17,-563.2955932617188,5373.81,4843.52,85000,154.7371
15.99,18,18,-516.4701538085938,5492.75,5025.61,90000,155.3109
16.5598,19,19,-529.9798583984375,5923.29,5306.96,95000,154.3978
16.3052,20,20,-517.9641723632812,5741.6,5414.69,100000,154.2937
15.4141,21,21,-569.8977661132812,6283.46,5537.93,105000,153.4344
15.5832,22,22,-605.335205078125,6268.08,5594.56,110000,153.339
15.8764,23,23,-602.2936401367188,6512.27,6004.02,115000,152.5726
15.4124,24,24,-671.2491455078125,6664.4,6191.07,120000,152.389
15.2899,25,25,-699.0216674804688,6867.32,6371.35,125000,152.3729
13.7551,26,26,-645.8832397460938,6986.21,6230.66,130000,151.4313
15.4775,27,27,-680.0211181640625,6736.82,6029.8,135000,151.3891
16.3755,28,28,-624.8451538085938,7265.85,6597.49,140000,151.3481
15.5199,29,29,-707.844970703125,7450.32,7006.37,145000,151.2903
15.9232,30,30,-684.7349243164062,7313.27,6947.47,150000,151.1979
16.2667,31,31,-742.2547607421875,7354.14,6761.33,155000,151.61
16.0053,32,32,-703.4882202148438,7975.33,7332.71,160000,150.6185
16.556,33,33,-774.1988525390625,7866.25,7371.08,165000,151.0705
16.3597,34,34,-777.2152099609375,7978.21,7501.25,170000,150.6981
16.506,35,35,-789.6082153320312,7691.34,7371.14,175000,150.5033
16.5031,36,36,-765.462890625,7643.04,6849.09,180000,150.1026
16.656,37,37,-814.1973876953125,8275.45,7889.12,185000,149.9385
16.5079,38,38,-858.1414184570312,8059.12,7602.22,190000,150.557
17.1774,39,39,-848.8748168945312,8439.07,8045.79,195000,149.5652
16.4934,40,40,-875.2022094726562,8509.42,7497.24,200000,149.4383
17.3497,41,41,-864.0546264648438,8729.39,8004.24,205000,149.5714
16.6356,42,42,-899.3146362304688,8556.54,8127.67,210000,149.2621
15.1662,43,43,-969.8492431640625,8114.0,7404.15,215000,149.599
16.9851,44,44,-898.6741333007812,9005.84,7731.56,220000,148.7967
17.2047,45,45,-923.2974853515625,9196.19,8440.28,225000,148.6773
17.8776,46,46,-965.389404296875,8842.29,8318.18,230000,149.1737
17.7651,47,47,-987.1217041015625,8973.59,8237.38,235000,149.4353
16.6907,48,48,-996.261962890625,7819.11,7137.62,240000,148.7343
16.8181,49,49,-1060.6148681640625,8290.52,7901.63,245000,149.4119
17.3053,50,50,-1037.22216796875,9006.01,8584.9,250000,148.8456
17.0512,51,51,-1079.1640625,9131.87,8672.23,255000,149.3666
17.8934,52,52,-1074.7535400390625,9204.86,8335.67,260000,148.9433
15.7159,53,53,-1170.033203125,8977.0,7828.75,265000,148.7262
16.7238,54,54,-1117.3382568359375,9453.48,8992.54,270000,148.402
17.866,55,55,-1108.5970458984375,9274.29,8914.57,275000,147.818
18.6518,56,56,-1159.768310546875,9109.61,8326.44,280000,149.158
18.3529,57,57,-1158.007568359375,9107.77,8602.05,285000,148.0947
17.292,58,58,-1118.0758056640625,9635.43,9188.2,290000,147.4797
19.0751,59,59,-1174.5006103515625,9617.25,8723.87,295000,148.313
17.6764,60,60,-1225.361083984375,9263.05,8905.53,300000,147.9388
17.9345,61,61,-1248.0882568359375,9495.45,9100.75,305000,147.9405
18.4615,62,62,-1223.8267822265625,9696.28,8886.39,310000,147.9371
17.5216,63,63,-1288.0809326171875,9555.86,9141.77,315000,148.0237
17.994,64,64,-1286.19287109375,10094.48,9502.37,320000,147.499
14.9456,65,65,-1421.640625,7991.68,8753.79,325000,147.6333
17.7352,66,66,-1361.44091796875,9182.63,8899.79,330000,148.677
17.3675,67,67,-1358.0830078125,9348.22,9014.23,335000,147.6765
18.1677,68,68,-1352.743408203125,9697.74,9074.67,340000,148.0053
18.1653,69,69,-1354.9031982421875,9448.69,9161.3,345000,147.9338
17.9709,70,70,-1402.5816650390625,10062.56,9101.91,350000,146.5814
18.1871,71,71,-1429.5341796875,9949.06,9450.42,355000,147.628
16.2159,72,72,-1475.4910888671875,8762.83,8755.18,360000,147.079
18.0891,73,73,-1434.999267578125,9950.86,9529.0,365000,147.5148
17.972,74,74,-1412.8751220703125,9975.71,9503.34,370000,147.0639
15.3069,75,75,-1592.1025390625,6723.79,6345.8,375000,147.1472
18.1177,76,76,-1485.426025390625,10220.41,9661.02,380000,146.9795
17.8459,77,77,-1564.64697265625,9353.65,8408.54,385000,147.3316
17.821,78,78,-1534.393798828125,10174.05,9335.21,390000,147.3664
17.4064,79,79,-1618.6668701171875,10117.43,9620.64,395000,147.2277
18.3043,80,80,-1549.76171875,10076.5,9479.03,400000,147.0833
18.2684,81,81,-1620.819091796875,9905.56,9468.62,405000,147.0395
18.3388,82,82,-1627.9671630859375,9971.86,9554.53,410000,147.2325
18.3634,83,83,-1637.14013671875,9967.56,9590.24,415000,146.9917
15.2473,84,84,-1750.1678466796875,7070.37,6095.9,420000,146.5206
18.2421,85,85,-1610.2880859375,10359.87,9893.25,425000,146.2734
18.3204,86,86,-1709.2567138671875,9783.92,9537.83,430000,147.595
18.3159,87,87,-1688.54150390625,10404.18,9927.51,435000,146.0234
17.3799,88,88,-1700.4195556640625,10413.11,9614.32,440000,146.4283
18.5297,89,89,-1735.342041015625,10269.05,9860.67,445000,146.5141
17.5291,90,90,-1699.287841796875,9941.62,9294.41,450000,145.4512
