Real Det Return,Itration,Running Forward KL,Real Sto Return,Running Reverse KL
-37.47,0,158.5348,-185.25,11.5947
13.85,1,158.4466,-31.5,12.0043
951.56,2,158.2085,191.38,12.8592
797.23,3,158.0156,394.97,13.3681
898.75,4,158.3765,534.36,13.9259
875.93,5,158.0622,650.41,14.2659
1142.33,6,158.0377,701.8,14.3158
1033.58,7,158.0564,676.56,14.4616
1177.82,8,157.9414,836.87,14.6644
1186.74,9,157.9264,854.99,15.1819
1373.98,10,157.8619,967.82,15.6244
1386.35,11,157.9238,1004.14,15.7202
1509.44,12,157.8629,1094.21,15.9351
1564.54,13,157.7545,1158.08,16.2123
1584.69,14,157.9645,1200.38,16.234
1595.68,15,157.9005,1187.82,16.2071
1617.42,16,157.9902,1211.57,15.9922
1670.02,17,157.9935,1202.02,15.8315
1700.96,18,157.8469,1319.59,16.003
1685.51,19,158.0267,1313.98,15.8453
1779.39,20,157.807,1403.38,15.9819
1828.69,21,157.8675,1429.34,16.2508
1788.58,22,157.9118,1437.06,16.0241
1752.92,23,157.7621,1415.4,15.9389
1816.42,24,157.7276,1462.43,16.141
1623.29,25,157.8483,1470.05,15.8849
1760.7,26,157.8696,1458.45,15.8577
1866.05,27,157.6016,1536.08,16.1696
1935.54,28,157.7814,1554.82,16.4959
1931.25,29,157.6181,1550.7,15.9934
1921.69,30,157.4823,1568.57,16.1643
1934.74,31,157.2774,1590.15,15.8592
1954.49,32,157.5247,1598.58,16.1139
1920.58,33,157.5798,1583.54,15.8413
1910.25,34,157.7396,1606.88,16.1672
1966.67,35,157.6635,1627.22,16.2694
1995.7,36,157.3667,1636.8,15.9853
1911.11,37,157.34,1620.14,16.0467
1937.1,38,157.4075,1643.72,16.0879
1915.96,39,157.4058,1584.37,15.8004
2032.11,40,157.1602,1685.21,16.0648
2010.0,41,157.2386,1635.46,16.2386
2026.13,42,157.1581,1676.37,16.1996
1954.52,43,157.1889,1619.84,15.6158
1947.85,44,157.2133,1625.59,15.9375
1985.9,45,157.0651,1664.48,16.064
2019.37,46,157.311,1668.83,15.847
1938.46,47,157.2222,1631.94,15.7387
2061.41,48,157.0955,1693.36,16.0389
2019.25,49,157.3109,1682.09,15.9856
2005.65,50,157.199,1690.99,16.1711
2018.64,51,157.082,1705.71,16.4991
2003.89,52,157.2441,1672.88,15.9312
2091.27,53,156.9977,1709.75,16.0973
2058.68,54,156.9813,1708.62,16.1589
2067.31,55,157.0653,1709.05,16.0485
2054.39,56,157.1519,1713.92,16.2096
2029.35,57,157.2762,1690.86,16.3595
2061.3,58,156.9517,1712.37,15.8556
2093.35,59,157.2591,1739.69,16.5628
2032.68,60,157.2079,1714.06,16.2388
2052.95,61,156.9982,1676.71,15.7009
2037.35,62,156.8888,1719.75,15.8015
2072.82,63,156.9496,1743.82,15.9914
1959.9,64,157.1888,1684.73,15.7952
2081.22,65,157.0794,1760.16,15.7996
2130.61,66,156.9094,1773.44,16.0921
2034.48,67,156.9355,1727.76,15.9357
2121.23,68,156.9245,1771.8,16.2928
2095.52,69,156.9452,1772.78,16.1186
2063.08,70,156.8266,1759.69,16.0833
2094.81,71,156.9538,1743.09,15.9078
2098.69,72,157.1627,1786.23,16.4634
2080.9,73,156.9004,1734.92,15.9583
2044.43,74,157.2998,1731.82,16.0136
2111.15,75,157.0987,1757.04,16.2184
2059.08,76,156.9373,1710.58,16.0015
