Running Env Steps,Reward Loss,Running Update Time,Real Sto Return,Running Forward KL,Itration,Real Det Return,Running Reverse KL
0,315.8141174316406,0,214.42,32.9584,0,214.48,18.1914
5000,435.95947265625,1,309.59,29.8265,1,336.02,14.1525
10000,576.3239135742188,2,347.92,29.4705,2,357.23,45.5274
15000,164.38409423828125,3,985.85,37.2306,3,989.65,34.685
20000,580.037353515625,4,243.03,29.3065,4,180.34,37.0755
25000,676.7689208984375,5,224.46,31.5924,5,210.64,46.9569
30000,276.40875244140625,6,205.5,33.6226,6,206.67,89.6731
35000,-6.741551876068115,7,159.2,32.3152,7,144.35,33.3607
40000,14.091618537902832,8,448.85,32.2584,8,361.33,42.4839
45000,-60.765594482421875,9,1024.48,40.1293,9,1024.07,46.3146
50000,-92.60603332519531,10,970.5,39.4744,10,971.07,48.5979
55000,-121.14478302001953,11,983.82,37.2205,11,983.57,38.7746
60000,-192.9727783203125,12,1026.49,36.2963,12,1026.49,35.2697
65000,-202.9160919189453,13,344.5,32.2969,13,415.9,33.8307
70000,-279.33013916015625,14,315.28,31.3152,14,330.66,43.4337
75000,-254.5265655517578,15,971.88,35.7216,15,973.99,29.6865
80000,-384.6138916015625,16,989.3,37.789,16,989.49,57.0419
85000,-344.27154541015625,17,985.94,35.9682,17,987.24,29.6926
90000,-271.5000305175781,18,913.43,33.4071,18,921.69,25.5179
95000,-512.1091918945312,19,1000.63,33.4378,19,1000.56,30.8318
100000,-628.1065673828125,20,440.37,32.757,20,441.79,52.937
105000,-679.0073852539062,21,450.12,33.2441,21,453.04,53.339
110000,-686.7506713867188,22,589.41,33.3651,22,589.71,50.8326
115000,-635.9080810546875,23,1001.98,35.7199,23,995.81,27.7801
120000,-774.3714599609375,24,73.45,34.8359,24,49.44,52.5987
125000,-811.4212646484375,25,976.37,38.4652,25,976.13,53.5621
130000,-678.9736938476562,26,395.65,33.8432,26,397.0,27.2351
135000,-759.002197265625,27,487.04,30.6668,27,490.94,20.4597
140000,-721.3446655273438,28,387.45,32.5525,28,405.94,23.5644
145000,-924.3397216796875,29,1047.26,33.2586,29,1046.46,31.9669
150000,-778.245361328125,30,362.58,31.5067,30,382.73,30.0107
155000,-864.2623901367188,31,251.18,30.9719,31,245.44,28.8196
160000,-804.1142578125,32,489.58,30.8806,32,436.72,26.1745
165000,-1028.14697265625,33,128.41,33.214,33,125.35,45.0027
170000,-868.2915649414062,34,1097.84,32.3502,34,1120.73,17.562
175000,-903.8680419921875,35,622.45,31.7114,35,697.56,39.8749
180000,-1121.90283203125,36,199.89,31.8656,36,198.94,25.8731
185000,-1178.286865234375,37,223.12,30.7818,37,231.38,43.6924
190000,-1242.5933837890625,38,142.79,30.9324,38,134.51,42.7503
195000,-1916.029541015625,39,183.13,33.5099,39,188.84,189.1889
200000,-1448.4815673828125,40,128.66,34.5308,40,129.37,36.6232
205000,-1063.771728515625,41,816.75,32.9207,41,815.38,18.9701
210000,-1479.9639892578125,42,946.89,36.8387,42,947.34,28.8216
215000,-1232.166259765625,43,915.5,32.2664,43,900.23,15.4162
220000,-1163.968505859375,44,640.52,30.8852,44,662.41,17.7628
225000,-1096.347900390625,45,479.87,30.7036,45,450.79,21.9306
230000,-1632.7977294921875,46,345.97,31.1035,46,319.85,91.8483
235000,-1018.1577758789062,47,437.19,30.6536,47,461.87,29.3637
240000,-1773.316650390625,48,161.2,33.2019,48,143.79,180.0471
245000,-1846.2640380859375,49,975.73,36.699,49,975.94,32.0641
250000,-1020.1832275390625,50,1194.44,32.6761,50,1188.37,19.2398
255000,-1237.593017578125,51,1084.5,31.7587,51,991.91,26.8127
260000,-1218.008544921875,52,966.36,31.4445,52,1012.97,38.5767
265000,-2233.494140625,53,194.03,32.079,53,193.27,143.2175
270000,-1616.4913330078125,54,296.61,28.4988,54,285.38,104.4287
275000,-2065.609130859375,55,343.02,32.1484,55,381.11,147.9172
280000,-2213.669921875,56,239.4,31.6501,56,240.5,47.9262
285000,-2247.508056640625,57,206.34,32.6334,57,208.06,182.5454
