Running Forward KL,Real Sto Return,Running Reverse KL,Running Env Steps,Reward Loss,Real Det Return,Running Update Time,Itration
32.0484,289.54,19.5281,0,302.76751708984375,302.31,0,0
29.6912,304.72,17.8315,5000,174.95193481445312,356.88,1,1
28.4369,380.34,28.0692,10000,120.2047119140625,381.07,2,2
29.0509,352.82,47.4652,15000,36.23806381225586,359.66,3,3
37.4064,271.94,34.0176,20000,-225.16929626464844,259.85,4,4
37.887,304.51,41.7966,25000,-318.6983947753906,313.82,5,5
35.8382,214.27,30.284,30000,-234.88754272460938,564.96,6,6
32.1327,258.93,35.5046,35000,-199.6126251220703,275.86,7,7
36.8191,1014.32,27.6111,40000,-343.1221923828125,1022.75,8,8
32.455,99.34,193.4374,45000,439.6183776855469,97.8,9,9
36.4592,979.57,42.1716,50000,-513.8487548828125,970.03,10,10
37.7553,991.61,52.8139,55000,-578.3423461914062,993.64,11,11
36.0834,988.08,45.3742,60000,-553.478271484375,987.95,12,12
34.488,823.27,32.5125,65000,-282.4197692871094,823.79,13,13
33.8137,288.6,98.9193,70000,-363.6347961425781,292.47,14,14
33.9431,997.45,27.6874,75000,-581.5285034179688,996.0,15,15
32.6509,319.45,153.7608,80000,83.6229476928711,322.49,16,16
32.4599,285.45,34.9243,85000,-298.7512512207031,277.73,17,17
28.492,409.71,63.241,90000,-374.68310546875,430.53,18,18
33.6065,270.54,71.7315,95000,-516.8762817382812,278.56,19,19
33.2796,1000.14,22.6331,100000,-767.962890625,935.82,20,20
35.9948,1054.64,30.162,105000,-817.875,1056.47,21,21
33.499,372.48,40.6393,110000,-467.064697265625,372.72,22,22
34.7484,1037.78,25.9305,115000,-887.6968383789062,1039.47,23,23
31.1521,884.62,20.0895,120000,-699.398681640625,925.73,24,24
36.0395,1073.89,19.7108,125000,-976.6935424804688,1072.77,25,25
36.6743,1046.66,33.5036,130000,-1087.1868896484375,1051.44,26,26
35.3128,1067.4,30.3648,135000,-1078.3212890625,1067.42,27,27
33.9884,1042.19,25.2727,140000,-1172.271728515625,1040.97,28,28
34.0629,1020.05,28.4353,145000,-1257.1417236328125,1016.27,29,29
37.3187,975.75,47.6827,150000,-1405.5465087890625,976.0,30,30
38.1693,970.94,38.017,155000,-1411.5093994140625,970.98,31,31
35.2898,1005.32,21.622,160000,-1221.92822265625,1004.07,32,32
32.5932,1052.84,21.2495,165000,-1035.1400146484375,1036.33,33,33
35.1207,1037.06,26.2795,170000,-1355.392578125,1039.1,34,34
31.9153,748.49,31.7437,175000,-1024.9674072265625,671.49,35,35
35.761,978.04,31.2724,180000,-1661.4266357421875,978.06,36,36
36.6397,978.69,38.2361,185000,-1718.4892578125,978.74,37,37
32.598,1005.39,27.5639,190000,-1511.4305419921875,1002.42,38,38
34.2293,1048.43,33.7341,195000,-1629.5408935546875,1047.16,39,39
35.3132,1062.55,30.241,200000,-1625.11865234375,1062.49,40,40
33.4093,679.29,38.3154,205000,-1707.90869140625,714.18,41,41
33.8718,984.32,28.4203,210000,-1743.385986328125,990.43,42,42
33.337,478.52,43.6257,215000,-1805.1453857421875,446.52,43,43
38.0059,972.01,43.8446,220000,-2004.182373046875,972.38,44,44
37.9378,969.37,40.0062,225000,-2032.832275390625,968.42,45,45
36.9028,966.57,27.2309,230000,-1901.4542236328125,966.56,46,46
35.1092,1023.53,22.9631,235000,-1847.8280029296875,1017.14,47,47
34.0969,197.3,21.9821,240000,-1479.4112548828125,199.95,48,48
37.29,1070.35,30.522,245000,-1986.9766845703125,1070.74,49,49
38.8485,1005.57,39.0801,250000,-2296.310302734375,1005.75,50,50
37.7908,999.43,40.3101,255000,-2310.662353515625,1000.44,51,51
36.0298,1040.64,39.9826,260000,-2313.799072265625,1040.8,52,52
35.1119,1029.08,39.6586,265000,-2349.1220703125,1030.43,53,53
34.5452,1043.37,27.5037,270000,-2271.899169921875,1042.66,54,54
33.2795,1024.72,38.0236,275000,-2433.162841796875,1025.44,55,55
33.3239,280.11,63.0604,280000,-2059.93701171875,288.71,56,56
34.7889,1054.14,28.6867,285000,-2325.361572265625,1053.22,57,57
31.8735,269.63,61.5481,290000,-1982.7108154296875,267.48,58,58
35.0217,521.53,44.643,295000,-2189.83349609375,531.46,59,59
36.8097,994.8,79.7178,300000,-2755.50341796875,994.8,60,60
37.9411,998.05,57.4372,305000,-2824.118896484375,997.84,61,61
37.1663,978.63,68.9616,310000,-2803.98974609375,978.66,62,62
35.2326,976.78,26.1298,315000,-2110.134765625,975.59,63,63
35.6294,1025.25,28.7882,320000,-2734.22998046875,1023.27,64,64
35.7977,1045.44,38.3143,325000,-2908.161865234375,1045.79,65,65
34.371,830.7,65.7302,330000,-2412.427978515625,794.4,66,66
35.731,1029.57,37.2939,335000,-3103.7939453125,1029.82,67,67
