Running Update Time,Running Env Steps,Running Reverse KL,Real Sto Return,Running Forward KL,Reward Loss,Itration,Real Det Return
0,0,26.0143,-91.6,76.044,-43.147335052490234,0,368.51
1,5000,25.5738,-84.68,74.8298,-54.3375244140625,1,366.51
2,10000,26.3308,-46.53,73.3386,-67.63467407226562,2,606.23
3,15000,28.5145,4.26,74.1337,-90.5140609741211,3,531.81
4,20000,28.2588,33.02,73.202,-96.95984649658203,4,725.72
5,25000,28.4832,55.35,72.624,-108.44245147705078,5,681.32
6,30000,29.0298,96.58,72.0385,-124.23507690429688,6,723.22
7,35000,29.5547,64.91,72.1627,-138.2334442138672,7,690.27
8,40000,29.4799,103.67,71.5085,-153.74862670898438,8,607.37
9,45000,29.2558,137.46,70.9125,-165.3326873779297,9,770.95
10,50000,31.0282,220.11,72.6502,-180.8621826171875,10,943.68
11,55000,29.1078,150.59,69.4812,-189.37295532226562,11,1006.46
12,60000,31.0873,209.18,72.2001,-207.77955627441406,12,881.11
13,65000,29.2324,346.69,67.7848,-211.4454803466797,13,1105.8
14,70000,30.5378,146.84,70.6352,-228.99847412109375,14,681.41
15,75000,29.7212,260.12,69.7378,-239.21072387695312,15,945.65
16,80000,28.5859,327.02,66.3725,-245.23756408691406,16,848.61
17,85000,29.7045,363.46,67.7923,-258.2715759277344,17,1176.48
18,90000,28.8009,395.2,65.4472,-271.44476318359375,18,1063.05
19,95000,28.489,530.53,65.2044,-280.2021789550781,19,1399.34
20,100000,29.035,506.03,67.1055,-299.625732421875,20,1118.79
21,105000,29.8958,388.02,69.2693,-316.94427490234375,21,991.35
22,110000,29.0473,361.97,68.6851,-330.4588928222656,22,971.93
23,115000,28.2435,460.38,66.6996,-337.60699462890625,23,1056.05
24,120000,26.8036,633.13,62.8797,-328.8523864746094,24,1735.49
