Itration,Real Sto Return,Real Det Return,Running Env Steps,Running Update Time,Reward Loss,Running Forward KL,Running Reverse KL
0,179.62,194.64,0,0,-155.2538299560547,39.3599,22.0476
1,239.73,250.8,5000,1,-131.37730407714844,37.5871,23.8246
2,262.64,264.3,10000,2,-128.041015625,36.8938,19.0473
3,290.12,292.24,15000,3,-147.64218139648438,37.7241,19.6639
4,309.82,310.21,20000,4,-138.82110595703125,37.6321,20.901
5,315.97,314.84,25000,5,-126.16744995117188,37.3345,21.8295
6,329.2,335.33,30000,6,-143.83587646484375,37.1441,19.7299
7,350.7,344.18,35000,7,-156.77542114257812,35.5072,20.9354
8,556.5,594.62,40000,8,-145.43551635742188,29.7465,18.3185
9,596.69,637.1,45000,9,-137.8121337890625,32.634,17.4938
10,265.56,194.19,50000,10,-123.3604965209961,35.0319,25.1463
11,677.86,662.35,55000,11,-157.7013397216797,30.4218,17.9949
12,458.27,297.57,60000,12,-86.51940155029297,30.4738,12.4327
13,459.42,793.79,65000,13,-109.62788391113281,29.5975,20.2922
14,712.62,797.14,70000,14,-155.13836669921875,30.1029,25.4729
15,785.59,782.32,75000,15,-195.45257568359375,30.6092,70.133
16,693.17,694.21,80000,16,-136.23358154296875,31.0406,19.7062
17,774.89,754.41,85000,17,-200.7377471923828,29.5378,36.6151
18,708.05,793.34,90000,18,-149.17733764648438,30.7751,18.5048
19,909.65,962.4,95000,19,-163.85231018066406,29.4446,33.0305
20,926.72,1022.96,100000,20,-83.10943603515625,29.6148,13.244
21,946.96,984.68,105000,21,-127.79329681396484,29.6139,15.622
22,1003.37,998.95,110000,22,-173.5818328857422,29.2016,14.0279
23,1107.13,1015.05,115000,23,-162.16897583007812,28.8829,13.9355
24,916.7,920.82,120000,24,-185.6643829345703,27.955,16.5234
