Reward Loss,Running Env Steps,Real Det Return,Itration,Running Forward KL,Running Update Time,Real Sto Return,Running Reverse KL
466.6542053222656,0,262.29,0,31.2683,0,271.99,16.4126
268.9748840332031,5000,242.61,1,30.2826,1,245.75,32.757
287.4156188964844,10000,300.07,2,30.2384,2,292.07,21.6921
166.30877685546875,15000,369.58,3,29.9726,3,332.02,39.7109
325.7294921875,20000,376.29,4,28.8747,4,373.87,16.4063
254.14955139160156,25000,324.78,5,21.8408,5,360.09,12.9722
376.1526794433594,30000,614.2,6,25.8479,6,585.33,13.794
29.492116928100586,35000,263.12,7,25.3539,7,253.73,29.3188
-0.9976191520690918,40000,473.11,8,24.3159,8,609.52,33.4606
202.59603881835938,45000,508.48,9,25.5848,9,704.56,22.2144
149.2907257080078,50000,910.54,10,23.4528,10,950.84,16.2545
95.77867889404297,55000,1219.39,11,23.8582,11,1312.38,12.4927
117.16253662109375,60000,1799.45,12,24.0743,12,1331.69,14.313
327.6463623046875,65000,802.67,13,24.3652,13,891.32,16.1118
51.53275680541992,70000,2244.28,14,23.4033,14,1554.56,17.7488
99.6501693725586,75000,1279.48,15,24.4348,15,1225.8,16.0592
13.251660346984863,80000,3099.29,16,23.2237,16,2417.62,15.3987
-44.709571838378906,85000,2123.45,17,23.6877,17,1494.58,14.8552
-2.9961366653442383,90000,2130.15,18,24.2581,18,1359.6,13.3407
-56.47100067138672,95000,2336.5,19,24.1036,19,1920.35,14.5467
-62.890560150146484,100000,1395.57,20,24.6189,20,1336.58,17.2238
-94.90802764892578,105000,2840.41,21,21.6795,21,1731.02,14.2152
-29.339069366455078,110000,1706.08,22,23.8294,22,1542.73,11.3178
-44.50642395019531,115000,1438.75,23,23.6723,23,1526.52,14.1305
-50.993492126464844,120000,1332.25,24,22.6977,24,1616.91,12.6258
-76.37013244628906,125000,2923.24,25,22.3489,25,2678.02,13.954
-117.94788360595703,130000,3260.02,26,22.3816,26,2608.87,15.453
-180.86412048339844,135000,3211.5,27,23.1695,27,2828.5,13.7575
-58.84178924560547,140000,3350.56,28,22.3504,28,3196.38,13.9367
-162.03317260742188,145000,2111.35,29,22.2729,29,2176.08,13.3179
-69.69466400146484,150000,3305.53,30,23.2785,30,3311.12,15.6426
-266.3511962890625,155000,3299.2,31,22.167,31,2771.39,23.5413
-175.34828186035156,160000,3365.53,32,22.2731,32,3191.16,14.7919
-158.32444763183594,165000,3289.7,33,21.5473,33,2604.63,13.6595
-147.13803100585938,170000,3247.82,34,22.7581,34,3208.91,15.637
-302.7704772949219,175000,3397.88,35,21.6455,35,2864.98,13.5543
-213.0576629638672,180000,2087.5,36,22.1276,36,3234.6,14.0584
-104.9744873046875,185000,3410.95,37,21.2276,37,3396.82,15.4005
-106.21873474121094,190000,3405.35,38,19.5121,38,3382.0,13.6818
-136.86325073242188,195000,3363.12,39,21.6677,39,3089.78,13.5146
-103.54918670654297,200000,3461.54,40,21.6747,40,3408.22,14.9757
-107.9124526977539,205000,3418.61,41,20.1598,41,3383.22,15.3461
-134.70535278320312,210000,3367.62,42,20.8624,42,3345.11,15.4513
-173.7454376220703,215000,3417.81,43,20.713,43,3408.07,14.582
-126.82660675048828,220000,3466.43,44,21.9503,44,3308.84,15.609
-131.42361450195312,225000,3462.77,45,20.9228,45,3426.24,15.3952
-154.49887084960938,230000,3456.41,46,20.3902,46,3409.47,14.3623
