Running Forward KL,Itration,Real Det Return,Running Reverse KL,Real Sto Return
433.003,0,494.7,255.2572,314.21
470.0047,1,263.56,331.8158,298.65
431.7576,2,273.72,279.702,355.36
427.5884,3,285.11,263.3628,356.47
424.0147,4,379.89,307.1038,353.47
414.1914,5,402.78,257.9027,393.61
426.6347,6,362.67,278.0327,370.54
413.5856,7,414.5,279.5632,406.3
404.4641,8,514.95,241.0587,432.24
407.675,9,419.88,264.8867,484.42
393.0376,10,478.26,258.086,480.08
382.3951,11,544.69,250.2431,582.11
383.5196,12,520.24,246.542,561.44
379.5604,13,518.29,241.6984,526.22
391.0728,14,400.87,256.1138,483.52
381.3554,15,534.11,273.6571,532.0
369.2561,16,606.93,236.8381,618.15
359.5995,17,543.18,229.781,680.39
376.4535,18,563.64,232.6764,632.49
361.9241,19,525.8,236.3551,703.82
370.2425,20,631.83,254.2624,544.9
360.2681,21,550.94,255.623,667.35
353.479,22,658.58,256.5052,662.54
373.5718,23,746.99,259.984,718.32
344.3853,24,706.45,242.7769,838.38
379.3819,25,663.8,271.8235,637.8
363.6332,26,522.12,278.226,684.55
379.5907,27,570.08,277.4692,630.94
362.6426,28,702.71,273.4702,833.58
366.8726,29,643.1,254.8191,731.71
367.1257,30,625.32,259.7779,738.92
369.6579,31,755.57,271.2023,788.89
372.7917,32,621.76,275.8905,825.86
337.8958,33,714.42,221.7102,823.35
334.6852,34,618.0,226.561,915.4
359.7638,35,702.83,248.024,877.02
365.849,36,650.14,245.9208,806.55
351.5602,37,771.88,256.7056,871.12
346.7645,38,683.9,232.7631,942.38
350.2546,39,787.26,252.5666,954.68
350.5121,40,926.58,270.5445,985.98
318.351,41,950.43,250.2481,1089.44
349.2183,42,761.01,259.6017,853.53
335.7369,43,1094.1,219.6508,1386.38
309.1626,44,1158.54,188.2362,1954.35
329.0935,45,876.69,225.7462,1268.63
344.5049,46,806.33,233.6372,1244.58
345.0182,47,737.18,232.5432,822.26
325.9733,48,998.54,240.1428,1177.99
321.1806,49,1202.38,254.4581,1229.17
333.5685,50,1526.98,207.0526,1910.05
