Running Update Time,Real Sto Return,Running Env Steps,Running Reverse KL,Running Forward KL,Real Det Return,Reward Loss,Itration
0,359.05,0,279.209,448.0892,346.82,-5569.4609375,0
1,407.38,5000,329.5203,406.8236,519.04,-5190.8232421875,1
2,306.63,10000,346.9967,433.5558,336.05,-5929.66357421875,2
3,426.26,15000,265.8328,416.9683,507.77,-5597.6689453125,3
4,448.79,20000,304.6074,425.0003,386.61,-5865.203125,4
5,428.63,25000,285.4622,429.5986,412.47,-6158.6728515625,5
6,463.48,30000,258.873,405.3708,443.15,-6147.12109375,6
7,510.07,35000,248.9633,403.4877,615.12,-6486.8173828125,7
8,487.32,40000,251.8014,409.3652,550.85,-6766.84326171875,8
9,449.7,45000,269.2391,422.1507,494.86,-6908.7626953125,9
10,470.18,50000,287.3404,407.6962,465.29,-7143.76171875,10
11,563.0,55000,259.0802,404.8314,542.0,-7048.68994140625,11
12,424.48,60000,286.9155,414.4393,404.47,-7163.01513671875,12
13,470.85,65000,240.1833,409.3844,528.72,-7601.068359375,13
14,564.05,70000,249.09,411.7576,648.76,-7722.9560546875,14
15,515.85,75000,253.6781,413.2807,625.17,-7692.57958984375,15
16,507.2,80000,246.7846,418.0815,490.36,-7786.642578125,16
17,512.16,85000,243.0769,419.1704,561.49,-8250.2158203125,17
18,528.23,90000,257.3529,412.2156,493.02,-8781.8408203125,18
19,472.65,95000,246.4845,426.3639,462.02,-8716.931640625,19
20,602.65,100000,233.2959,405.3084,522.9,-8794.271484375,20
21,597.63,105000,246.9231,421.3323,500.83,-9072.15625,21
22,610.04,110000,226.0215,406.6666,535.9,-8734.0029296875,22
23,634.24,115000,224.3349,400.5203,601.23,-8931.173828125,23
24,627.56,120000,237.4153,395.6827,626.42,-9248.185546875,24
25,662.4,125000,230.7605,405.764,720.05,-9063.3828125,25
26,747.22,130000,227.2904,398.3997,648.98,-8826.73046875,26
27,655.79,135000,251.3744,392.9515,438.16,-8914.330078125,27
28,768.59,140000,231.5454,392.3918,655.42,-9568.810546875,28
29,829.02,145000,216.9897,398.6601,587.49,-9282.009765625,29
30,695.58,150000,241.3528,397.0121,837.76,-9772.1708984375,30
31,781.89,155000,256.0849,395.9734,965.3,-10295.625,31
32,736.38,160000,222.3948,403.03,642.5,-10241.712890625,32
33,834.4,165000,221.6625,376.2981,807.56,-9706.10546875,33
34,909.08,170000,224.7795,394.4339,847.25,-10497.53125,34
35,651.54,175000,227.0118,376.8443,912.83,-10261.173828125,35
36,897.41,180000,242.1121,385.9995,638.56,-10115.0263671875,36
37,754.18,185000,215.0936,365.6243,928.8,-9666.5517578125,37
38,934.38,190000,238.9306,382.4965,589.0,-10219.4599609375,38
39,842.99,195000,228.6245,377.478,758.32,-10416.8994140625,39
40,913.0,200000,219.6788,363.6501,740.5,-9528.0498046875,40
41,1039.77,205000,224.7717,381.0205,728.33,-10905.4111328125,41
42,804.88,210000,200.3103,362.5927,868.57,-9014.1826171875,42
43,733.82,215000,219.2521,377.5723,586.95,-10843.5244140625,43
44,1337.21,220000,213.118,364.1143,1108.11,-9658.1474609375,44
45,1061.7,225000,202.6391,363.9659,1213.03,-10142.44140625,45
46,969.42,230000,223.5074,387.0361,834.41,-11041.1953125,46
47,928.83,235000,233.7543,387.7708,1267.6,-11828.02734375,47
48,1040.54,240000,247.6144,381.1257,725.2,-10752.486328125,48
49,1283.77,245000,215.4405,376.1264,985.37,-11348.92578125,49
50,1094.03,250000,225.9159,370.2955,801.43,-11176.9658203125,50
51,1987.76,255000,198.8103,356.5251,1161.55,-9130.271484375,51
52,1061.62,260000,223.8265,383.2041,900.25,-11293.1015625,52
53,1534.54,265000,223.9686,374.3735,745.16,-10855.318359375,53
54,1703.72,270000,197.6712,352.1368,2208.98,-9748.7470703125,54
55,1840.68,275000,201.3511,356.2855,1495.99,-10509.1328125,55
56,2002.6,280000,185.6007,356.3314,2799.02,-9130.03125,56
57,1105.71,285000,244.948,377.6215,1009.56,-11279.8349609375,57
