Real Sto Return,Reward Loss,Running Reverse KL,Real Det Return,Running Forward KL,Running Update Time,Itration,Running Env Steps
-197.08,14.745563507080078,11.2115,-38.34,158.4689,0,0,0
-62.84,-35.38790512084961,11.3436,-4.74,158.2526,1,1,5000
44.59,-60.15071105957031,11.5031,79.28,158.0333,2,2,10000
150.93,-71.05570983886719,11.3321,283.18,157.7604,3,3,15000
273.71,-69.70268249511719,11.2732,308.36,157.4771,4,4,20000
343.41,-116.46797943115234,11.6101,239.9,157.5565,5,5,25000
401.45,-158.0443115234375,11.6632,82.63,157.6072,6,6,30000
445.31,-188.33444213867188,12.1688,918.05,157.7372,7,7,35000
622.66,-212.32151794433594,12.8504,999.41,157.6999,8,8,40000
711.12,-252.28857421875,13.2765,1210.34,157.7029,9,9,45000
862.75,-254.1190948486328,14.1534,1328.96,157.9712,10,10,50000
976.41,-252.2592010498047,14.9016,1456.13,157.7158,11,11,55000
1071.44,-284.57928466796875,15.8341,1544.63,157.9139,12,12,60000
1169.81,-294.2695007324219,15.9393,1558.67,157.8083,13,13,65000
1236.34,-324.5679016113281,16.4015,1627.19,157.6447,14,14,70000
1198.5,-386.4985046386719,16.1837,1618.07,157.8544,15,15,75000
1284.88,-367.76953125,16.6479,1713.16,157.517,16,16,80000
1284.48,-439.67724609375,15.9394,1716.51,157.6129,17,17,85000
1298.27,-467.0116271972656,15.9911,1796.49,157.5492,18,18,90000
1352.52,-502.06048583984375,16.2122,1813.28,157.7424,19,19,95000
1384.23,-547.541259765625,15.9634,1825.63,157.461,20,20,100000
1420.11,-563.5901489257812,16.3007,1859.18,157.5965,21,21,105000
1406.62,-613.84375,15.9158,1848.48,157.4999,22,22,110000
1488.1,-646.6116333007812,16.7174,1890.76,157.5768,23,23,115000
