Real Det Return,Running Reverse KL,Running Update Time,Itration,Reward Loss,Real Sto Return,Running Forward KL,Running Env Steps
180.87,25.7894,0,0,-1459.606689453125,185.41,33.4046,0
250.31,29.8763,1,1,-1541.7711181640625,243.93,33.4518,5000
289.37,17.7241,2,2,-1008.9467163085938,272.52,30.0184,10000
354.93,14.7733,3,3,-1270.069580078125,359.62,25.3308,15000
599.59,13.3272,4,4,-1034.7598876953125,586.78,25.3221,20000
554.54,20.3819,5,5,-1261.484130859375,538.13,23.9949,25000
932.36,33.2591,6,6,-1153.6182861328125,739.62,22.5516,30000
929.35,11.5185,7,7,-733.5990600585938,984.61,22.3656,35000
2478.51,11.0064,8,8,-298.8453369140625,2200.94,21.3211,40000
2764.38,14.3431,9,9,-354.6822814941406,2399.49,23.8738,45000
2866.78,13.498,10,10,-319.16192626953125,2848.47,23.0415,50000
3225.89,13.4365,11,11,-185.46287536621094,3122.63,21.0533,55000
3235.61,13.8451,12,12,-204.8874053955078,3084.23,21.2198,60000
3223.3,14.2171,13,13,-201.45416259765625,3143.29,22.0531,65000
3214.67,15.3119,14,14,-175.81491088867188,3242.11,21.4917,70000
3260.87,14.7007,15,15,-187.5009002685547,3167.1,21.8174,75000
3345.89,13.6031,16,16,-229.3324432373047,2985.78,21.4503,80000
3319.44,14.9012,17,17,-160.66578674316406,3194.63,21.8085,85000
3327.28,14.7551,18,18,-170.53286743164062,3211.34,21.7356,90000
3365.03,12.9055,19,19,-189.52163696289062,3024.54,21.0481,95000
3323.51,14.7607,20,20,-177.77630615234375,3321.83,21.5903,100000
2974.39,12.5381,21,21,-290.4344787597656,2750.36,21.0106,105000
3384.85,12.2044,22,22,-428.9892578125,2691.5,21.4281,110000
3289.77,12.8653,23,23,-199.24887084960938,3322.17,20.7346,115000
3280.87,12.7736,24,24,-175.36619567871094,2951.32,20.3919,120000
3348.07,12.5823,25,25,-244.80015563964844,3199.5,20.6263,125000
3337.05,12.9493,26,26,-313.9532470703125,3006.57,20.6913,130000
3329.13,13.6333,27,27,-180.44039916992188,3177.84,20.872,135000
3366.23,13.4183,28,28,-415.7512512207031,3272.43,20.8622,140000
3378.97,12.7375,29,29,-314.4828186035156,2965.28,20.9062,145000
3347.62,13.5906,30,30,-257.55804443359375,3328.5,21.0643,150000
3332.38,13.1135,31,31,-220.63685607910156,3291.1,20.5938,155000
3376.16,13.7241,32,32,-291.8685607910156,3248.29,20.7765,160000
3378.63,13.0879,33,33,-309.04180908203125,3242.26,20.5719,165000
3408.26,14.5277,34,34,-1024.7281494140625,2296.49,21.1824,170000
3373.93,13.8396,35,35,-290.2943115234375,3236.4,20.5339,175000
3325.09,14.8392,36,36,-366.703369140625,3139.53,21.4709,180000
3351.66,14.439,37,37,-330.466552734375,3345.45,20.9404,185000
3345.42,14.1137,38,38,-345.890625,3175.02,21.0088,190000
3372.22,14.3176,39,39,-342.9486999511719,3162.69,20.976,195000
3375.5,14.2844,40,40,-378.5009765625,3250.1,20.9568,200000
3344.24,14.9418,41,41,-393.4920959472656,3350.58,20.9053,205000
3382.84,13.8875,42,42,-359.941650390625,3235.94,20.526,210000
3356.9,14.8145,43,43,-389.40814208984375,3357.1,21.0191,215000
3331.7,15.1824,44,44,-436.3576354980469,3335.03,21.1348,220000
3359.09,14.3195,45,45,-393.1737060546875,3362.33,20.4335,225000
3349.18,14.2872,46,46,-431.0108642578125,3346.66,20.7499,230000
3321.09,13.8112,47,47,-464.9532165527344,3312.55,20.5823,235000
3373.49,14.0591,48,48,-430.8241882324219,3276.76,20.597,240000
3350.55,14.1602,49,49,-446.95880126953125,3366.93,20.1486,245000
3345.8,14.2885,50,50,-441.8614196777344,3349.73,19.8987,250000
3376.07,14.2532,51,51,-427.0072937011719,3382.29,19.9336,255000
3334.46,14.2935,52,52,-490.7047119140625,3342.24,20.1532,260000
3366.45,13.822,53,53,-493.218994140625,3362.15,20.3892,265000
3398.7,14.3636,54,54,-482.3746337890625,3409.9,20.325,270000
3380.67,12.6098,55,55,-587.677490234375,2901.37,19.7098,275000
3356.51,13.8676,56,56,-526.3591918945312,3359.56,20.2936,280000
3357.08,13.2135,57,57,-528.3716430664062,3353.03,19.9002,285000
3369.9,13.9813,58,58,-556.1958618164062,3376.5,20.0833,290000
3365.34,14.1762,59,59,-532.9321899414062,3379.09,20.2312,295000
3411.46,13.7977,60,60,-505.5486145019531,3375.33,20.0283,300000
3404.09,13.8676,61,61,-537.4135131835938,3402.7,19.7388,305000
3391.64,14.0099,62,62,-594.2190551757812,3363.11,20.082,310000
3441.76,12.9628,63,63,-621.11962890625,2920.2,19.458,315000
3432.66,13.1665,64,64,-469.1284484863281,3051.7,19.1764,320000
3360.42,14.2768,65,65,-618.1725463867188,2856.62,19.9412,325000
3358.92,13.0771,66,66,-711.5543823242188,3177.18,19.9983,330000
3456.19,13.1392,67,67,-531.2427368164062,3393.15,19.4705,335000
3456.93,13.5392,68,68,-567.2697143554688,3436.22,19.8394,340000
3400.1,13.0958,69,69,-843.0380859375,3241.39,19.9133,345000
3420.97,12.9156,70,70,-700.6196899414062,2914.8,19.6026,350000
3408.56,14.0145,71,71,-675.1826171875,3389.86,19.7687,355000
3442.94,13.8205,72,72,-634.1452026367188,3059.12,20.0929,360000
3429.71,13.6284,73,73,-650.7433471679688,3403.26,19.4971,365000
