Reward Loss,Running Forward KL,Running Update Time,Running Env Steps,Real Det Return,Real Sto Return,Running Reverse KL,Itration
89.2204360961914,31.2703,0,0,263.77,262.32,14.895,0
95.052001953125,30.5257,1,5000,342.34,341.13,22.1034,1
75.19315338134766,30.3736,2,10000,126.47,164.92,15.3991,2
86.52659606933594,29.2522,3,15000,400.78,401.46,28.4277,3
101.45375061035156,28.134,4,20000,459.66,462.48,48.0845,4
85.80542755126953,25.5659,5,25000,554.91,574.64,36.5377,5
30.40666961669922,24.503,6,30000,557.12,393.9,26.2944,6
61.63343048095703,24.8151,7,35000,289.38,499.13,33.3829,7
52.739341735839844,24.9005,8,40000,711.94,765.56,19.4844,8
10.588951110839844,23.3445,9,45000,813.51,579.33,16.681,9
4.781940937042236,25.4706,10,50000,584.03,676.39,27.4909,10
-10.323639869689941,23.2379,11,55000,2166.49,1372.67,22.4594,11
-25.1496524810791,24.3191,12,60000,864.57,819.6,35.3054,12
-28.271764755249023,24.4897,13,65000,1160.91,1107.13,31.4691,13
-39.851165771484375,23.8897,14,70000,1042.9,1013.97,33.8932,14
-22.191932678222656,21.9127,15,75000,3041.54,2691.1,13.8399,15
-41.17314910888672,23.2241,16,80000,1388.14,1604.68,37.161,16
-40.23590087890625,22.7099,17,85000,2046.65,2014.87,16.5389,17
-58.18011474609375,24.7787,18,90000,962.84,975.89,20.315,18
-75.36245727539062,25.3397,19,95000,960.33,971.28,24.8554,19
-85.99312591552734,24.9269,20,100000,949.09,924.0,22.9358,20
-86.87194061279297,24.8969,21,105000,951.71,951.27,20.8943,21
-75.45924377441406,23.5374,22,110000,1183.85,1187.53,24.4189,22
-88.65816497802734,23.8932,23,115000,976.96,999.07,22.9013,23
-93.78974151611328,24.7032,24,120000,1160.36,1260.01,23.281,24
-109.86043548583984,24.341,25,125000,1012.45,1000.23,25.6067,25
-118.6532974243164,24.6555,26,130000,1030.85,1015.1,18.6742,26
-123.8585433959961,23.4841,27,135000,1150.55,1076.04,17.2167,27
-141.35643005371094,24.6102,28,140000,1059.83,1101.49,18.4693,28
-153.4906005859375,24.492,29,145000,1149.42,1298.63,20.0488,29
-155.08792114257812,24.2253,30,150000,1136.11,1306.92,17.3103,30
-174.41403198242188,23.5359,31,155000,1109.14,1038.54,18.9261,31
-167.17123413085938,23.5508,32,160000,1081.01,1169.14,19.802,32
-168.287841796875,22.1914,33,165000,1178.0,1302.7,16.7994,33
