Running Forward KL,Real Sto Return,Running Reverse KL,Reward Loss,Real Det Return,Running Update Time,Running Env Steps,Itration
74.5971,-115.21,25.6521,12.902803421020508,330.72,0,0,0
73.5311,-56.98,25.1686,2.111151695251465,395.45,1,5000,1
72.9001,-56.32,25.5969,-7.085796356201172,500.28,2,10000,2
73.6826,-15.36,27.3579,-13.68407917022705,603.9,3,15000,3
73.893,40.33,28.8723,-22.06776237487793,599.02,4,20000,4
72.2446,58.01,28.1305,-33.53349304199219,597.49,5,25000,5
72.3095,58.35,28.1459,-45.50166320800781,558.25,6,30000,6
70.6872,75.48,29.2317,-58.51810836791992,769.83,7,35000,7
72.1068,118.9,30.7711,-63.587181091308594,744.55,8,40000,8
69.7901,151.73,29.2716,-77.04203796386719,701.39,9,45000,9
73.319,102.2,30.6437,-89.84154510498047,729.48,10,50000,10
70.5946,180.64,30.6648,-98.60506439208984,688.47,11,55000,11
70.903,137.19,31.0922,-108.1435546875,821.93,12,60000,12
73.7316,106.8,31.7328,-122.12971496582031,795.69,13,65000,13
71.5044,131.84,31.3325,-133.54383850097656,662.73,14,70000,14
71.6976,164.1,30.7262,-148.28590393066406,609.43,15,75000,15
70.9194,186.48,31.296,-158.53466796875,544.12,16,80000,16
70.7267,166.01,30.3017,-168.49258422851562,671.19,17,85000,17
71.8882,147.16,31.6564,-179.95802307128906,563.9,18,90000,18
68.9945,205.08,30.2921,-191.58065795898438,632.8,19,95000,19
70.9194,178.96,31.2531,-206.43666076660156,769.22,20,100000,20
70.3471,199.29,30.7989,-216.3384552001953,923.86,21,105000,21
70.2297,226.6,30.6857,-226.41554260253906,981.17,22,110000,22
71.1453,151.66,30.4362,-246.4738006591797,642.18,23,115000,23
71.7868,167.01,30.9818,-257.3784484863281,688.19,24,120000,24
68.9381,287.59,30.4818,-265.6123046875,746.2,25,125000,25
71.181,236.34,30.5919,-285.3810729980469,805.9,26,130000,26
69.4232,198.48,30.4948,-294.72674560546875,902.07,27,135000,27
69.9391,201.31,30.0409,-304.69683837890625,818.2,28,140000,28
69.6336,180.42,30.2892,-315.0801086425781,731.7,29,145000,29
66.0074,228.12,29.0102,-321.12017822265625,744.06,30,150000,30
67.1238,217.93,29.6503,-338.8984375,719.06,31,155000,31
67.1918,210.51,29.1297,-352.63861083984375,705.99,32,160000,32
64.6479,209.36,29.247,-360.3799133300781,905.23,33,165000,33
68.4112,346.17,29.9118,-381.1265869140625,1043.63,34,170000,34
67.3987,215.2,29.6729,-392.5891418457031,767.57,35,175000,35
71.1041,289.85,31.1129,-415.65435791015625,871.43,36,180000,36
71.6172,248.74,30.6501,-427.6747741699219,747.98,37,185000,37
70.8958,225.28,30.9258,-443.2869873046875,876.82,38,190000,38
68.7239,213.12,29.9375,-446.705322265625,874.29,39,195000,39
69.3328,238.0,29.7947,-462.1065368652344,687.62,40,200000,40
68.9093,208.77,31.1659,-477.67938232421875,747.7,41,205000,41
65.5312,204.19,29.5333,-473.6602783203125,834.84,42,210000,42
69.5174,186.62,30.2665,-508.137451171875,869.68,43,215000,43
61.7669,347.96,27.922,-483.7261962890625,1043.78,44,220000,44
65.446,337.37,29.6136,-521.03076171875,1073.39,45,225000,45
68.4578,258.46,30.1768,-543.9088134765625,1021.55,46,230000,46
67.5954,319.72,29.4334,-558.89794921875,923.65,47,235000,47
71.1175,271.28,30.9002,-584.6035766601562,896.12,48,240000,48
65.9995,366.93,29.0413,-577.2972412109375,1006.83,49,245000,49
64.3318,265.23,28.4037,-582.32861328125,869.21,50,250000,50
67.7025,309.28,30.1567,-614.4632568359375,951.79,51,255000,51
66.8154,292.96,29.4637,-632.9237670898438,942.98,52,260000,52
63.3559,282.25,28.4474,-613.771484375,938.54,53,265000,53
67.9823,272.1,29.2689,-664.5824584960938,728.47,54,270000,54
70.8906,213.25,30.5289,-694.9332885742188,922.19,55,275000,55
64.5191,353.27,28.6307,-677.4026489257812,981.39,56,280000,56
63.2336,278.69,27.832,-679.8280029296875,822.85,57,285000,57
67.3263,287.02,30.4569,-723.0875854492188,740.62,58,290000,58
64.9398,387.08,29.5654,-727.552978515625,981.15,59,295000,59
66.0276,364.66,29.151,-748.404052734375,877.99,60,300000,60
69.9825,292.32,29.8907,-789.2882690429688,840.45,61,305000,61
67.7466,362.48,29.8966,-777.6087646484375,916.08,62,310000,62
65.7264,297.7,28.8421,-794.359130859375,757.64,63,315000,63
65.4832,373.88,29.2246,-803.0836181640625,1033.86,64,320000,64
63.7325,362.61,29.4855,-810.56396484375,1045.65,65,325000,65
70.0416,267.53,29.8684,-873.645751953125,978.06,66,330000,66
70.3535,330.04,29.9793,-891.7178955078125,1055.45,67,335000,67
68.8415,307.68,31.0378,-892.4237670898438,915.06,68,340000,68
65.6825,328.65,28.9178,-896.7603149414062,935.2,69,345000,69
69.4247,305.67,30.0311,-948.22509765625,888.26,70,350000,70
65.3589,298.18,29.0501,-941.462158203125,928.12,71,355000,71
68.4775,274.25,29.4869,-965.87109375,863.71,72,360000,72
68.8795,316.6,30.0521,-987.6337890625,851.13,73,365000,73
65.7487,412.01,29.4463,-995.585205078125,1036.14,74,370000,74
70.9272,363.88,30.5161,-1049.6605224609375,1039.96,75,375000,75
65.9025,374.64,29.0187,-1021.1800537109375,1030.44,76,380000,76
65.9142,328.11,29.1101,-1045.4713134765625,899.79,77,385000,77
69.6623,328.96,29.9371,-1086.3880615234375,780.52,78,390000,78
69.8109,297.35,30.5374,-1111.66748046875,947.18,79,395000,79
66.9252,269.65,29.5745,-1127.6214599609375,1022.92,80,400000,80
67.7216,323.77,30.1345,-1131.4888916015625,966.74,81,405000,81
66.7408,354.34,29.628,-1160.6575927734375,1099.27,82,410000,82
66.5946,321.57,29.129,-1183.2003173828125,912.24,83,415000,83
62.6422,419.08,28.1856,-1147.7930908203125,1017.36,84,420000,84
65.0701,376.34,28.6985,-1195.0628662109375,1023.84,85,425000,85
63.3918,403.19,28.0833,-1201.51513671875,972.66,86,430000,86
64.6375,387.47,28.7948,-1241.3856201171875,1031.21,87,435000,87
68.9493,471.96,29.673,-1302.7864990234375,993.54,88,440000,88
64.7678,361.13,29.6776,-1275.945068359375,996.35,89,445000,89
66.93,335.4,30.0229,-1341.4503173828125,953.14,90,450000,90
66.8484,383.46,29.6026,-1355.96044921875,1066.7,91,455000,91
67.1224,314.38,29.7438,-1389.0926513671875,1036.81,92,460000,92
65.9948,355.35,29.1981,-1386.3935546875,976.7,93,465000,93
66.536,385.78,29.6099,-1423.82080078125,1014.22,94,470000,94
69.2586,341.44,30.9228,-1475.872802734375,1010.4,95,475000,95
69.4399,343.72,30.3075,-1490.0467529296875,996.53,96,480000,96
71.2455,261.19,30.3235,-1538.9774169921875,963.83,97,485000,97
69.3585,332.73,30.4389,-1546.83544921875,1035.91,98,490000,98
67.3886,270.56,29.0505,-1565.0118408203125,1050.02,99,495000,99
65.7036,394.82,29.5118,-1563.3331298828125,1022.35,100,500000,100
67.5819,390.91,29.717,-1609.41650390625,973.39,101,505000,101
64.7534,381.82,28.938,-1586.78173828125,943.67,102,510000,102
67.0871,402.9,30.0497,-1635.266845703125,1007.03,103,515000,103
65.0094,395.47,29.1529,-1661.9705810546875,987.73,104,520000,104
68.2125,314.5,30.2386,-1737.174072265625,979.43,105,525000,105
67.4645,362.12,30.1146,-1719.764892578125,789.78,106,530000,106
68.4121,294.5,30.1145,-1792.7935791015625,863.69,107,535000,107
69.3833,371.61,30.4184,-1834.1962890625,994.73,108,540000,108
67.0466,403.06,29.5286,-1796.0142822265625,913.44,109,545000,109
68.3932,363.29,30.2307,-1865.8753662109375,990.2,110,550000,110
64.6371,457.32,28.9961,-1833.621337890625,1080.44,111,555000,111
67.4962,370.17,30.5687,-1920.103759765625,936.86,112,560000,112
66.9624,448.69,29.9927,-1945.72705078125,1073.82,113,565000,113
67.8175,322.84,30.2036,-1982.3670654296875,900.74,114,570000,114
67.9465,449.52,29.738,-2005.470703125,1017.31,115,575000,115
68.0107,348.64,29.6053,-2037.0335693359375,946.66,116,580000,116
66.5824,346.8,29.7137,-2059.95263671875,1017.66,117,585000,117
