Running Update Time,Running Env Steps,Running Forward KL,Real Det Return,Real Sto Return,Running Reverse KL,Reward Loss,Itration
0,0,158.5592,-23.64,-191.32,11.7981,107.92070770263672,0
1,5000,158.5276,-42.69,-122.34,12.1233,-133.91522216796875,1
2,10000,158.3223,43.27,-49.53,11.7296,-316.0418701171875,2
3,15000,158.1357,78.69,104.56,11.8431,-519.0499877929688,3
4,20000,158.267,651.25,351.55,12.9891,-743.822265625,4
5,25000,158.1796,750.49,441.02,13.7782,-924.9041748046875,5
6,30000,158.0414,928.5,570.76,13.8935,-1253.6632080078125,6
7,35000,157.8361,875.97,597.4,13.6667,-1463.09814453125,7
8,40000,157.7582,1059.03,751.52,14.102,-1735.5396728515625,8
9,45000,157.7259,747.32,720.44,13.7892,-1939.325927734375,9
10,50000,157.6617,1041.13,834.38,13.9882,-2039.8154296875,10
11,55000,157.7523,1415.28,1008.57,15.1555,-2250.3955078125,11
12,60000,157.7475,1545.47,1134.79,15.3367,-2488.14599609375,12
13,65000,157.7887,1586.33,1162.48,15.5454,-2618.8291015625,13
14,70000,157.636,1700.76,1247.89,15.8475,-2909.953857421875,14
15,75000,157.6655,1729.08,1299.64,15.7113,-3042.366943359375,15
16,80000,157.5619,1829.56,1311.01,16.0381,-3290.898193359375,16
17,85000,157.5147,2189.5,1377.87,15.2986,-3309.385986328125,17
18,90000,157.015,2502.52,1991.35,14.602,-3161.288330078125,18
19,95000,157.1025,2842.31,2022.7,14.429,-3264.2373046875,19
20,100000,157.1536,3005.44,2112.99,14.7296,-3234.291015625,20
21,105000,157.1071,3138.21,2619.1,14.6475,-3305.46875,21
22,110000,156.8084,3486.14,3033.35,15.3638,-3504.018798828125,22
23,115000,157.0332,3690.27,3111.44,15.5664,-3614.858154296875,23
24,120000,156.9741,3816.78,3161.55,15.6088,-3653.345947265625,24
25,125000,156.7843,4085.42,3557.57,15.5589,-3824.619384765625,25
26,130000,156.7971,4190.82,3761.84,15.8394,-3985.826416015625,26
27,135000,156.6848,4411.31,3892.81,16.65,-3940.52587890625,27
28,140000,156.3634,4438.37,3797.21,15.0061,-4011.949462890625,28
