Itration,Running Update Time,Real Det Return,Running Reverse KL,Running Env Steps,Real Sto Return,Running Forward KL,Reward Loss
0,0,476.71,14.8685,0,363.07,36.4808,161.51644897460938
1,1,195.58,48.466,5000,328.9,35.0376,104.83938598632812
2,2,408.92,68.4981,10000,391.67,36.0243,106.6795654296875
3,3,439.85,24.8657,15000,530.41,32.1163,92.52861022949219
4,4,81.5,119.8931,20000,68.99,38.7969,126.5229263305664
5,5,161.65,42.7911,25000,164.57,47.5218,102.31575775146484
6,6,1011.02,46.0792,30000,1011.39,44.0972,91.8346939086914
7,7,1015.78,29.897,35000,1016.47,42.6486,62.18534851074219
8,8,295.35,36.8282,40000,290.6,37.2859,89.71116638183594
9,9,975.13,68.1331,45000,227.93,43.2209,84.30980682373047
10,10,1010.81,36.4137,50000,1010.19,41.2288,58.444313049316406
11,11,985.98,25.3512,55000,999.21,39.0647,45.41973876953125
12,12,363.94,36.4061,60000,356.09,36.6653,50.744476318359375
13,13,248.62,194.9935,65000,298.43,37.9474,95.78231811523438
14,14,1043.21,41.0186,70000,1044.3,40.6625,-9.502155303955078
15,15,1053.49,35.2328,75000,1055.93,42.6415,-13.752909660339355
16,16,1208.97,26.6034,80000,1161.03,39.8881,1.560013771057129
17,17,1108.56,18.7055,85000,850.69,39.2753,2.0908079147338867
18,18,571.71,16.4989,90000,455.42,34.6448,-17.61514663696289
19,19,1567.46,18.6728,95000,1372.35,35.293,68.78277587890625
20,20,979.17,48.9337,100000,979.3,45.4512,-26.303720474243164
21,21,983.24,27.1884,105000,980.65,43.3085,-45.81954574584961
22,22,993.16,28.9845,110000,992.63,42.4879,-63.66524124145508
23,23,85.88,32.1938,115000,105.07,44.2084,-23.285486221313477
24,24,305.04,41.3889,120000,304.66,38.5647,-73.27672576904297
25,25,738.09,45.4755,125000,591.72,37.8739,-80.31024932861328
26,26,1021.83,26.0281,130000,1025.09,43.8485,-93.94547271728516
27,27,1039.48,37.1223,135000,1039.35,41.398,-130.59165954589844
28,28,1041.24,42.3592,140000,1041.11,45.6678,-128.4929656982422
29,29,829.02,45.7209,145000,973.73,37.9985,-123.8262710571289
30,30,1020.0,26.7974,150000,1019.46,41.9752,-123.90900421142578
31,31,1071.32,19.603,155000,1077.15,40.4536,-108.89277648925781
32,32,1024.84,27.4319,160000,1024.28,41.7086,-153.31240844726562
33,33,1013.61,45.0643,165000,1013.21,45.4995,-160.412841796875
34,34,933.63,22.6406,170000,1041.8,39.6611,-152.73817443847656
35,35,1003.47,33.3578,175000,1004.23,43.4874,-195.06500244140625
36,36,998.24,37.4246,180000,1000.95,45.5001,-207.3895263671875
37,37,1006.93,42.0691,185000,1006.9,42.8646,-192.8462677001953
38,38,990.08,56.342,190000,989.9,44.2846,-220.3422393798828
39,39,980.24,38.9078,195000,979.8,43.7973,-184.3079833984375
40,40,163.11,21.8109,200000,181.91,38.2648,-176.87091064453125
41,41,259.86,36.0755,205000,390.92,37.6877,-233.1253204345703
42,42,241.21,44.6497,210000,241.19,38.6275,-247.282958984375
43,43,1009.58,46.7255,215000,1009.49,43.0169,-265.7006530761719
