Running Reverse KL,Real Det Return,Real Sto Return,Running Update Time,Running Env Steps,Reward Loss,Running Forward KL,Itration
272.3605,278.87,316.76,0,0,3682.741943359375,430.7838,0
266.6095,388.99,368.04,1,5000,3516.09033203125,429.0512,1
279.5326,393.48,343.3,2,10000,3159.06982421875,434.8051,2
278.9878,460.19,389.0,3,15000,3130.7626953125,438.3491,3
396.8972,407.33,375.06,4,20000,2738.589599609375,429.8064,4
537.3018,486.98,424.2,5,25000,2265.529052734375,430.164,5
438.2201,385.21,378.5,6,30000,1915.7037353515625,427.5799,6
373.5285,506.35,464.66,7,35000,2147.87548828125,417.7693,7
267.4241,540.79,468.87,8,40000,2479.5859375,422.1481,8
394.5738,420.34,451.18,9,45000,1376.4359130859375,423.9833,9
489.895,516.36,459.53,10,50000,1159.5323486328125,405.7969,10
334.3429,595.4,534.53,11,55000,1248.2454833984375,395.43,11
339.5621,510.4,533.41,12,60000,881.1100463867188,393.3189,12
297.4872,492.09,471.76,13,65000,959.283935546875,400.1262,13
727.5631,579.48,521.21,14,70000,-30.856250762939453,389.7886,14
459.137,705.36,601.62,15,75000,70.388671875,376.6496,15
333.6068,685.01,668.81,16,80000,-102.2741470336914,370.3745,16
328.6687,588.43,600.82,17,85000,-208.21461486816406,372.7485,17
311.1536,840.05,624.97,18,90000,-200.64759826660156,357.5517,18
382.1201,557.12,562.47,19,95000,-1094.3914794921875,370.8647,19
291.73,766.04,730.03,20,100000,-734.0767211914062,355.6147,20
348.6405,790.95,830.07,21,105000,-1188.2164306640625,357.7269,21
337.3119,789.57,854.44,22,110000,-1408.07470703125,351.7671,22
345.2557,694.31,686.96,23,115000,-1663.61962890625,353.236,23
399.4758,583.93,737.02,24,120000,-2189.174560546875,361.6551,24
330.9077,734.68,770.74,25,125000,-1698.8477783203125,339.6745,25
306.2975,838.27,700.18,26,130000,-1997.1292724609375,341.5306,26
307.0743,803.95,802.44,27,135000,-2532.429443359375,347.0774,27
245.0125,781.02,741.92,28,140000,-1772.794921875,358.5073,28
389.9322,782.73,711.88,29,145000,-3850.12744140625,346.9327,29
351.047,1022.54,753.03,30,150000,-2804.40625,347.7491,30
251.0853,812.28,965.54,31,155000,-1800.9671630859375,351.2413,31
260.2133,897.33,1312.62,32,160000,-2942.181884765625,334.8958,32
278.981,1716.15,1432.26,33,165000,-3415.850341796875,331.0341,33
212.8244,2730.31,1436.03,34,170000,-2656.63232421875,317.5304,34
223.1101,1962.48,1917.18,35,175000,-2726.6865234375,326.7532,35
179.3293,2800.35,1577.67,36,180000,-3056.427001953125,306.9631,36
191.7178,2092.75,1373.45,37,185000,-3139.38232421875,321.1541,37
190.2524,1834.33,1931.82,38,190000,-3369.548828125,311.1441,38
231.3051,1657.31,1421.64,39,195000,-3715.53369140625,327.4974,39
139.2719,2724.8,2837.4,40,200000,-2716.9716796875,304.1125,40
159.1897,2477.63,2696.97,41,205000,-3027.6396484375,319.544,41
187.5504,2868.99,2076.19,42,210000,-3481.939697265625,314.8751,42
183.2471,4076.59,1975.3,43,215000,-3925.667236328125,310.1984,43
186.8865,3162.82,2154.97,44,220000,-4267.71044921875,301.5666,44
162.9073,2020.29,1674.64,45,225000,-3840.562255859375,301.6292,45
187.6214,3160.61,2358.87,46,230000,-4255.31494140625,305.2534,46
118.3104,4211.51,4108.68,47,235000,-2900.69921875,285.7593,47
120.2833,3032.05,2938.09,48,240000,-3355.21923828125,281.3121,48
158.5103,5091.79,2813.98,49,245000,-4291.09130859375,293.037,49
133.2749,2613.75,3763.83,50,250000,-3631.463623046875,290.3595,50
76.4324,5155.51,2805.26,51,255000,-2041.145751953125,269.6666,51
71.2948,3586.57,4164.84,52,260000,-2076.90234375,273.7895,52
137.601,2915.42,3448.82,53,265000,-3783.901611328125,287.2984,53
84.1029,2881.96,3443.96,54,270000,-2473.94775390625,274.4062,54
104.0986,2164.78,3159.99,55,275000,-3170.697998046875,273.4208,55
105.5003,3455.07,3322.68,56,280000,-3301.3896484375,271.5426,56
67.1746,4385.85,3763.24,57,285000,-2394.306396484375,267.8414,57
96.8533,3694.63,3368.43,58,290000,-3181.3740234375,272.4944,58
74.2334,3299.22,4646.39,59,295000,-2593.19775390625,267.8094,59
74.4108,4467.72,3955.48,60,300000,-2447.96826171875,267.2312,60
64.2535,5118.8,4825.27,61,305000,-2119.781494140625,270.7361,61
86.9051,4685.72,4765.61,62,310000,-2878.947509765625,274.4542,62
84.2925,1481.09,3967.39,63,315000,-2429.213623046875,289.9423,63
69.0057,5029.71,4713.08,64,320000,-2468.306640625,271.6979,64
63.8312,4650.09,4593.51,65,325000,-2686.398193359375,264.1471,65
63.8776,4187.9,4848.65,66,330000,-2586.027099609375,263.3973,66
79.033,5110.67,4994.67,67,335000,-3026.54150390625,273.5393,67
80.0278,4332.41,4674.94,68,340000,-3211.517333984375,261.1537,68
71.7727,4724.18,4291.83,69,345000,-3149.169677734375,256.2854,69
61.0588,4873.88,4915.09,70,350000,-2904.83837890625,264.1171,70
64.9241,3614.92,4913.16,71,355000,-2878.337890625,265.1901,71
70.267,3883.4,4574.08,72,360000,-3455.421630859375,260.3793,72
71.7646,5063.3,4907.51,73,365000,-3392.8642578125,263.0278,73
64.0967,4633.99,4804.66,74,370000,-3056.239013671875,267.8131,74
91.0379,4768.73,4805.29,75,375000,-3945.7138671875,267.6032,75
79.5888,4960.87,4772.83,76,380000,-3905.197265625,267.3165,76
