Real Det Return,Running Forward KL,Real Sto Return,Running Reverse KL,Itration
-66.15,158.5981,-211.18,11.7946,0
16.98,158.5127,-117.76,11.7969,1
214.58,158.2516,-12.23,11.7378,2
778.14,157.8935,143.6,12.0034,3
916.34,158.0735,319.77,12.9185,4
971.09,157.8358,478.1,12.99,5
1121.28,157.8239,562.21,13.1402,6
922.68,157.8472,617.42,13.6037,7
1230.79,158.1857,653.05,14.4668,8
1180.49,158.022,755.49,14.6183,9
1445.52,158.1331,955.89,15.3963,10
1468.92,157.9143,985.44,15.6526,11
1466.89,157.6547,1089.1,15.915,12
1573.04,157.8067,1140.61,16.0751,13
