Running Reverse KL,Reward Loss,Itration,Running Update Time,Running Env Steps,Real Sto Return,Running Forward KL,Real Det Return
18.9425,-191.9998779296875,0,0,0,189.91,33.7067,191.24
17.9362,-257.6381530761719,1,1,5000,219.16,29.6475,212.68
23.9395,-338.0604553222656,2,2,10000,298.91,31.8045,270.49
28.9437,-246.60255432128906,3,3,15000,338.07,28.6778,365.8
116.3134,-779.1771240234375,4,4,20000,374.32,27.6022,397.25
27.6904,-345.4557800292969,5,5,25000,331.4,31.11,405.99
42.3768,-366.8038024902344,6,6,30000,413.7,24.6091,233.29
26.3693,-315.77008056640625,7,7,35000,907.98,24.6384,1009.6
23.5982,-136.27447509765625,8,8,40000,455.63,27.0297,476.76
25.1326,-344.3059387207031,9,9,45000,700.37,25.4529,724.45
10.7734,-198.65472412109375,10,10,50000,1914.43,22.7168,1705.91
11.6221,-245.40005493164062,11,11,55000,1312.01,23.283,1600.49
11.4019,-216.62318420410156,12,12,60000,1680.73,20.9563,1720.71
15.6884,-296.43035888671875,13,13,65000,1343.99,22.1553,1845.63
15.9478,-356.98321533203125,14,14,70000,1423.36,23.8812,1243.99
11.8775,-353.1636962890625,15,15,75000,1505.83,22.5514,1660.09
10.1915,-245.1273193359375,16,16,80000,1960.09,20.5581,2096.64
10.4974,-207.3336181640625,17,17,85000,1745.06,19.8867,929.48
32.5154,-367.81976318359375,18,18,90000,1646.35,21.124,1196.05
15.4669,-454.4114074707031,19,19,95000,1262.69,22.2973,975.33
15.3478,-403.5405578613281,20,20,100000,1746.34,21.3563,1890.74
21.2594,-390.2247619628906,21,21,105000,1090.52,21.2307,1002.64
48.8857,-458.076416015625,22,22,110000,908.65,21.5384,699.09
10.6579,-485.1441345214844,23,23,115000,1437.35,21.7372,1081.81
38.4254,-407.2537536621094,24,24,120000,1009.44,22.6452,1276.28
21.2774,-385.80474853515625,25,25,125000,1226.97,21.7333,463.21
10.6642,-307.97406005859375,26,26,130000,1593.3,20.5508,1766.55
26.482,-496.4744873046875,27,27,135000,2027.29,20.7811,2597.27
15.4838,-436.0893249511719,28,28,140000,1650.13,20.0514,2209.12
13.7305,-262.0904235839844,29,29,145000,2751.89,19.2628,2839.31
15.7268,-396.84375,30,30,150000,2613.95,19.7146,2899.81
29.2001,-794.5853271484375,31,31,155000,1691.95,21.021,3105.65
27.0305,-627.306884765625,32,32,160000,770.3,22.0574,344.92
57.9369,-1385.93212890625,33,33,165000,901.55,22.3313,2038.73
38.5264,-981.3707885742188,34,34,170000,1587.1,20.1259,2774.38
10.7767,-605.0214233398438,35,35,175000,1437.54,19.9939,2703.07
53.7869,-1102.3389892578125,36,36,180000,716.72,22.6414,91.57
77.4065,-1637.700439453125,37,37,185000,755.44,22.3794,974.59
15.0976,-829.7271118164062,38,38,190000,1843.69,20.3666,2836.71
41.2031,-1130.5797119140625,39,39,195000,1347.49,22.7298,1480.42
77.336,-1777.492431640625,40,40,200000,1263.39,21.8802,1681.81
51.6646,-1310.6502685546875,41,41,205000,1268.14,20.0754,2898.26
87.295,-2119.658447265625,42,42,210000,986.67,22.4926,983.71
63.3463,-1844.423583984375,43,43,215000,1127.08,22.3353,1037.95
40.224,-1276.709228515625,44,44,220000,999.33,20.7397,1588.21
100.8871,-2154.873779296875,45,45,225000,1316.38,21.6583,1769.1
33.3403,-1697.5924072265625,46,46,230000,1268.48,21.7267,1640.96
69.9733,-1688.8245849609375,47,47,235000,1994.1,20.1025,2133.84
36.0273,-1192.86279296875,48,48,240000,1604.45,20.2416,1143.72
53.1149,-1632.7130126953125,49,49,245000,2244.2,21.1943,3174.12
12.5732,-291.7359619140625,50,50,250000,2670.61,20.1263,3164.06
34.1612,-1217.6517333984375,51,51,255000,1981.53,20.0074,2074.66
12.12,-662.6491088867188,52,52,260000,1932.26,19.2964,3201.54
14.341,-1432.265869140625,53,53,265000,1016.81,22.5699,865.27
20.1351,-1025.6610107421875,54,54,270000,1704.4,21.0353,1086.77
58.8383,-1833.825439453125,55,55,275000,1767.13,20.4799,1110.67
15.6742,-631.3556518554688,56,56,280000,2072.2,18.4935,3222.41
17.5516,-960.791259765625,57,57,285000,1466.72,20.7278,2838.77
32.5025,-989.1544189453125,58,58,290000,1661.43,19.773,3343.44
16.8411,-1367.7900390625,59,59,295000,1959.78,20.0326,3405.02
36.9844,-1736.7900390625,60,60,300000,1483.1,22.1221,3488.57
25.1461,-1424.31396484375,61,61,305000,1879.02,20.666,2517.95
28.4586,-1846.182373046875,62,62,310000,1447.25,20.8858,1292.14
39.8906,-2174.750732421875,63,63,315000,1044.14,23.2839,1306.05
18.8802,-1752.45361328125,64,64,320000,1055.36,23.0468,940.27
13.0455,-1681.513427734375,65,65,325000,1231.97,22.8502,669.93
19.6148,-1721.3482666015625,66,66,330000,1700.33,21.3103,3050.39
10.567,-1351.46484375,67,67,335000,1315.11,20.8753,3211.27
19.1752,-2028.055419921875,68,68,340000,1788.2,21.3418,673.86
11.9036,-156.49574279785156,69,69,345000,2687.41,19.0789,3420.34
13.9137,-1087.4637451171875,70,70,350000,1877.93,19.9123,933.8
26.052,-1869.3824462890625,71,71,355000,1139.83,22.2231,2579.42
11.4075,-408.721435546875,72,72,360000,1908.14,19.5532,38.79
19.4319,-2164.526611328125,73,73,365000,637.7,21.9314,2903.13
14.0863,-1115.9625244140625,74,74,370000,2214.62,19.7211,3437.65
27.5155,-1354.42822265625,75,75,375000,2931.48,19.6926,3332.55
13.8811,-1777.80224609375,76,76,380000,1648.15,22.2309,1885.53
46.0889,-3278.119140625,77,77,385000,618.97,23.6359,706.55
23.5877,-2234.6435546875,78,78,390000,1406.45,23.2537,3316.86
27.1189,-2902.370361328125,79,79,395000,1012.32,22.2184,1044.65
30.4141,-2145.822509765625,80,80,400000,1434.14,21.1552,3257.54
23.7749,-2745.39111328125,81,81,405000,1473.07,22.9093,1070.29
39.6671,-2900.93994140625,82,82,410000,1236.37,24.1024,1228.13
33.144,-2764.558349609375,83,83,415000,1166.99,21.5997,1215.25
41.4585,-2913.065673828125,84,84,420000,1517.88,22.3541,1006.77
14.9619,-1013.2673950195312,85,85,425000,2405.83,20.567,3111.47
28.735,-2589.58154296875,86,86,430000,1233.53,23.9456,1000.02
21.8938,-1327.1263427734375,87,87,435000,2279.19,19.7638,3425.86
27.1409,-4018.19091796875,88,88,440000,1205.4,26.1287,1093.03
14.3881,-2740.593994140625,89,89,445000,945.1,23.4043,921.15
17.6814,-2921.205810546875,90,90,450000,2045.97,23.0166,1996.69
20.0229,-2560.196044921875,91,91,455000,1490.07,21.0182,1345.59
11.8036,-1790.350341796875,92,92,460000,2079.51,22.7926,3305.87
23.6746,-2134.029296875,93,93,465000,1766.67,21.3586,1280.42
22.446,-3320.3662109375,94,94,470000,1688.92,22.9469,3066.9
14.342,-2437.48291015625,95,95,475000,1766.7,20.7072,1118.93
21.2448,-3892.227783203125,96,96,480000,1046.67,22.7295,1192.81
21.4842,-3493.4091796875,97,97,485000,2124.74,22.0161,2731.68
14.1464,-2579.34619140625,98,98,490000,1060.41,21.4109,970.35
25.2006,-3446.095458984375,99,99,495000,1818.47,23.1254,3125.65
26.8193,-4257.99658203125,100,100,500000,1452.08,22.0857,2485.22
40.9215,-3068.70654296875,101,101,505000,1728.81,21.6468,883.29
16.7433,-2073.252685546875,102,102,510000,2421.81,20.6945,3453.57
16.4543,-2166.112060546875,103,103,515000,2452.83,20.5773,3353.26
24.9929,-2635.376953125,104,104,520000,2303.28,19.8975,3066.33
18.1879,-2153.960205078125,105,105,525000,2156.33,20.6346,3427.78
12.6816,-1584.645263671875,106,106,530000,1130.88,19.6441,2626.77
22.2086,-2086.411865234375,107,107,535000,2465.04,20.3769,2036.78
14.8142,-2593.755859375,108,108,540000,1872.14,20.0355,2815.27
17.3998,-4089.509765625,109,109,545000,768.96,23.2561,388.68
12.8359,-2328.635498046875,110,110,550000,1739.18,20.4679,2109.18
21.3009,-3075.747314453125,111,111,555000,1603.15,21.9745,3106.6
12.7807,-3406.7021484375,112,112,560000,1298.38,23.3468,2572.97
13.7478,-3128.17529296875,113,113,565000,1481.1,23.1334,2094.13
13.1883,-2166.025146484375,114,114,570000,1760.63,20.5885,2127.63
18.0585,-3628.05859375,115,115,575000,1810.71,22.0915,2996.18
32.9197,-4378.232421875,116,116,580000,786.12,24.2522,689.46
41.8658,-4334.783203125,117,117,585000,1368.53,22.8343,2683.61
22.7931,-3105.690673828125,118,118,590000,1738.58,21.1498,1851.48
13.9231,-2259.344970703125,119,119,595000,1530.02,21.0551,1240.81
14.4717,-2963.179443359375,120,120,600000,1795.83,22.4271,2600.57
14.2283,-2695.626220703125,121,121,605000,1830.64,21.6541,3408.87
17.4405,-3219.769775390625,122,122,610000,1212.04,21.5804,3400.04
18.9693,-1978.6129150390625,123,123,615000,2065.04,19.5715,3419.23
14.6274,-2187.69140625,124,124,620000,1589.5,20.2019,3493.51
40.7849,-4310.498046875,125,125,625000,1199.52,22.3439,1523.08
15.5013,-3758.038330078125,126,126,630000,1400.81,22.8448,2306.6
