Running Update Time,Running Env Steps,Running Forward KL,Real Sto Return,Reward Loss,Real Det Return,Running Reverse KL,Itration
0,0,32.8976,195.09,-1343.9744873046875,192.53,15.727,0
1,5000,32.2138,229.57,-1524.5157470703125,235.03,20.5798,1
2,10000,32.0251,204.61,-1544.911376953125,201.83,19.6359,2
3,15000,30.5124,255.4,-1202.642333984375,240.71,14.2641,3
4,20000,29.261,306.85,-1667.7879638671875,302.55,24.3809,4
5,25000,30.3633,297.2,-1272.892578125,300.21,13.9281,5
6,30000,31.4282,244.28,-892.109375,243.31,17.309,6
7,35000,29.6429,21.18,-1378.6162109375,20.16,17.0255,7
8,40000,29.9847,514.1,-1075.617431640625,574.39,49.5126,8
9,45000,28.8651,483.95,-1330.228515625,319.97,25.8671,9
10,50000,28.8644,418.69,-1093.9090576171875,376.6,40.0527,10
11,55000,27.9534,805.88,-1461.83056640625,807.63,51.8161,11
12,60000,27.0509,829.03,-1334.6619873046875,953.91,29.257,12
13,65000,27.8168,333.22,-1418.332275390625,536.33,23.1717,13
14,70000,27.2384,485.0,-1483.7364501953125,391.45,26.8792,14
15,75000,27.1816,1408.75,-1208.9622802734375,2300.44,17.3755,15
16,80000,27.1565,231.5,-1859.7847900390625,232.22,17.0277,16
17,85000,28.8443,576.7,-1632.3734130859375,292.55,17.4783,17
18,90000,26.4514,1630.57,-1088.57470703125,1441.68,13.7199,18
19,95000,25.5582,1155.74,-966.0321044921875,876.02,12.0936,19
20,100000,23.7463,2106.75,-682.76318359375,2689.92,12.0597,20
21,105000,25.1325,2862.99,-453.34521484375,1706.48,15.1869,21
22,110000,24.2047,2625.78,-497.1650085449219,2881.27,13.1031,22
23,115000,23.6521,2018.05,-758.403564453125,2996.28,18.6066,23
24,120000,24.0247,1778.18,-1302.9542236328125,901.84,38.5367,24
25,125000,27.8298,922.19,-1685.8043212890625,995.0,43.9856,25
26,130000,24.8868,1194.15,-1355.434814453125,972.02,34.2449,26
27,135000,24.3747,1222.12,-1442.7998046875,1636.66,31.3551,27
28,140000,26.7669,1096.89,-1609.4508056640625,861.89,30.1722,28
29,145000,26.2814,1706.71,-1219.1500244140625,904.64,37.0895,29
30,150000,25.1791,1055.22,-1361.31640625,912.85,28.7916,30
31,155000,26.1506,947.6,-1710.7340087890625,689.76,46.3721,31
32,160000,24.5451,1441.99,-1104.4490966796875,1863.28,34.5789,32
33,165000,24.6789,1379.74,-1577.385009765625,1854.7,30.5964,33
34,170000,26.4441,857.58,-2112.43896484375,984.25,32.8225,34
35,175000,25.5655,1148.98,-1655.2138671875,1453.34,22.6498,35
36,180000,22.4622,2474.81,-790.8129272460938,2505.65,14.1439,36
