Running Update Time,Running Env Steps,Real Sto Return,Reward Loss,Running Forward KL,Itration,Real Det Return,Running Reverse KL
0,0,-252.35,58.87383270263672,158.4865,0,-52.55,11.4759
1,5000,-100.66,13.457775115966797,158.3888,1,14.79,11.8553
2,10000,70.34,8.190452575683594,158.3865,2,639.57,12.1782
3,15000,267.71,43.664039611816406,158.2363,3,723.61,13.1711
4,20000,375.17,36.6337890625,158.0654,4,829.08,13.0992
5,25000,456.51,-1.6252994537353516,158.1004,5,836.06,13.6842
6,30000,600.09,-16.633033752441406,158.0825,6,996.3,14.274
7,35000,631.63,-25.35158348083496,157.9669,7,909.38,13.9104
8,40000,852.74,-62.38615417480469,158.1576,8,1146.42,14.9245
9,45000,1005.31,-75.94853973388672,157.8451,9,1362.95,15.331
10,50000,1034.26,-110.19944763183594,157.7038,10,1232.94,15.585
11,55000,1106.94,-143.84275817871094,157.776,11,1529.14,15.9586
12,60000,1110.83,-188.93402099609375,158.0091,12,1479.38,16.1106
13,65000,1204.91,-198.25994873046875,157.827,13,1614.93,16.129
14,70000,1194.34,-264.28668212890625,157.8222,14,1596.6,16.2516
15,75000,1195.3,-285.33160400390625,157.8619,15,1668.46,16.3025
16,80000,1263.91,-328.0635986328125,157.9096,16,1632.33,16.2219
17,85000,1284.35,-384.15081787109375,158.0289,17,1668.94,16.3351
18,90000,1251.31,-420.17620849609375,157.8276,18,1725.62,16.1891
19,95000,1308.12,-469.3929443359375,157.7162,19,1698.63,16.1238
20,100000,1330.27,-511.1451110839844,157.8205,20,1675.44,16.218
21,105000,1371.14,-537.3868408203125,157.5851,21,1729.26,16.0565
22,110000,1432.1,-592.0400390625,157.7284,22,1847.76,16.1626
23,115000,1433.29,-614.3627319335938,157.779,23,1827.5,16.2572
24,120000,1449.6,-670.7139892578125,157.7673,24,1844.54,16.0717
25,125000,1467.77,-724.6378173828125,157.7499,25,1867.5,16.2107
26,130000,1482.87,-763.2625122070312,157.6811,26,1929.37,16.2163
27,135000,1540.94,-787.31103515625,157.5675,27,1906.48,15.9606
28,140000,1537.85,-818.3904418945312,157.4024,28,1921.26,16.0618
29,145000,1541.9,-871.5176391601562,157.8,29,1924.36,16.444
30,150000,1584.05,-915.6183471679688,157.479,30,1906.73,16.1642
31,155000,1596.27,-940.1646728515625,157.3601,31,1960.01,16.3812
32,160000,1606.2,-977.8973388671875,157.5922,32,1972.63,16.2925
33,165000,1570.14,-1034.3455810546875,157.5254,33,1927.93,15.9779
34,170000,1573.19,-1064.2425537109375,157.5832,34,1953.62,16.1664
35,175000,1585.16,-1120.6072998046875,157.4479,35,1941.74,15.83
36,180000,1659.51,-1135.930419921875,157.6487,36,2003.54,16.4099
37,185000,1656.01,-1175.2767333984375,157.3005,37,2037.5,15.9436
38,190000,1627.16,-1221.18603515625,157.277,38,1950.24,15.8069
39,195000,1611.01,-1261.543212890625,157.2894,39,1972.08,15.7639
40,200000,1626.98,-1287.0048828125,157.5164,40,2051.75,16.2557
41,205000,1649.42,-1318.24658203125,157.401,41,1982.41,15.621
42,210000,1665.3,-1376.797119140625,157.6219,42,2004.09,16.0327
43,215000,1654.6,-1392.3555908203125,157.287,43,1992.28,15.7803
44,220000,1641.48,-1432.4283447265625,157.1773,44,1962.47,15.6555
45,225000,1648.99,-1460.92236328125,157.0291,45,2016.14,15.3924
46,230000,1702.64,-1504.8834228515625,157.2267,46,2058.41,15.8361
47,235000,1709.24,-1541.298095703125,157.3682,47,2084.93,16.1058
48,240000,1675.02,-1565.065673828125,156.9635,48,2073.64,15.4097
49,245000,1673.74,-1617.10205078125,157.179,49,2076.56,15.5374
50,250000,1682.79,-1644.9913330078125,157.0901,50,2058.56,15.7775
51,255000,1691.64,-1696.507080078125,157.1162,51,2041.75,15.6326
52,260000,1697.96,-1721.5225830078125,157.1577,52,2074.9,15.9159
53,265000,1723.9,-1763.4246826171875,157.1971,53,2112.74,15.8313
54,270000,1713.55,-1799.133056640625,157.0934,54,2064.87,15.6964
55,275000,1704.66,-1831.7484130859375,156.9686,55,2024.02,15.3132
56,280000,1717.8,-1886.4925537109375,157.0406,56,2072.13,15.7426
57,285000,1651.21,-1920.4776611328125,157.2183,57,1997.03,15.2167
58,290000,1724.25,-1941.6427001953125,156.9074,58,2089.64,15.5997
59,295000,1694.68,-1999.124755859375,157.1105,59,2003.53,15.4163
60,300000,1767.99,-2002.196044921875,156.8647,60,2130.22,15.8333
61,305000,1712.77,-2052.0849609375,156.9963,61,2053.58,15.6926
62,310000,1735.38,-2091.951416015625,157.0948,62,2097.25,15.5981
63,315000,1727.39,-2133.870361328125,157.0424,63,2106.35,15.4999
64,320000,1737.47,-2177.532470703125,157.211,64,2086.87,15.4341
65,325000,1762.22,-2227.733154296875,157.1076,65,2119.89,15.6076
66,330000,1745.13,-2265.254150390625,157.0395,66,2108.8,15.741
