Real Sto Return,Running Reverse KL,Real Det Return,Reward Loss,Running Update Time,Running Forward KL,Itration,Running Env Steps
-173.59,11.1465,-55.67,68.6951904296875,0,158.2905,0,0
-41.79,11.4334,300.9,69.86761474609375,1,158.2374,1,5000
129.35,11.7055,121.82,68.96072387695312,2,157.9358,2,10000
295.03,12.3941,670.45,79.33455657958984,3,157.9057,3,15000
440.84,12.8671,943.9,64.77421569824219,4,157.7116,4,20000
557.92,13.0501,1082.26,32.70155334472656,5,157.7066,5,25000
655.38,13.5914,1151.15,-1.8770098686218262,6,157.6484,6,30000
857.09,14.652,1255.22,-0.2237558364868164,7,157.7192,7,35000
858.0,15.2139,1214.1,-55.098236083984375,8,157.6623,8,40000
1033.36,15.877,1269.41,-68.40818786621094,9,157.6499,9,45000
1016.81,16.0631,1136.51,-119.68356323242188,10,157.784,10,50000
1166.31,16.416,1563.91,-147.77093505859375,11,157.6719,11,55000
1153.23,16.1841,1449.24,-199.8982391357422,12,157.7288,12,60000
1215.35,16.4691,1590.34,-236.50013732910156,13,157.6938,13,65000
1224.09,16.3241,1452.16,-285.1505126953125,14,157.6917,14,70000
1298.46,16.5359,1680.13,-314.8937683105469,15,157.7736,15,75000
1339.54,16.5993,1674.37,-356.3276062011719,16,157.7579,16,80000
1331.33,16.4535,1729.23,-401.06207275390625,17,157.8477,17,85000
1359.87,16.638,1780.48,-413.83636474609375,18,157.5527,18,90000
1440.71,16.5487,1792.47,-454.3569030761719,19,157.6362,19,95000
1433.33,16.4547,1838.86,-511.8603210449219,20,157.6754,20,100000
1465.92,16.1915,1849.93,-543.4688720703125,21,157.5314,21,105000
1463.86,16.0314,1866.61,-619.4763793945312,22,157.5968,22,110000
1511.67,16.3857,1902.04,-616.0198974609375,23,157.5952,23,115000
1531.73,16.9145,1925.11,-649.1318359375,24,157.7822,24,120000
1600.64,16.911,1941.85,-686.8468017578125,25,157.728,25,125000
1552.92,16.5413,1930.36,-763.0853271484375,26,157.7441,26,130000
1627.06,16.5192,1966.17,-826.6569213867188,27,157.7865,27,135000
1590.02,17.0431,1931.59,-825.8518676757812,28,157.6818,28,140000
1589.24,16.759,1952.68,-878.614990234375,29,157.7846,29,145000
1626.57,16.5471,2008.83,-895.3294067382812,30,157.6282,30,150000
1648.16,16.9635,2027.22,-936.9151611328125,31,157.7432,31,155000
1653.86,16.4739,2009.0,-975.2352294921875,32,157.4812,32,160000
1553.26,16.2698,1972.43,-1040.1763916015625,33,157.5088,33,165000
1560.17,16.6016,1982.86,-1070.3975830078125,34,157.4728,34,170000
1642.24,16.204,1855.62,-1122.871826171875,35,157.6007,35,175000
1654.26,16.3055,2022.58,-1134.7005615234375,36,157.4456,36,180000
1680.07,16.7131,2051.83,-1166.3548583984375,37,157.507,37,185000
1664.99,16.3753,2030.09,-1226.89404296875,38,157.4,38,190000
1696.73,16.7627,2111.79,-1235.7581787109375,39,157.4865,39,195000
1686.54,16.5421,2047.96,-1289.0206298828125,40,157.4127,40,200000
1685.6,16.89,2036.49,-1315.937744140625,41,157.4489,41,205000
1678.66,16.1387,1992.25,-1371.8289794921875,42,157.3581,42,210000
1757.2,16.5739,2099.08,-1419.1854248046875,43,157.3046,43,215000
1727.3,16.437,1954.97,-1436.3232421875,44,157.5453,44,220000
1716.97,16.5023,2076.84,-1479.901123046875,45,157.422,45,225000
1665.93,15.795,2015.84,-1515.939697265625,46,157.27,46,230000
1688.33,16.2531,2063.11,-1561.1551513671875,47,157.4228,47,235000
1734.6,16.1282,2105.87,-1576.2996826171875,48,157.1043,48,240000
1707.74,16.0426,2066.58,-1624.7894287109375,49,157.2012,49,245000
1766.63,16.4694,2130.07,-1634.696044921875,50,157.2156,50,250000
1713.22,16.3523,2058.47,-1713.5081787109375,51,157.2828,51,255000
1702.73,16.0481,2045.42,-1726.930908203125,52,157.2492,52,260000
1716.26,16.3079,2085.36,-1789.8934326171875,53,157.2868,53,265000
1746.83,16.4043,2103.67,-1804.90673828125,54,157.0492,54,270000
1777.95,16.4956,2125.14,-1844.2613525390625,55,157.2858,55,275000
1769.04,16.5018,2133.93,-1885.0982666015625,56,157.2322,56,280000
1732.71,15.9166,2095.57,-1924.850830078125,57,157.1231,57,285000
1710.49,15.9053,2018.37,-1975.16357421875,58,157.2506,58,290000
