Running Update Time,Running Reverse KL,Real Det Return,Itration,Reward Loss,Running Env Steps,Running Forward KL,Real Sto Return
0,18.3538,278.85,0,338.7801513671875,0,31.7684,287.62
1,29.5924,282.66,1,432.6174621582031,5000,30.3616,284.2
2,35.5939,313.86,2,529.1812744140625,10000,29.2248,324.2
3,43.1854,257.76,3,371.84722900390625,15000,29.5024,266.36
4,45.0403,366.08,4,522.2319946289062,20000,30.0332,358.11
5,40.5299,416.03,5,486.72021484375,25000,27.7736,425.82
6,44.434,378.01,6,234.40602111816406,30000,29.4187,379.9
7,169.9672,388.35,7,388.46197509765625,35000,27.2914,386.75
8,141.0274,481.4,8,351.0978698730469,40000,27.535,482.73
9,59.7617,424.4,9,240.33657836914062,45000,28.3164,406.62
10,16.2,233.62,10,-42.0594482421875,50000,29.2022,244.48
11,21.7719,214.45,11,-148.4748077392578,55000,31.8681,215.82
12,42.8038,29.0,12,-425.853759765625,60000,38.8212,46.28
13,68.6583,194.88,13,-200.520263671875,65000,33.892,197.22
14,19.9442,20.89,14,-65.55046844482422,70000,31.3707,21.41
15,32.6395,1003.43,15,-578.6793823242188,75000,37.534,1003.66
16,39.8852,378.77,16,-285.0208740234375,80000,32.1281,376.05
17,50.818,969.96,17,-665.7880249023438,85000,37.7846,969.62
18,30.3427,993.58,18,-681.0526123046875,90000,37.5114,990.48
19,42.0618,981.09,19,-728.6506958007812,95000,38.7166,981.25
20,28.2271,768.47,20,-564.4400024414062,100000,31.6732,766.57
21,29.5031,988.76,21,-613.1345825195312,105000,35.5599,987.15
22,22.0337,552.29,22,-344.9676208496094,110000,30.3686,561.84
23,23.7449,423.19,23,-475.8482666015625,115000,30.3428,392.57
24,21.2479,1049.28,24,-580.913330078125,120000,33.8207,1050.08
25,19.2041,491.89,25,-646.3141479492188,125000,31.4874,503.23
26,17.6709,254.36,26,-392.1821594238281,130000,31.5595,250.48
27,40.9665,329.37,27,-729.1111450195312,135000,30.3483,329.92
28,65.6963,471.59,28,-640.0203247070312,140000,32.0371,470.34
29,39.5516,273.88,29,-959.802734375,145000,30.6254,271.22
30,43.7867,495.81,30,-972.5161743164062,150000,30.7115,485.11
31,18.3537,296.58,31,-622.9821166992188,155000,31.3051,280.64
32,21.3458,983.06,32,-876.164306640625,160000,33.7593,1006.72
33,27.0665,1037.37,33,-944.20947265625,165000,33.7495,1036.97
34,22.6193,594.33,34,-1021.6255493164062,170000,33.6439,364.0
35,21.1148,1011.58,35,-1071.96240234375,175000,33.9697,1009.95
36,21.4963,989.54,36,-1098.401611328125,180000,34.7459,991.16
37,33.5269,1011.0,37,-1382.261474609375,185000,37.6735,1011.13
38,29.3887,1017.14,38,-1357.3155517578125,190000,35.1994,1016.78
39,31.8552,1022.56,39,-1424.2816162109375,195000,36.3299,1022.63
40,30.7655,1160.85,40,-1044.430419921875,200000,34.3282,1165.29
41,25.1758,1144.07,41,-976.5309448242188,205000,33.6099,1133.69
42,18.8404,1144.52,42,-1101.4749755859375,210000,33.1969,1138.76
43,21.7106,1092.06,43,-987.95361328125,215000,33.6932,1084.97
44,21.6456,757.44,44,-1130.646240234375,220000,33.6733,781.73
45,147.8734,725.89,45,-1511.436767578125,225000,33.637,415.14
46,222.1112,85.86,46,-1625.84521484375,230000,33.7285,86.01
47,19.753,938.24,47,-1331.0474853515625,235000,32.8353,1026.91
48,22.0237,1205.22,48,-1010.6826171875,240000,32.6988,1204.58
49,40.5919,1006.53,49,-1880.4600830078125,245000,36.9471,1006.82
50,52.8398,1003.16,50,-1767.276123046875,250000,33.4359,1002.34
51,19.6217,1059.24,51,-1322.3260498046875,255000,33.4525,1061.36
52,51.3094,1017.58,52,-1911.93994140625,260000,34.0539,1017.73
53,32.2618,1028.44,53,-1865.7960205078125,265000,33.6092,1029.23
54,22.5591,1255.16,54,-1112.88134765625,270000,33.0768,1181.94
55,24.4951,1020.19,55,-1806.170166015625,275000,33.3323,1019.76
56,32.6475,1030.85,56,-1961.5238037109375,280000,33.4942,1029.22
57,65.8514,1018.98,57,-2137.454833984375,285000,34.3071,1020.02
58,40.079,765.71,58,-2026.919189453125,290000,33.5107,755.49
59,62.3619,834.1,59,-1777.396484375,295000,32.4757,898.06
60,39.2744,20.27,60,-308.2446594238281,300000,35.3161,20.22
61,63.4739,1020.19,61,-2355.303466796875,305000,37.686,1020.27
62,29.7583,326.02,62,-1436.169189453125,310000,29.7707,326.61
63,23.7019,181.78,63,-1805.1666259765625,315000,29.1435,185.97
64,21.9635,765.21,64,-1653.4093017578125,320000,30.1623,702.02
65,40.5607,1063.59,65,-2320.73828125,325000,38.8992,1063.74
66,31.4101,1176.6,66,-1397.04833984375,330000,32.2634,1225.23
67,145.5918,494.25,67,-2048.73974609375,335000,31.4199,474.57
68,215.7088,132.34,68,-2460.37158203125,340000,32.9229,131.25
69,87.0425,976.51,69,-2712.63720703125,345000,37.6329,976.38
70,39.3104,942.31,70,-2511.243896484375,350000,34.6134,945.51
71,125.4219,49.25,71,-1729.5369873046875,355000,34.2828,49.35
72,231.7484,12.07,72,-1537.8072509765625,360000,35.7201,12.01
73,59.6282,299.93,73,-2748.1279296875,365000,36.7808,294.51
74,56.0708,110.61,74,-2743.3349609375,370000,34.1233,114.95
75,162.179,328.16,75,-2477.649658203125,375000,33.2917,312.48
76,218.5697,18.38,76,-2863.4052734375,380000,34.495,18.16
77,229.5714,72.04,77,-1773.77392578125,385000,32.6788,73.7
78,231.2507,69.97,78,-1840.9072265625,390000,33.0775,68.81
79,229.5649,121.97,79,-1872.1495361328125,395000,32.6558,118.69
80,153.3752,322.33,80,-1875.59521484375,400000,32.4074,277.9
81,73.5543,103.09,81,-1937.8814697265625,405000,32.5107,107.7
82,203.3713,157.89,82,-2131.36279296875,410000,32.8605,230.57
83,78.4893,266.09,83,-2232.944580078125,415000,33.3072,256.12
84,92.1687,240.39,84,-2542.468017578125,420000,32.7211,287.32
85,70.4563,215.63,85,-2262.836181640625,425000,32.6983,192.15
86,80.1349,174.65,86,-2597.68505859375,430000,32.8808,116.94
87,39.9166,105.22,87,-2262.40966796875,435000,32.905,113.39
88,58.4568,534.31,88,-2733.51025390625,440000,33.2239,508.39
89,38.3082,962.03,89,-3344.533203125,445000,34.3329,964.8
90,32.5635,1004.4,90,-3441.2314453125,450000,35.5533,1004.23
91,174.1465,243.94,91,-3427.1591796875,455000,33.6288,231.02
92,92.9143,451.15,92,-3060.076416015625,460000,33.5022,393.84
93,35.5672,852.14,93,-2472.7880859375,465000,33.3731,859.19
94,50.9249,731.26,94,-2666.326416015625,470000,33.2544,768.73
95,37.361,1078.63,95,-2881.939208984375,475000,33.1926,1100.22
96,20.4352,1125.05,96,-2779.028564453125,480000,33.1604,1128.28
97,20.0104,752.58,97,-2794.81494140625,485000,33.2984,756.09
98,19.5425,949.31,98,-2536.944091796875,490000,32.9553,969.53
99,20.3727,1011.67,99,-2481.96240234375,495000,32.8089,981.64
100,19.9331,584.38,100,-2480.83056640625,500000,32.7733,721.0
101,21.7751,1189.78,101,-2702.83935546875,505000,33.1617,1059.89
102,20.4027,608.91,102,-2746.08251953125,510000,33.2872,669.67
103,20.4209,1057.31,103,-3375.51904296875,515000,33.6426,1061.95
104,21.1124,546.73,104,-3130.7421875,520000,33.8422,529.06
105,23.3985,1116.39,105,-2754.02880859375,525000,33.5579,1114.12
106,26.963,873.27,106,-2541.0224609375,530000,33.5076,843.9
107,21.5766,1065.62,107,-2895.818115234375,535000,33.485,1132.97
108,25.0731,1108.13,108,-2643.572998046875,540000,33.5574,898.24
109,23.467,1023.47,109,-3844.478515625,545000,34.2839,1024.68
110,26.6741,418.38,110,-2804.044677734375,550000,33.8487,418.22
111,24.3171,910.61,111,-2710.51806640625,555000,33.3709,738.46
112,21.2448,602.12,112,-2546.78125,560000,32.5192,555.28
113,23.6559,1029.57,113,-2661.400390625,565000,32.6625,1061.64
114,25.2756,1024.35,114,-3479.799072265625,570000,34.6584,1023.33
115,71.6263,176.01,115,-3384.2392578125,575000,32.2648,163.8
116,23.4142,396.9,116,-2641.3427734375,580000,31.9509,389.09
117,27.067,1072.72,117,-2736.102294921875,585000,33.0084,1063.07
118,22.7415,519.65,118,-2756.51806640625,590000,32.5667,475.51
