Running Forward KL,Itration,Running Reverse KL,Real Det Return,Real Sto Return
49.175,0,12.536,419.41,454.91
49.9857,1,15.7515,234.61,345.67
50.7167,2,27.4388,322.21,196.08
49.9897,3,30.8565,370.15,392.59
49.7451,4,21.8653,339.48,361.61
49.0775,5,22.1806,465.29,418.81
49.2988,6,20.3484,427.97,381.38
48.1575,7,26.7045,643.37,662.45
49.5197,8,16.5484,472.64,394.12
48.2618,9,22.4319,466.04,612.38
48.6835,10,13.589,454.35,474.77
48.5665,11,29.5829,514.68,548.42
48.1483,12,31.9329,617.74,597.73
47.6693,13,33.4379,742.21,686.04
47.4638,14,33.2684,783.97,673.48
47.1074,15,21.1912,922.26,913.7
48.0927,16,20.2904,737.57,766.85
47.9535,17,22.3607,717.96,718.26
47.5909,18,19.8538,753.68,767.52
47.8711,19,20.177,741.24,962.46
47.0713,20,16.4685,940.49,938.87
47.2662,21,14.9233,736.43,957.48
46.81,22,15.4979,850.81,875.73
45.8168,23,13.7151,1523.85,1250.89
46.1628,24,14.452,1254.41,1178.7
46.0986,25,13.5038,2137.06,1798.8
45.8224,26,13.1396,1482.46,1343.4
46.2088,27,12.6618,2406.32,2200.15
45.6946,28,14.6613,1904.67,1880.17
45.1662,29,18.1163,2170.58,1803.28
44.9,30,14.3978,2520.38,2128.69
45.7092,31,13.5697,2695.21,2368.98
44.4285,32,13.2153,1402.29,1765.85
45.3946,33,13.7483,1772.42,1862.2
45.3433,34,12.5315,1838.96,1724.17
44.4011,35,14.4755,2005.42,2205.23
44.7355,36,13.7224,2209.51,2863.46
43.808,37,13.4469,1881.54,1791.14
44.0374,38,13.2314,1303.96,1569.42
45.0936,39,12.5815,1363.79,1561.99
44.7677,40,15.2998,1288.26,1640.35
44.5995,41,16.2234,2314.48,1908.05
44.0623,42,14.788,1943.39,3158.08
44.8209,43,16.5888,3497.76,3045.03
44.3392,44,18.38,3493.12,3305.04
43.458,45,15.0221,3007.78,3086.09
44.8411,46,17.9909,3543.47,3583.07
43.4911,47,17.2002,3572.92,3331.37
43.8445,48,17.7263,3635.74,3623.89
43.9038,49,18.2733,3547.93,3551.91
43.7864,50,18.0627,3647.37,3709.22
44.0953,51,19.1976,3472.7,3566.79
44.0841,52,19.4412,3638.19,3731.74
44.6901,53,19.3531,3606.92,3622.99
44.7108,54,21.3664,3748.03,3637.72
45.3751,55,20.9887,3848.95,3789.22
44.1314,56,19.1452,3700.17,3713.87
44.3758,57,19.5529,3804.92,3754.69
44.0525,58,20.2308,3842.9,3786.0
44.8162,59,20.6088,3746.61,3688.78
43.2381,60,19.2434,3776.05,3829.89
43.8558,61,20.2357,3685.51,3732.49
43.8967,62,18.6942,3649.84,3538.39
44.3745,63,20.1843,3777.66,3724.1
43.9803,64,19.6562,3774.62,3808.95
43.811,65,20.1648,3903.87,3877.61
44.0809,66,20.5913,3912.32,3840.41
42.5813,67,18.9676,3974.85,3916.32
43.796,68,19.6438,3841.96,3793.7
43.2893,69,18.5573,3903.02,3885.38
42.9569,70,20.4223,3982.55,3893.63
42.0753,71,17.8847,4040.86,3954.49
42.4333,72,18.773,4027.76,3888.82
42.7712,73,19.8559,4016.72,3945.5
42.7232,74,17.8666,3952.53,3900.91
43.1561,75,20.4913,4079.11,3989.43
43.0293,76,19.2657,3898.78,3905.85
42.7892,77,18.8428,4032.56,3933.43
42.9984,78,20.3122,4106.36,3981.28
43.0565,79,19.9587,4083.63,3975.01
43.1806,80,19.4364,3911.77,3916.43
42.7752,81,18.9836,4093.07,3997.76
42.9137,82,18.0601,4013.82,3927.73
42.387,83,18.8344,4118.85,4023.19
42.6504,84,17.7791,4021.7,3936.83
42.8788,85,18.6365,4036.8,3929.64
43.2582,86,19.4599,4012.96,3976.23
42.9294,87,19.731,4104.36,4039.88
41.9061,88,17.653,4097.32,4018.32
42.5115,89,17.4553,4010.98,3956.21
43.933,90,19.5707,4047.03,3983.05
43.528,91,19.4763,4100.05,4030.35
42.592,92,18.942,4140.69,4027.38
43.0887,93,19.9588,3952.22,3790.78
42.5391,94,18.1097,3979.51,3910.57
42.391,95,17.954,4094.28,4049.55
43.4102,96,19.8516,4108.14,3833.66
43.2937,97,20.385,4130.98,4035.84
43.1726,98,17.6828,4013.88,3206.28
43.1316,99,18.6865,4061.52,3937.44
42.4185,100,17.9278,4046.78,4016.07
43.3509,101,18.67,4075.91,4000.02
42.9469,102,18.7981,4111.62,4007.78
42.576,103,18.4431,4129.11,4022.88
43.0292,104,19.2328,4043.91,4027.74
42.4987,105,17.3032,4161.84,3919.58
42.6286,106,17.7426,4095.32,3675.6
42.7535,107,19.4549,4186.9,3926.77
42.6184,108,17.5174,4174.09,3226.33
42.4726,109,19.9891,4141.99,4060.7
42.5614,110,17.7579,4073.95,4024.49
42.665,111,18.6057,4063.48,4028.65
43.0217,112,20.1057,4128.97,4045.87
42.8709,113,18.8101,4140.13,4049.84
42.8842,114,19.0237,4187.99,4131.43
43.0363,115,19.8872,4192.92,4095.27
42.5356,116,18.6917,4212.91,3733.81
42.8934,117,18.9027,4202.09,3751.37
42.3045,118,16.796,4120.44,4040.93
42.4934,119,15.7756,4229.8,3700.37
42.3125,120,18.6365,4197.5,4082.41
42.1037,121,18.2688,4185.18,3737.81
42.4569,122,18.114,4239.98,4128.35
42.5551,123,19.0959,4238.78,3444.51
42.1519,124,17.9295,4232.56,4099.97
41.9269,125,16.2229,4097.98,3913.46
42.1801,126,18.6931,4195.63,4102.25
42.5317,127,19.2943,4200.22,4118.5
42.8984,128,18.1481,4239.82,3916.13
42.583,129,18.0729,4244.67,3876.11
42.2234,130,15.0709,4283.67,3124.98
42.2718,131,17.2706,4160.99,3512.52
42.9105,132,16.7169,4300.1,3831.91
42.9554,133,15.7434,4264.78,3766.58
41.843,134,17.1325,4277.15,3985.13
43.6929,135,17.5573,4225.46,3593.8
42.1934,136,16.464,4273.99,4154.96
42.8014,137,17.9463,4179.95,4081.69
42.6808,138,16.7157,4258.08,4191.34
42.5933,139,18.2588,4329.61,4034.28
42.5829,140,16.8871,4256.03,3356.42
42.025,141,17.0139,4315.18,3835.39
42.0789,142,18.1339,4158.42,4188.09
42.1336,143,18.7157,4344.37,4215.95
42.3299,144,17.6636,4283.64,3991.08
42.2336,145,16.0554,4334.56,4131.0
41.4883,146,17.2177,4273.97,3969.98
42.0979,147,16.4834,4281.64,3407.91
